username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,"That you have not heard of an abduction on social media or that families of victims are not reporting it is not to say an abduction hasn't taken place.

Many fear becoming double victims or repercussions or stigma and keep quiet.

Others feel broadcasting it makes it worse.",270,69,https://twitter.com/AishaYesufu/status/1537093469528899588,2022-06-15 15:23:35+00:00
BashirAhmaad,Bashir Ahmad,"We have been in touch with the FCT Police Command on the unfortunate abduction of Ameerah Sufyan and other victims, the FCT CP assured their safe return as security agencies already activated their rescue operations and asked any citizen with relevant info to reach out to them.",3775,976,https://twitter.com/BashirAhmaad/status/1536827664920608770,2022-06-14 21:47:22+00:00
AishaYesufu,Aisha Yesufu,"109 #ChibokGirls are still in captivity 8 years after and yet some citizens still make the demands for the rescue of #ChibokGirls one of removing a failed President who took 19 days before he said anything about their abduction.
I hope #ChibokGirls parents forgive you people!",91,15,https://twitter.com/AishaYesufu/status/1536343997471260674,2022-06-13 13:45:27+00:00
AishaYesufu,Aisha Yesufu,"@drunkito When you are abducted, I will also use your abduction to campaign for whoever will be President next and on the 10th year of your abduction, I will use your abduction to campaign for the incoming President if I am still alive.
Enjoy your week!",38,0,https://twitter.com/AishaYesufu/status/1532358966646394880,2022-06-02 13:50:22+00:00
AishaYesufu,Aisha Yesufu,"Today they tell us the pain we went through was a lie.
Aren't we all now victims of the abduction #ChibokGirls faced? https://t.co/BSlY9BoHbo",18,6,https://twitter.com/AishaYesufu/status/1524442600421445632,2022-05-11 17:33:33+00:00
AishaYesufu,Aisha Yesufu,"#2014Tweet 
The pain we were subjected to just because we stood for school children that were abducted. 
Imagine if as a Nation we had come together to ensure they were rescued. Would we all be the potential victims of abduction that we all are today? https://t.co/qSWU7qggig",25,7,https://twitter.com/AishaYesufu/status/1523567209637085186,2022-05-09 07:35:03+00:00
AishaYesufu,Aisha Yesufu,Google can save you a lot of embarrassment @renoomokri though it is more likely for embarrassment to be embarrassed about you than the other way. The APC event Dr Oby Ezekwesili spoke at was before #ChibokGirls abduction but you and truth as usual are mutually exclusive https://t.co/9EgN6HwuEr,21,4,https://twitter.com/AishaYesufu/status/1522947295582560257,2022-05-07 14:31:44+00:00
AishaYesufu,Aisha Yesufu,"@renoomokri will never cease to amaze one with his churlish, infantile and mendacious propaganda. 🤮 #BringBackOurGirls was ""founded"" because the incompetent president you served was silent about the abduction of school girls for 19 days.
APC event took place before the abduction https://t.co/q7n43vaejw https://t.co/GzYdY9482O",25,8,https://twitter.com/AishaYesufu/status/1522946395912966149,2022-05-07 14:28:10+00:00
ShehuSani,Senator Shehu Sani,"ONE YEAR ANNIVERSARY of the abduction and killing of Greenfield University Students Kaduna by terrorists;Dorothy Tirnom Yohanna,Precious Nwakacha and Sadiq Mua’zu.They must not be forgotten.May their souls rest in Peace. https://t.co/DqgzQbt2gY",1050,383,https://twitter.com/ShehuSani/status/1519237240223944704,2022-04-27 08:49:18+00:00
obyezeks,Oby Ezekwesili,"God’s blessings will abide with Cardinal Onayaikan who over the 8 years of the abduction of ChibokGirls always stood with us to demand justice of rescue for them. 

Last year in his Distinguished Guest Speaker lecture he reminded the @NigeriaGov and Citizens the effect of 2014. https://t.co/RsKm9prb7G",38,9,https://twitter.com/obyezeks/status/1514580364760649729,2022-04-14 12:24:33+00:00
