username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,"I just saw this my tweet from March 2015!
We underrated the pact between ISIS and Boko Haram 
Kai! https://t.co/B84OwtTBb0",106,15,https://twitter.com/AishaYesufu/status/1535172099580608512,2022-06-10 08:08:45+00:00
ShehuSani,Senator Shehu Sani,"We have reached a point where five terror groups;Iswap,Ansaru,Darusalam,Boko Haram and Bandits are freely competing with each other for space and for the blood of the innocent.",5430,1989,https://twitter.com/ShehuSani/status/1533705767928332289,2022-06-06 07:02:04+00:00
AishaYesufu,Aisha Yesufu,"@cchukudebelu 
Don't maintain a studied silence! Lead the way and put yourself on the ground. 
We also have FGC Yauri students in captivity for over 9 months
Also remember Leah Sharibu.
There should be justice for Saifura Ahmed and Hauwa Liman executed by boko haram https://t.co/IMGm9Iosjf https://t.co/A0NVP1aqUG",5,4,https://twitter.com/AishaYesufu/status/1533006986949840896,2022-06-04 08:45:22+00:00
bulamabukarti,Bulama Bukarti,"When I wrote 13 months ago warning that IPOB would slide into a Boko Haram &amp; the SE would end up becoming the biggest victim, some folks here fumed “this is rubbish”, “Igbo will never kill/harm Igbo”, “IPOB is not ideologically-motivated”… I’d love to hear what they think today.",547,149,https://twitter.com/bulamabukarti/status/1532355923603226626,2022-06-02 13:38:16+00:00
AishaYesufu,Aisha Yesufu,"@__yellows September 17th 2018 Saifura Ahmed was killed by Boko Haram after 30 days warning to the government. Not a word from Buhari. 30 days later they killed Hauwa liman. Not a word from Buhari. All these before 2019 election but people wanted to suffer.
See the train victims not a word! https://t.co/janhBedy9I",4,0,https://twitter.com/AishaYesufu/status/1531751388140781569,2022-05-31 21:36:04+00:00
AishaYesufu,Aisha Yesufu,@xamaneee Good morning. I woke alive and I may not sleep in my bedroom but in the grave just like the 60 farmers that were killed by Boko Haram in Borno. All I pray for is that Allah should let me die with iman. Do enjoy the rest of your day too.,9,0,https://twitter.com/AishaYesufu/status/1529768437186191360,2022-05-26 10:16:31+00:00
AishaYesufu,Aisha Yesufu,"@jamo_bello What have you said about the 60 farmers that were killed by Boko Haram in Borno? Their lives do not matter?
By the way, I am not looking for a brother. I am looking for humans",3,0,https://twitter.com/AishaYesufu/status/1529271474841964544,2022-05-25 01:21:46+00:00
AishaYesufu,Aisha Yesufu,"@jamo_bello
Where did the Prophet (SAW) order you to kill? Have you spoken about the 60 farmers that were killed by Boko Haram today? 
Do you know what is riyaa? 
I don't do things for people!
Some people said I didn't speak when Deborah was killed. Were they right? https://t.co/vXVQu64lgO https://t.co/UJeKyxSHsp",53,15,https://twitter.com/AishaYesufu/status/1529268518662856709,2022-05-25 01:10:01+00:00
AishaYesufu,Aisha Yesufu,Boko haram were reported to have  killed 60 farmers today but they are deaf and dumb because they cannot find a religious or ethnic reason to be outraged https://t.co/z9hOsWCX32,268,129,https://twitter.com/AishaYesufu/status/1529264467179196417,2022-05-25 00:53:55+00:00
AishaYesufu,Aisha Yesufu,"Exactly! The same thing that Boko Haram used to do. Instead of being collectively outraged we made it about tribe and religion. 
Now it is in the South East and we are making it about tribe and religion. https://t.co/jEVMxY57mh",35,11,https://twitter.com/AishaYesufu/status/1529218286361055233,2022-05-24 21:50:25+00:00
AishaYesufu,Aisha Yesufu,@Johnddt Mohammed Yusuf also didn't dream of the kind of Boko Haram Abubakar Shekau made it to be!,158,10,https://twitter.com/AishaYesufu/status/1529216136868405248,2022-05-24 21:41:53+00:00
AishaYesufu,Aisha Yesufu,Boko Haram were killing Muslims in mosques and there was no serious outrage until they started killing Christians.  These terrorists get away because there are certain killings no one cares about,86,28,https://twitter.com/AishaYesufu/status/1529210119426396166,2022-05-24 21:17:58+00:00
AishaYesufu,Aisha Yesufu,Boko Haram were killing Muslims in mosques and there was no serious outrage until they started killing Christians.  These terrorists get away because there are certain killings no one cares about,46,5,https://twitter.com/AishaYesufu/status/1529210031346176000,2022-05-24 21:17:37+00:00
AishaYesufu,Aisha Yesufu,This was the same mistake that was made with Boko Haram. They were killing everyone with Muslims who were their tribal people as the highest victims   we were busy shouting that it was against another religion instead of uniting to call them out. They had opportunity to keep kill,66,21,https://twitter.com/AishaYesufu/status/1529208512441729026,2022-05-24 21:11:35+00:00
AishaYesufu,Aisha Yesufu,"@Chimsky1 When we were telling them that this was how Boko Haram started, they were insulting us and saying such can never happen in the South East!
Here we all are!",34,4,https://twitter.com/AishaYesufu/status/1528510004797505538,2022-05-22 22:55:58+00:00
ShehuSani,Senator Shehu Sani,"Now that the Government has admitted to the strong presence of Iswap and Boko Haram terror groups in Kaduna state,we forgive all those who defamed us,insulted us and accused us of raising false alarms or exaggerating the security paralysis in the state.",2439,594,https://twitter.com/ShehuSani/status/1528076237310201857,2022-05-21 18:12:19+00:00
