username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,"The person that started the attack on civic space is  Yemi Osinbajo @ProfOsinbajo when he was Acting President. That was when the armoured tanks and hot water trucks were brought out against protesters!
I don't attack people when they are done but don't re-write history!",204,35,https://twitter.com/AishaYesufu/status/1534561348239097859,2022-06-08 15:41:50+00:00
AishaYesufu,Aisha Yesufu,"Let me once again remind everyone that it was when Yemi Osinbajo @ProfOsinbajo was acting President that the attack on civic space started. 
When he said he will continue from where Buhari stopped he wasn't joking!
He will be taking people down to extra level! https://t.co/0TtryWV0tK",293,117,https://twitter.com/AishaYesufu/status/1532683431527817216,2022-06-03 11:19:40+00:00
AishaYesufu,Aisha Yesufu,"Just so you don't forget, Professor Yemi Osinbajo @ProfOsinbajo started the attack on the civic space as Acting President.  
 https://t.co/4sdBpHjzuC",97,44,https://twitter.com/AishaYesufu/status/1495077925099606020,2022-02-19 16:48:49+00:00
AishaYesufu,Aisha Yesufu,"Yet when the Executive clamped on the civic space, the 8th Assembly was silent. When shiites were killed for simply demanding that their leader should be freed it was silent, when Ipob members were killed for asking for autonomy it was silent. 🤔 https://t.co/Cu6KozkT3j",31,7,https://twitter.com/AishaYesufu/status/1493209128411480067,2022-02-14 13:02:53+00:00
AishaYesufu,Aisha Yesufu,"Yemi Osinbajo @ProfOsinbajo started the attack on civic space. 
You can fete him all you want, your personal business but do not change history. 
He deployed armoured tanks and hot water trucks on protesters i

https://t.co/lWx9yudraQ",60,12,https://twitter.com/AishaYesufu/status/1483500811598581769,2022-01-18 18:05:30+00:00
AishaYesufu,Aisha Yesufu,"For the record, Buhari stayed off the lane of civil society, it was Yemi Osinbajo @ProfOsinbajo as Acting President that started the attack on the civic space.",9,1,https://twitter.com/AishaYesufu/status/1473240859525238786,2021-12-21 10:36:07+00:00
AishaYesufu,Aisha Yesufu,The attack on civic space by this administration started with BBOG and many cheered on Buhari https://t.co/QzelUmJssF,25,8,https://twitter.com/AishaYesufu/status/1470304133131427840,2021-12-13 08:06:36+00:00
AishaYesufu,Aisha Yesufu,"Yemi Osinbajo @ProfOsinbajo the dictator in waiting. The little power he had as Acting President, he started attack on the civic space https://t.co/EmcQydj1Zm",35,11,https://twitter.com/AishaYesufu/status/1459551651967250440,2021-11-13 16:00:05+00:00
AishaYesufu,Aisha Yesufu,"Yemi Osinbajo @ProfOsinbajo as Acting President started the attack on the civic space. He set the police to attack and teargas protesters. He started with the protesters protesting against the killings in Southern Kaduna,  Shiites and BBOG! https://t.co/UFuxLANE5o",84,36,https://twitter.com/AishaYesufu/status/1458743075711430664,2021-11-11 10:27:06+00:00
AishaYesufu,Aisha Yesufu,"It is a new phenomenon where Nigerians are being told they cannot speak about certain people or region because they are not from there.
Our government is shrinking the civic space and the people are also shutting down people's voices. 
Very despicable behaviour https://t.co/PjIBh5zKBo",66,18,https://twitter.com/AishaYesufu/status/1414693766401826819,2021-07-12 21:10:52+00:00
AishaYesufu,Aisha Yesufu,"@YarKafanchan
You are fighting against the shrinking of civic space and you are shrinking your own civic space? Come on!
As in you can be citizens, but you cannot have a voice!
Oshe! https://t.co/7P2qXYV66x",1,0,https://twitter.com/AishaYesufu/status/1412007951255183362,2021-07-05 11:18:24+00:00
