username,displayName,tweet,likes,retweets,link,date
AreaFada1,Charly Boy Area Fada 1,"Me I bin don talk say, all dis ritualistic doing for our country na anodar name for the harvesting of organs.
As our country dey battle with grand corruption, useless and visionless leaders, what system protects the poor?
When I think of how low we have sunk, I cry 4 dis country.",36,10,https://twitter.com/AreaFada1/status/1540405604287758337,2022-06-24 18:44:50+00:00
AishaYesufu,Aisha Yesufu,"Generals are amassing money meant to fight wars.
How many times did soldiers written to Buhari to tell him of the corruption and how their Generals are shortchanging them? Did Buhari do anything?
You wonder why you can no longer sleep at night! https://t.co/kFR4f3WKjp",165,50,https://twitter.com/AishaYesufu/status/1540244487859048450,2022-06-24 08:04:36+00:00
AishaYesufu,Aisha Yesufu,"Buhari and corruption are like twins!
The more corrupt you are, the more  welcome you are to Buhari https://t.co/6gYyhiEdHy",119,50,https://twitter.com/AishaYesufu/status/1540241640199258113,2022-06-24 07:53:17+00:00
AishaYesufu,Aisha Yesufu,"The biggest mistake many make is the assumption that people will ordinarily not vote someone who is very corrupt.
When in reality many want such person because they know with such a person corruption will continue and they will not be unmasked!",832,199,https://twitter.com/AishaYesufu/status/1539967573915074563,2022-06-23 13:44:15+00:00
AishaYesufu,Aisha Yesufu,"How many missing people are related to organ harvesting?
How many such cases have been happening in countries where they do not care and corruption is rife?
How many are even happening here!
This is scary.",613,169,https://twitter.com/AishaYesufu/status/1539936302250004480,2022-06-23 11:39:59+00:00
BashirAhmaad,Bashir Ahmad,"President Muhammadu Buhari today, in Kano said three priorities of his administration, security, economy and corruption, have received significant attention, with measurable results, following his vision of making Nigeria more peaceful, prosperous and reliable, among nations.",3012,455,https://twitter.com/BashirAhmaad/status/1537455662556389379,2022-06-16 15:22:49+00:00
BashirAhmaad,Bashir Ahmad,"Our party must now unite behind our candidate to achieve victory at the 2023 elections so that our government will continue to secure our communities, grow our economy and continue the fight against corruption. – President Buhari https://t.co/MWBWHlg3h4",1480,174,https://twitter.com/BashirAhmaad/status/1535006240660676616,2022-06-09 21:09:41+00:00
PoliceNG,Nigeria Police Force,"The Inspector-General of Police, therefore, warns police operatives attached to the Task Force to be focused, committed, and patriotic. He charged them to discharge their duties devoid of corruption, favouritism, and compromise.",16,3,https://twitter.com/PoliceNG/status/1534964365077663759,2022-06-09 18:23:17+00:00
MBuhari,Muhammadu Buhari,"Now our party must unite behind our candidate to achieve victory at the 2023 elections so that our government will continue to secure our communities, grow our economy and continue the fight against corruption.",308,112,https://twitter.com/MBuhari/status/1534942761937424385,2022-06-09 16:57:26+00:00
NGRPresident,Presidency Nigeria,"“Now our party must unite behind our candidate to achieve victory at the 2023 elections so that our government will continue to secure our communities, grow our economy and continue the fight against corruption.” — President @MBuhari",30,14,https://twitter.com/NGRPresident/status/1534942260474875906,2022-06-09 16:55:27+00:00
AishaYesufu,Aisha Yesufu,"Having to deal with the loss of lives in Agbede and now hearing about massacre in owo!
Lives are being wasted in Nigeria. Corruption killing and terrorists killing. 
What is the value of the Nigerian life?!",862,284,https://twitter.com/AishaYesufu/status/1533448850698121219,2022-06-05 14:01:10+00:00
PoliceNG,Nigeria Police Force,"He further charges them to be committed to self-discipline in line with the IGP’s policing agenda of ethical regeneration, restoration of professional standards, enhancement of anti-corruption drive with a view to having the desired Police institution Nigerians deserve.",40,9,https://twitter.com/PoliceNG/status/1533380288113434624,2022-06-05 09:28:44+00:00
AishaYesufu,Aisha Yesufu,Corruption kills! https://t.co/y3BYcC1wFc,47,16,https://twitter.com/AishaYesufu/status/1532747588310822913,2022-06-03 15:34:36+00:00
AreaFada1,Charly Boy Area Fada 1,"See as Wike waste rivers money on the just concluded corruption primaries while retired people in the state are still waiting for their pension money.
God, shey you dey see all these bad tins, you no go act? https://t.co/llAcTYErf7",156,85,https://twitter.com/AreaFada1/status/1532193861329731584,2022-06-02 02:54:17+00:00
AreaFada1,Charly Boy Area Fada 1,"Nonsense.
What a corruption ridden presidential primaries. 
Fellow Nigerians, we are in soup.
Bribe money:
$50.000 for each delegate? https://t.co/ly6UXiB6fY",62,27,https://twitter.com/AreaFada1/status/1530588992860725250,2022-05-28 16:37:07+00:00
mrmacaronii,MrMacaroni,Any association built on corruption is sustained by corruption. This is why those who belong to that association will frustrate any effort to cleanse the system because they benefit from that corruption. You can’t change them by joining them. They don’t want to change!!,6527,1812,https://twitter.com/mrmacaronii/status/1529900315411197952,2022-05-26 19:00:34+00:00
mrmacaronii,MrMacaroni,"Government supporters want us to commend the government for the arrest made by EFCC as opposed to asking why the Accountant-General of the Government that promised to eradicate corruption is embezzling N80,000,000.000 in the 7th year of their tenure.. 
it is finished 😭😭😭",8487,2309,https://twitter.com/mrmacaronii/status/1526646123414401025,2022-05-17 19:29:34+00:00
mrmacaronii,MrMacaroni,"Nigerian Students can’t go to school because ASUU is on strike. But EFCC has arrested the Accountant General of The Federation for Eighty Billion Naira Fraud!! 
This is the same Government that said they will fight Corruption ooo 🤦🏾‍♂️",12749,3464,https://twitter.com/mrmacaronii/status/1526593850277515264,2022-05-17 16:01:51+00:00
mrmacaronii,MrMacaroni,"I don’t think Nigeria has ever had it this bad!!! Insecurity, Economic Hardship, ASUU strike, decline in the health sector, Corruption, Police brutality, religious extremism, Killings upon killings!! Nooo!! This has to be the very worst!!!!",22506,6902,https://twitter.com/mrmacaronii/status/1526537455414951937,2022-05-17 12:17:45+00:00
AishaYesufu,Aisha Yesufu,"Buhari is corrupt, Buhari enables corruption. Buhari even teaches how to be corrupt without being caught. What else do we need to know about the corruption of Buhari and his administration?

https://t.co/39tnvgXuCY",260,115,https://twitter.com/AishaYesufu/status/1526472762390368256,2022-05-17 08:00:41+00:00
AishaYesufu,Aisha Yesufu,"The Accountant General was not supposed to be in office till now as he has passed the age of retirement. Buhari gave him a 2nd term. Fmr NHIS boss was sacked for corruption Buhari reinstated him until after 2019 election
@officialEFCC Buhari's immunity does not stop investigation https://t.co/GsRVXZKLxB",128,52,https://twitter.com/AishaYesufu/status/1526470980029251584,2022-05-17 07:53:36+00:00
AishaYesufu,Aisha Yesufu,"If there is one place Buhari should have warmth and compassion it should be with the military that are his primary constituency yet he cares not!

The foot soldiers are being wasted to fuel the incompetence of the Commander-in-chief and corruption of officers. https://t.co/g25Cf3nq57",136,65,https://twitter.com/AishaYesufu/status/1526214037477941248,2022-05-16 14:52:36+00:00
NGRPresident,Presidency Nigeria,"“It shows you have zero tolerance for corruption and waste of public funds. Indeed, people of proven fiscal discipline and track records of performance are desired in our quest for nation building.” — President @MBuhari",19,4,https://twitter.com/NGRPresident/status/1522696154936397825,2022-05-06 21:53:48+00:00
obyezeks,Oby Ezekwesili,"That we now experience regular terrorist killing of the innocent in our land has pushed the twin issues of poverty and corruption to second and third priorities of citizens. 

Obiageli “Oby” Ezekwesili (2014)",51,17,https://twitter.com/obyezeks/status/1509514426482843655,2022-03-31 12:54:19+00:00
bulamabukarti,Bulama Bukarti,"Our soldiers are brave, able and hardworking, but our rulers’ incompetence, corruption and ineptitude are killing our brave soldiers and us. May Allah punish corrupt politicians and give our troops resounding success.",1091,346,https://twitter.com/bulamabukarti/status/1509114878963101702,2022-03-30 10:26:39+00:00
AishaYesufu,Aisha Yesufu,Don't mind ASUU. They went on strike for over a year because of the IPPIS. A payment system that is supposed to reduce corruption is being fought by University body that should be researching more ways to fight corruption! https://t.co/PgVEXExGsm,75,26,https://twitter.com/AishaYesufu/status/1502193283795148800,2022-03-11 08:02:42+00:00
AishaYesufu,Aisha Yesufu,"These are the people you expect not to vote corrupt politicians? 🤣🤣
I laugh in 3D.
The corruption is the attraction of the politician to them. That way they are assured that the anyhowness will continue. 
If you want the politics of Nigeria to be changed, YOU HAVE TO TAKE PART https://t.co/yGEMUQUrrx",56,22,https://twitter.com/AishaYesufu/status/1500488830473977858,2022-03-06 15:09:49+00:00
AishaYesufu,Aisha Yesufu,"The corrupt politicians you are disdainful of have shared values with many Nigerians. They know these corrupt politicians will not come after them and business will continue as usual.
Don't assume the corruption is glaring enough not to be voted.",56,9,https://twitter.com/AishaYesufu/status/1499811550655361032,2022-03-04 18:18:33+00:00
PoliceNG,Nigeria Police Force,"holds a Bachelor of Science Degree in Geography from the University of Maiduguri and a Post Graduate Certificate in Corruption Studies from the Honk Kong University. He is a Member, Certified Fraud Examiners. Prior to his posting as AIG FEDOPS, he was the AIG Zone 7, Abuja.",5,2,https://twitter.com/PoliceNG/status/1497552364894490625,2022-02-26 12:41:21+00:00
dj_switchaholic,Dj Switch,"Because of brown envelope… some young people are legit backing a sick, old, pissy pissy rotten teeth individual who’s visible record is greed and corruption. Some “youths” really deserve Nigeria.",1233,377,https://twitter.com/dj_switchaholic/status/1493975267987103746,2022-02-16 15:47:15+00:00
PoliceNG,Nigeria Police Force,"enhancement of the anti-corruption drive, respect for the rule of law and inter-agency collaboration in the drive to stabilise the internal security order of the country.",231,121,https://twitter.com/PoliceNG/status/1493270877089189894,2022-02-14 17:08:15+00:00
PoliceNG,Nigeria Police Force,"The Police investigations report also indicted DCP Abba Kyari, who had been on suspension for his alleged involvement in a different fraud case being investigated by the Federal Bureau of Investigations (FBI), for complicity in the allegation of official corruption, ...",211,122,https://twitter.com/PoliceNG/status/1493270325307523075,2022-02-14 17:06:03+00:00
PoliceNG,Nigeria Police Force,unprofessional dealings as well as official corruption which compromised ethical standards in their dealings with the suspects and exhibits recovered.,199,125,https://twitter.com/PoliceNG/status/1493268939702476806,2022-02-14 17:00:33+00:00
PoliceNG,Nigeria Police Force,"The Nigeria Police Force has arrested DCP Abba Kyari and four other police officers for their involvement in an alleged case of criminal conspiracy, discreditable, unethical, and unprofessional conduct, official corruption and tampering with exhibits in a case of ...",464,252,https://twitter.com/PoliceNG/status/1493267752748003337,2022-02-14 16:55:50+00:00
PoliceNG,Nigeria Police Force,"POLICE ARREST DCP ABBA KYARI, 4 OTHER POLICE OFFICERS FOR ALLEGATIONS OF TAMPERING WITH NARCOTIC EXHIBITS, OFFICIAL CORRUPTION AND SUNDRY UNPROFESSIONAL INFRACTIONS

As IGP Orders Immediate Transfer of Case to NDLEA,  Charges NDLEA to Investigate indicted officers of the Agency",7123,3620,https://twitter.com/PoliceNG/status/1493267749744873473,2022-02-14 16:55:49+00:00
PoliceNG,Nigeria Police Force,"We are also pursuing a Mission attainment Strategy that is built on the fundamentals of:
Ethical Regeneration, Restoration of Professional Standard and Enhancement of the Anti-Corruption Drive
Human Rights-Driven Policing 
Adoption of Intelligence-Guided and ...",2,0,https://twitter.com/PoliceNG/status/1491016062598803460,2022-02-08 11:48:25+00:00
AishaYesufu,Aisha Yesufu,"Hope Buhari will not leave office without ensuring @officialEFCC arrest and prosecute the person that stole 7 cars while leaving civil service.
The failure and incompetence will be too much.
Failed to secure lives.
Failed to prevent corruption
Instead became teacher of corruption https://t.co/Td0lF5VFM8",51,6,https://twitter.com/AishaYesufu/status/1488479720375205891,2022-02-01 11:49:54+00:00
