username,displayName,tweet,likes,retweets,link,date
AreaFada1,Charly Boy Area Fada 1,"Nigerian Democracy.

Money of the People
Stolen from the People
To Buy The People.

Stop sleeping on a long tin.
@Our Mumu Don Do",155,66,https://twitter.com/AreaFada1/status/1540406509242302464,2022-06-24 18:48:25+00:00
ShehuSani,Senator Shehu Sani,Tonto Dikeh’s emergence as the Deputy Governorship candidate in Rivers State is good for Democracy.This is a great challenge to other Female Nollywood and Kannywood stars;to step out of the screen to the ring.I’m not unaware that others have tried in the past.,2343,281,https://twitter.com/ShehuSani/status/1540310298112004096,2022-06-24 12:26:07+00:00
AishaYesufu,Aisha Yesufu,The legislative arm of government is the bedrock of democracy! Do not neglect it. https://t.co/D4EEOgYQ3V,792,245,https://twitter.com/AishaYesufu/status/1540002950533234688,2022-06-23 16:04:49+00:00
NGRPresident,Presidency Nigeria,"… which focuses on democracy, human rights, the rule of law, as well as economic opportunities and sustainable development.",3,1,https://twitter.com/NGRPresident/status/1539551807638319105,2022-06-22 10:12:09+00:00
dabiodunMFR,Prince Dr. Dapo Abiodun - MFR,"I therefore urge the winning team to better these inherited strides by delivering dividends expected by the supportive electorates.

I felicitate the entire people of Ekiti State, the All Progressives Congress and all minders of democracy on this great win.",23,5,https://twitter.com/dabiodunMFR/status/1538547125595914240,2022-06-19 15:39:54+00:00
ShehuSani,Senator Shehu Sani,People going after vote buyers house to house is the next revolutionary action to save democracy in 2023.,4865,1198,https://twitter.com/ShehuSani/status/1538293897801216005,2022-06-18 22:53:40+00:00
ShehuSani,Senator Shehu Sani,"The efforts to break the political dominance and monopoly of the two main political parties in Nigeria is good for our democracy;but no matter what happens,the effort must not fizzle out after the first attempt.",2287,425,https://twitter.com/ShehuSani/status/1538217153719111682,2022-06-18 17:48:42+00:00
AishaYesufu,Aisha Yesufu,"2023 Elections is about 5 positions 
President 
Governor
Senator
House of Representative member
State House of Assembly member

Don't focus on one and neglect the remaining 4.
Remember, the legislative arm of government is the bedrock of democracy. 
#1For5Votes 
#5Times5Votes",1369,531,https://twitter.com/AishaYesufu/status/1536676459976314882,2022-06-14 11:46:32+00:00
AishaYesufu,Aisha Yesufu,"#VoteCandidateInsteadOfParty 
Legislative arm of government is the bedrock of democracy!
Focus on it. 
We will cherrypick for this election. 
Competence character and capacity is what we will be looking for!",495,156,https://twitter.com/AishaYesufu/status/1536428280454303747,2022-06-13 19:20:22+00:00
PoliceNG,Nigeria Police Force,"#PHOTONEWS: National Parade to commemorate the 2022 Democracy Day, today June 13, 2022, at the Eagle Square, Abuja. https://t.co/mfWj5B5TjA",185,22,https://twitter.com/PoliceNG/status/1536334979914924032,2022-06-13 13:09:37+00:00
BashirAhmaad,Bashir Ahmad,The 2022 Democracy Day in Abuja. 🇳🇬 https://t.co/cdJTWNSMPP,2396,322,https://twitter.com/BashirAhmaad/status/1536324938025603073,2022-06-13 12:29:43+00:00
BashirAhmaad,Bashir Ahmad,Our Presidential Candidate earlier at the Eagle Square for the 2022 Democracy Day. https://t.co/kJ2u86Tyyf,3463,338,https://twitter.com/BashirAhmaad/status/1536314779060641792,2022-06-13 11:49:21+00:00
