username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,"@Engr_Abdulmalik Absolutely! It is the reason I do not block nor mute. You can insult me and it is your freedom of speech same as the person that compliments me.
Also I welcome dissenting opinions because they give me opportunity to look at issues from different perspectives.",2,1,https://twitter.com/AishaYesufu/status/1528492714467246082,2022-05-22 21:47:15+00:00
NGRPresident,Presidency Nigeria,… and urged religious and community leaders to call citizens’ attention to the need to exercise the right to freedom of speech responsibly.,52,19,https://twitter.com/NGRPresident/status/1525150114653822978,2022-05-13 16:24:57+00:00
BashirAhmaad,Bashir Ahmad,"Our media houses suppose to be partners in building the nation and its institutions like their peers elsewhere, but unfortunately some are clearly doing the opposite, all in the name of 'freedom of speech' and personal convictions. https://t.co/E44jcjnK1h",108,23,https://twitter.com/BashirAhmaad/status/1484461998616236034,2022-01-21 09:44:55+00:00
ShehuSani,Senator Shehu Sani,Intolerance to Freedom of speech has June 12 democracy day celebration a body without a soul.,516,122,https://twitter.com/ShehuSani/status/1403315457944440832,2021-06-11 11:37:32+00:00
ShehuSani,Senator Shehu Sani,"The right to freedom of speech as enshrined In our constitution doesn’t restrict,limit or specify the podium,arena,rostrum or the platform where it can be exercised or expressed.",1830,673,https://twitter.com/ShehuSani/status/1401991347729481738,2021-06-07 19:55:59+00:00
NGRPresident,Presidency Nigeria,"Under our Constitution, every citizen has the right to, among others, freedom of speech and expression, the right to own property and reside in any part of the country, and the right to move freely without any inhibitions. https://t.co/UYBDEeHPe0",221,93,https://twitter.com/NGRPresident/status/1349423295511343106,2021-01-13 18:29:19+00:00
AishaYesufu,Aisha Yesufu,"Under the incompetent, clueless, corrupt, inept and failure #ICCIF Rtd Major General Buhari @MBuhari who is also callous, heartless, irresponsible and pathetic #CHIP people like @Realoilsheikh no longer know freedom of speech https://t.co/F8HWAJDpSD",13,5,https://twitter.com/AishaYesufu/status/1306264321022988288,2020-09-16 16:10:58+00:00
ShehuSani,Senator Shehu Sani,NBC shouldn’t be a tool for undermining the right to freedom of speech and the right of the people to criticize their elected leaders and hold them to account.Its too early to forget that those in power today were once the beneficiaries of that respect for such rights.,1517,342,https://twitter.com/ShehuSani/status/1294188562229932033,2020-08-14 08:26:12+00:00
bulamabukarti,Bulama Bukarti,"Mubarak has a right to choose any faith or none at all and to express himself, but freedom of speech has never been absolute especially when it insults or ridicules someone's faith. Your hands are yours, but your right to stretch them stops where your neighbour's nose begins.",282,98,https://twitter.com/bulamabukarti/status/1255538080221745153,2020-04-29 16:42:59+00:00
AishaYesufu,Aisha Yesufu,"Isn't freedom of speech guaranteed in Nigeria? Why is government not doing anything to rescue Dadiyata?
#WhereIsDadiyata?
#AbductedAugust1st2019
@elrufai @MBuhari @PoliceNG @HQNigerianArmy @DefenceInfoNG https://t.co/R3e7soIi8y",24,13,https://twitter.com/AishaYesufu/status/1243287348412059648,2020-03-26 21:22:57+00:00
AishaYesufu,Aisha Yesufu,"Freedom of speech is guaranteed in our country. It is not a crime to criticise government. 
#WhereIsDadiyata?
#AbductedAugust1st2019
@elrufai @MBuhari @PoliceNG @HQNigerianArmy @DefenceInfoNG https://t.co/9VisD0N0Fa",22,17,https://twitter.com/AishaYesufu/status/1240277735357980672,2020-03-18 14:03:50+00:00
