username,displayName,tweet,likes,retweets,link,date
BashirAhmaad,Bashir Ahmad,"There was a Hausa–Fulani guy, named Zulum Tambuwal from Borokoto State. 😅 https://t.co/pGVb9Qeyc4",171,13,https://twitter.com/BashirAhmaad/status/1540454852542824448,2022-06-24 22:00:31+00:00
AishaYesufu,Aisha Yesufu,Sadly many think that every Fulani is Muslim. That is so far from the truth. https://t.co/sl8gZegZ37,100,9,https://twitter.com/AishaYesufu/status/1535933106003365888,2022-06-12 10:32:43+00:00
bulamabukarti,Bulama Bukarti,Police probe of the Owo attack found that it’s people who disguised as worshippers that detonated explosives inside the Church before shooting started. How likely is it for ‘Fulani herdsmen’ to successfully disguise as Yoruba worshippers? It’s always better to wait for the facts.,2232,1082,https://twitter.com/bulamabukarti/status/1534072444721500160,2022-06-07 07:19:07+00:00
AreaFada1,Charly Boy Area Fada 1,"If Buhari could appoint a Fulani man from Niger Republic to the OAU then instead of a Nigerian Igbo man that was a citizen of his own country...
Think of it...
""A leopard never changes its Spots""...",444,285,https://twitter.com/AreaFada1/status/1533204806252232707,2022-06-04 21:51:26+00:00
AreaFada1,Charly Boy Area Fada 1,"Fulani/Islam is busy plotting and strategizing, yet most ignorant Nigerians haven't noticed it. Most Southerners are still busy campaigning for Fulani/Islam.
#ourmumuneverdo?",1382,716,https://twitter.com/AreaFada1/status/1533086517417197570,2022-06-04 14:01:23+00:00
ShehuSani,Senator Shehu Sani,"First Interactive Dialogue under  the theme “The future of Fulani Pastoralists in Nigeria” organised by The Miyetti Allah Kautal Hore at Hilton Hotel,Abuja. https://t.co/fyVQlmFxMG",861,98,https://twitter.com/ShehuSani/status/1532384044381618176,2022-06-02 15:30:01+00:00
ShehuSani,Senator Shehu Sani,"Earlier today,Miyetti Allah Kautal Hore first Interactive Dialogue and Cultural Festival held at Hilton Hotel Abuja.Theme;The future of Fulani Pastoralists in Nigeria. https://t.co/yHD7nrY1rN",187,32,https://twitter.com/ShehuSani/status/1532375854218616833,2022-06-02 14:57:28+00:00
ShehuSani,Senator Shehu Sani,"Peter Obi is coming to Kaduna;As a good friend,any proverb said in Hausa or Fulani or Arabic dialects I will help in translating it to you and send to your WhatsApp;So that they don’t give you the Jagaban-Amaechi experience by the time you leave.",6164,1245,https://twitter.com/ShehuSani/status/1526144331169538050,2022-05-16 10:15:37+00:00
ShehuSani,Senator Shehu Sani,The Miyetti that didn’t buy N40m form for a Fulani Atiku couldn’t have bought N100m Form for GEJ.They are simply used in a political chess game.,4655,1071,https://twitter.com/ShehuSani/status/1523932850491478019,2022-05-10 07:47:59+00:00
ShehuSani,Senator Shehu Sani,There are millions of fulani that are neither Bandits nor armed herdsmen nor terrorists;but they have now become profiled victims of the dastardly &amp; cruel activities of their kinsmen.They are unjust recipients of societal anger &amp; vendetta.They must revolt against those bad eggs.,2408,503,https://twitter.com/ShehuSani/status/1514198828748005382,2022-04-13 11:08:27+00:00
ShehuSani,Senator Shehu Sani,"The most dangerous terrorists in Nigeria today are Turji,Gide &amp; Manjagara &amp; they are all of our Fulani ethnic group;killing,raping,kidnapping people &amp; burning down villages.They r evil men &amp; those who pamper them or cover them up r equally evil.Their atrocities are unforgivable.",3023,968,https://twitter.com/ShehuSani/status/1502186307761672193,2022-03-11 07:34:59+00:00
ShehuSani,Senator Shehu Sani,@fulani_leemah Rasha zata Ukraine kenan.,17,1,https://twitter.com/ShehuSani/status/1497557347895586818,2022-02-26 13:01:09+00:00
BashirAhmaad,Bashir Ahmad,@Fulani_Tutor Thank you Tutor. 🙏🏽,7,0,https://twitter.com/BashirAhmaad/status/1495138970086387712,2022-02-19 20:51:23+00:00
bulamabukarti,Bulama Bukarti,"Third, he said marginalisation of Fulanis should stop. That they’re not out to break up Nigeria or take over govt, but were pushed by discrimination &amp; bigotry against Fulanis. I don’t see how this could stand in the face of the fact that the president &amp; many governors are Fulani.",79,48,https://twitter.com/bulamabukarti/status/1472560882752397315,2021-12-19 13:34:07+00:00
ShehuSani,Senator Shehu Sani,"Bandits killed the Lere LG Cattle Breeders Chairman in Kaduna State,Abubakar Danladi for failing to post a ransom of $40k.The Bandits are majorly Fulani,but they don’t even spare their kinsmen or tribal leaders.Their atrocities are indefensible and without borders.",461,130,https://twitter.com/ShehuSani/status/1439139079652708360,2021-09-18 08:07:49+00:00
ShehuSani,Senator Shehu Sani,@OduduwaR Correction;It’s Fulani/Yoruba Government;PMB and Osibanjo.,117,17,https://twitter.com/ShehuSani/status/1424795035934117888,2021-08-09 18:09:42+00:00
AishaYesufu,Aisha Yesufu,@nwaegbe_nkem @FlorenceOzor @Jokotade_ng What will Fulani say?,4,2,https://twitter.com/AishaYesufu/status/1423355138924847107,2021-08-05 18:48:04+00:00
AreaFada1,Charly Boy Area Fada 1,"To all our Fulani haters, who are against the dot, we will use your hate as our fuel. https://t.co/nJY4Fcnllc",42,24,https://twitter.com/AreaFada1/status/1419284575562485770,2021-07-25 13:13:06+00:00
ShehuSani,Senator Shehu Sani,"Whenever @renoomokri tells Hausa/Fulani the truth,they chase him with Swords;Whenever he tells Igbos the truth,they chase him with machetes.Its easier to tell the truth than to accept it.",2002,431,https://twitter.com/ShehuSani/status/1413540931756826627,2021-07-09 16:49:55+00:00
AishaYesufu,Aisha Yesufu,"Southern Kaduna people were being killed during Jonathan but bloody sycophants insulted us for making demands then. 
You think Fulani herdsmen started attacking today? Those who now make demands once attacked us for making same demands because their own was in power.
Nonsense!",1738,504,https://twitter.com/AishaYesufu/status/1403084268725800963,2021-06-10 20:18:52+00:00
AreaFada1,Charly Boy Area Fada 1,"My friend, do not be mumued the real battle is not between North and South, Christian and Muslim, Igbo and Fulani. No.The real battle is between love and hate, between extremism and tolerance, between meritocracy and privilege, between a dynamic view of culture and a static one.",132,45,https://twitter.com/AreaFada1/status/1400698997594103809,2021-06-04 06:20:39+00:00
AishaYesufu,Aisha Yesufu,My Governor is @GovernorObaseki and I didn't know he was fulani or hausa https://t.co/VeuuSWTuyM,42,8,https://twitter.com/AishaYesufu/status/1399709524811030537,2021-06-01 12:48:50+00:00
ShehuSani,Senator Shehu Sani,A delegation of Fulani Youth leaders from across Nigeria paid me a courtesy call in my office.A fruitful meeting in search of peace. https://t.co/b9Ft04OXrR,453,101,https://twitter.com/ShehuSani/status/1382671223679811584,2021-04-15 12:24:43+00:00
