username,displayName,tweet,likes,retweets,link,date
NGRPresident,Presidency Nigeria,"Drought, land restoration, and related enablers such as land rights, gender equality and youth empowerment are among the top items on the Conference agenda.
#PMBAtCOP15",25,5,https://twitter.com/NGRPresident/status/1523297916890218496,2022-05-08 13:44:59+00:00
dabiodunMFR,Prince Dr. Dapo Abiodun - MFR,"Signing an Executive Order for the establishment of Ogun State Women Empowerment, Inclusion and Equal Opportunities Bureau is a further testament towards our commitment to the 5th Sustainable Development Goal: Gender Equality, in our dear State. 

  #DapoAbiodun #GenderEquality https://t.co/nnSYs2SBZG",49,18,https://twitter.com/dabiodunMFR/status/1510326083501109248,2022-04-02 18:39:33+00:00
AishaYesufu,Aisha Yesufu,"I wrote this on the day that the National Assembly rejected the Gender Equality Bill 
#EqualityForDummies 
Full video on https://t.co/GMU4d3Z0f2 https://t.co/miWIVhMqs6",80,31,https://twitter.com/AishaYesufu/status/1397567974475800584,2021-05-26 14:59:05+00:00
AishaYesufu,Aisha Yesufu,"I remain fully committed to ensuring that all women #WinTogether. Head on to https://t.co/xzbHfbA1eu to view the complete list. 
#LLA100Women2021 #ChooseToChallenge #IWD2021 #WomensMonth #GenderEquality #LeadingLadiesAfrica @LeadingLadiesAF",56,5,https://twitter.com/AishaYesufu/status/1368877903090450442,2021-03-08 10:54:59+00:00
AishaYesufu,Aisha Yesufu,"Today I #ChooseToChallenge gender bias, inequality and all the negative stereotypes that prevent women all over the world from becoming their best selves. 
#LLA100Women2021 #ChooseToChallenge #IWD2021 #WomensMonth #GenderEquality #LeadingLadiesAfrica
@LeadingLadiesAF",68,12,https://twitter.com/AishaYesufu/status/1368877782307069955,2021-03-08 10:54:30+00:00
AishaYesufu,Aisha Yesufu,"Honored to be named among the diverse ranks of other amazing Nigerian women pushing boundaries, and impacting the world in the most meaningful and powerful ways. 
#LLA100Women2021 #ChooseToChallenge #IWD2021 #WomensMonth #GenderEquality #LeadingLadiesAfrica
@LeadingLadiesAF",83,6,https://twitter.com/AishaYesufu/status/1368877553491075074,2021-03-08 10:53:35+00:00
AishaYesufu,Aisha Yesufu,"I’m honoured to be announced as one of the honorees on Leading Ladies Africa’s #100 Most Inspiring Women in Nigeria List. 
#LLA100Women2021 #ChooseToChallenge #IWD2021 #WomensMonth #GenderEquality #LeadingLadiesAfrica 
@LeadingLadiesAF https://t.co/HL4FJzRJEF",2160,270,https://twitter.com/AishaYesufu/status/1368877374444625920,2021-03-08 10:52:53+00:00
dabiodunMFR,Prince Dr. Dapo Abiodun - MFR,"Our Government prioritises population and gender equality, so we have taken serious steps towards strengthening our relevant laws and agencies.",3,2,https://twitter.com/dabiodunMFR/status/1298649282380275714,2020-08-26 15:51:31+00:00
AishaYesufu,Aisha Yesufu,"How did we get to men can push you to the end narrative to justify what Maryam Sanda did?
Gender hypocrisy?! It is easier for you to believe a man is abusive but not a woman being abusive? Yet you say you are fighting gender equality. 
You just scored an own goal!",1156,471,https://twitter.com/AishaYesufu/status/1222065134069256192,2020-01-28 07:53:27+00:00
AishaYesufu,Aisha Yesufu,"I wrote this when the National Assembly threw out the gender equality bill &amp; i think i should put it out here again
#EqualityForDummies
My name is Aisha Yesufu. I happen to be a human being with the reproductive organs of a female so I am called a woman. 

https://t.co/4y5JPLNDwp",149,92,https://twitter.com/AishaYesufu/status/1213715373268357120,2020-01-05 06:54:29+00:00
