username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,Steal ke?! We don't steal sister! We appropriate with impunity! You will know it is yours but you cannot say pim! https://t.co/Foe2Osvgzl,37,3,https://twitter.com/AishaYesufu/status/1536781253751582720,2022-06-14 18:42:57+00:00
AishaYesufu,Aisha Yesufu,"To all the mallams and people that supported the heinous killing of Deborah in Sokoto hope you are all seeing the results of your support for an evil and dastardly act!
You have emboldened people to kill with impunity! https://t.co/qIVIPht1EM",224,83,https://twitter.com/AishaYesufu/status/1533418654183960583,2022-06-05 12:01:11+00:00
AishaYesufu,Aisha Yesufu,"Innalillahi wa inna ilayhi rajiun. 
What kind of barbaric precedent is this that is being allowed with impunity?
If this is not decisively dealt with many will continue to take laws into their hands. https://t.co/vDWHJvvLwx",152,47,https://twitter.com/AishaYesufu/status/1533178485660860421,2022-06-04 20:06:50+00:00
AishaYesufu,Aisha Yesufu,"The audacity and impunity in Nigeria is unbelievable! Let us even imagine that paying delegates is a normal thing to do. How will a delegate collect money from a candidate knowing fully well that they will not be voting the person?
We have a lot of mess to clean up!",993,206,https://twitter.com/AishaYesufu/status/1530257637262098436,2022-05-27 18:40:26+00:00
AishaYesufu,Aisha Yesufu,"So when we separate Nigeria will this lynching in Edo now be okay? Is it that Edo is uneducated? This impunity people have to kill for their religion, kill for their culture, kill for their property, kill for their pleasure has to be stopped. 
NIGERIA IS A BLOODY CRIME SCENE! https://t.co/wgWrZwzsAR",122,50,https://twitter.com/AishaYesufu/status/1525440819049771012,2022-05-14 11:40:07+00:00
AishaYesufu,Aisha Yesufu,Until government take protection of lives and properties seriously these atrocities will continue with impunity! https://t.co/fyX31imW1B,29,9,https://twitter.com/AishaYesufu/status/1525055180416421890,2022-05-13 10:07:43+00:00
obyezeks,Oby Ezekwesili,"All these contestants do not think they are accountable to citizens and act with impunity because they are confident there will never be any consequences for their bad behavior.
That’s what needs to change. The Citizens’ tolerance and endorsement of Politicians’s bad behavior. https://t.co/KxVTVGxVYo",28,17,https://twitter.com/obyezeks/status/1522677525826134019,2022-05-06 20:39:46+00:00
obyezeks,Oby Ezekwesili,"The word Impunity is no longer adequate to describe what Public Officials are currently doing in this Land called Nigeria at this time. 

I sure hope it is not true that @cenbank Governor still in office has also picked their N100M Nomination form to run for President. 

I hope🤮",75,33,https://twitter.com/obyezeks/status/1522565424126341123,2022-05-06 13:14:19+00:00
AishaYesufu,Aisha Yesufu,"That the Lekki Toll Gate is being reopened with less than a year to general election says everything about how disregarded citizens are. Until citizens begin to use their power votes, the impunity from government will not stop
#NoJusticeNoToll",402,159,https://twitter.com/AishaYesufu/status/1509892322187751455,2022-04-01 13:55:56+00:00
AishaYesufu,Aisha Yesufu,@AtyAdejo They actually are. There are sanctions for failing to do the work which we do not have here so the impunity of not getting the waste disposed continues,1,0,https://twitter.com/AishaYesufu/status/1505512539605635072,2022-03-20 11:52:15+00:00
AishaYesufu,Aisha Yesufu,@AtyAdejo They are that way because they have the enabling environment for the impunity to be that way. The government holds the key to resetting society and we need decent people in charge of government,0,0,https://twitter.com/AishaYesufu/status/1505496981598310402,2022-03-20 10:50:25+00:00
AishaYesufu,Aisha Yesufu,@elgeotaofeeq @realpyper1 The arrogance and impunity. No fear!,14,2,https://twitter.com/AishaYesufu/status/1501625070518689799,2022-03-09 18:24:50+00:00
AishaYesufu,Aisha Yesufu,"Nigerian politicians are not the only ones with arrogance, impunity and sense of entitlement! The citizens are too! They are waiting for those who protested at ojota to protest for them now.
What happened to your hands, mouth and legs?
Pathetic and cowardly beings with no shame!",508,111,https://twitter.com/AishaYesufu/status/1499270319365885953,2022-03-03 06:27:53+00:00
obyezeks,Oby Ezekwesili,"This is the condition which afflicts the Nigerian citizens and in fact across Africa which then empowers the political class to act with impunity. 

It is a debilitating condition. 
But it can be tackled. Yes it can. ✍🏾",27,5,https://twitter.com/obyezeks/status/1499058758802190342,2022-03-02 16:27:13+00:00
AishaYesufu,Aisha Yesufu,"Aisha is emotional &amp; has personal vendetta!
Aisha is bitter &amp; frustrated!
Aisha is mad!
Stellar performance!
Answer!
If the Executive know they will be held accountable by the legislative arm for killing you with impunity, will they dare?
#TheyDontFightForYou
#DoPoliticsWithSense https://t.co/nRg4qegeqP",39,12,https://twitter.com/AishaYesufu/status/1490297372148174850,2022-02-06 12:12:36+00:00
AishaYesufu,Aisha Yesufu,Those who keep saying that only APC and PDP can produce the President are ENABLERS of the impunity of the two parties in NOT putting forth their most competent candidates but rather give their most incompetent candidates for people to endorse on election day!,550,166,https://twitter.com/AishaYesufu/status/1488515522610319367,2022-02-01 14:12:10+00:00
AishaYesufu,Aisha Yesufu,"The fight for #ChibokGirls is the fight for the soul of Nigeria!
The impunity of leadership must be nipped! https://t.co/NhqMiKcFbw",24,3,https://twitter.com/AishaYesufu/status/1485227391236685830,2022-01-23 12:26:18+00:00
AishaYesufu,Aisha Yesufu,"Because of our weak judiciary, there is high level of fraud and many do it with impunity!",56,6,https://twitter.com/AishaYesufu/status/1479567375607508999,2022-01-07 21:35:26+00:00
AishaYesufu,Aisha Yesufu,"Buhari's impunity was enabled by the people 

#ConversationsFor2022
@AminuEcon https://t.co/s3ouLKeOOv",8,2,https://twitter.com/AishaYesufu/status/1477046644311007234,2021-12-31 22:38:56+00:00
AishaYesufu,Aisha Yesufu,"@awallexy @tonydaymn10 Unprecedented corruption, impunity from government. Abba Moro
Militarization of election. Obanikoro !
Dollar jumped. APC went used it for campaign. 
@tonydaymn10 is a sycophant that never saw anything wrong in the government he defended.",0,0,https://twitter.com/AishaYesufu/status/1474295629702643712,2021-12-24 08:27:23+00:00
ShehuSani,Senator Shehu Sani,Ms Shatu Garko contested Miss Nigeria pageant decently dressed.She has not cross the line of our cultural standards here in the North.There are the daughters of the rich and the powerful that have done that with impunity.I appeal to the Hisbah religious authorities to let her be.,1148,331,https://twitter.com/ShehuSani/status/1473650787846959111,2021-12-22 13:45:01+00:00
bulamabukarti,Bulama Bukarti,"A senior traditional ruler in BirninGwari told BBC Hausa that bandit terrorists continue to operate with impunity in their area despite reports of military success. He said even on Monday, 30 people were abducted &amp; farmers are still having to pay terrorists to access their farms.",191,154,https://twitter.com/bulamabukarti/status/1468487494140317701,2021-12-08 07:47:56+00:00
AishaYesufu,Aisha Yesufu,"Leadership is everything. Babajide Sanwo-Olu @jidesanwoolu is the one who has shown security agents that his people can be killed with impunity. We used to envy protesters in lagos until sanwo-olu.
Lagos protesters used to be protected by security agents. Now killed with impunity",602,281,https://twitter.com/AishaYesufu/status/1468296189330214913,2021-12-07 19:07:45+00:00
bulamabukarti,Bulama Bukarti,"Niger State has again rag the alarm bells that Boko Haram has taken over 5 villages in Rafi &amp; Shiroro LGAs. The SSG told BBC Hausa that the group is operating with impunity and preaching to recruit people. The Governor flagged this months ago, but the FG didn’t take it seriously.",142,101,https://twitter.com/bulamabukarti/status/1460873511568908297,2021-11-17 07:32:41+00:00
obyezeks,Oby Ezekwesili,"East. West. North . South. 

The blood that has been shed in the Land cries out daily. 

There will surely be an accounting for innocent citizens gruesomely killed with impunity while @NigeriaGov carries on without a care for the worth of human lives. ✍🏾",57,32,https://twitter.com/obyezeks/status/1460338112601763841,2021-11-15 20:05:12+00:00
AishaYesufu,Aisha Yesufu,"I have repeatedly been saying that Nigeria breeds serial killers. These people killing with impunity don't stop, they do more.
These are cowardly barbarians killing innocent citizens while running away from terrorists. They flex when they are up against defenceless civilians https://t.co/zkrJu7bMcz",181,150,https://twitter.com/AishaYesufu/status/1455514011315974148,2021-11-02 12:35:57+00:00
