username,displayName,tweet,likes,retweets,link,date
bulamabukarti,Bulama Bukarti,"When I wrote 13 months ago warning that IPOB would slide into a Boko Haram &amp; the SE would end up becoming the biggest victim, some folks here fumed “this is rubbish”, “Igbo will never kill/harm Igbo”, “IPOB is not ideologically-motivated”… I’d love to hear what they think today.",547,149,https://twitter.com/bulamabukarti/status/1532355923603226626,2022-06-02 13:38:16+00:00
NGRPresident,Presidency Nigeria,"… following the viral videos of the alleged killings of non-indigenes by the Eastern Security Network (ESN) and its mother terrorist group, the Indigenous People of Biafra (IPOB).",61,26,https://twitter.com/NGRPresident/status/1529452380789645314,2022-05-25 13:20:38+00:00
AishaYesufu,Aisha Yesufu,"Thanks for the clarification. Let me ask you. Would you have been outraged if Harira and her children weren't Muslim Northerners killed by Ipob murderers? I didn't see you when the Anambra lawmaker was killed beheaded and his head displayed. 
Think about your response. https://t.co/WQwMYIBjU8",111,18,https://twitter.com/AishaYesufu/status/1529197686812987393,2022-05-24 20:28:34+00:00
bulamabukarti,Bulama Bukarti,"If you get mad because IPOB is called a “terrorist group”, which what it truly and absolutely is, you are likely one of them.",3989,1663,https://twitter.com/bulamabukarti/status/1529142511461097472,2022-05-24 16:49:19+00:00
BashirAhmaad,Bashir Ahmad,"Fatima, a pregnant woman and her four kids were gruesomely killed by IPOB terrorists in Anambra. A totally evil and inhuman act and should be condemned by all.",8674,3041,https://twitter.com/BashirAhmaad/status/1529131222831616003,2022-05-24 16:04:28+00:00
bulamabukarti,Bulama Bukarti,"IPOB is beheading soldiers and slaughtering women &amp; kids in its systematic attack on Nigeria and its genocide against northerners in the SE, while Gov Soludo is happily posing for a photo with Nnamdi Kanu. Soludo &amp; Buhari must do better. This has to stop NOW.
#StopIPOBGenocideNow",1848,1108,https://twitter.com/bulamabukarti/status/1529097628318851073,2022-05-24 13:50:58+00:00
AishaYesufu,Aisha Yesufu,"Today it is the Ipob leaders and Buhari that see us as enemies!
Buhari failed to secure the South East!
Buhari failed to secure the North West 
Buhari failed to secure the South South
Buhari failed to secure the South West
Buhari failed to secure the North Central and North East! https://t.co/1bhAJndPYF",79,31,https://twitter.com/AishaYesufu/status/1528468416872554497,2022-05-22 20:10:42+00:00
bulamabukarti,Bulama Bukarti,"This step is a sign that IPOB's violence is increasingly isolating it not just domestically, but internationally too. The FG should use this momentum to provide evidence to the international community to get IPOB recognised as terror group. This will help the fight against them.",47,18,https://twitter.com/bulamabukarti/status/1522590210089000960,2022-05-06 14:52:49+00:00
bulamabukarti,Bulama Bukarti,The news that the UK has designated IPOB as terrorist group is a misunderstanding. The UK simply noted Nigeria's designation of IPOB &amp; its violence as matters to be considered in asylum applications by IPOB members. This may be a win for Nigeria but is different from designation.,138,57,https://twitter.com/bulamabukarti/status/1522588069685301248,2022-05-06 14:44:18+00:00
MBuhari,Muhammadu Buhari,"… led to the overrunning of IPOB/ESN bases, the seizure of weapons and the arrest of a large number of suspects.",240,78,https://twitter.com/MBuhari/status/1521080091308138499,2022-05-02 10:52:08+00:00
