username,displayName,tweet,likes,retweets,link,date
ShehuSani,Senator Shehu Sani,Kidnapping a DPO in Nasarawa state;the abductions has reached another level.,3370,802,https://twitter.com/ShehuSani/status/1540289097448804357,2022-06-24 11:01:52+00:00
ShehuSani,Senator Shehu Sani,The New Millennium City community in Kaduna is supposed to be a safe place;the report of the invasion by Bandits and the kidnapping of a family of Seven including the wife of a military officer is unfortunate.The people are helpless and the Government is hopeless.,1658,447,https://twitter.com/ShehuSani/status/1539855611621408768,2022-06-23 06:19:21+00:00
ShehuSani,Senator Shehu Sani,It’s tragic and sad for anyone to fake kidnapping.,1362,148,https://twitter.com/ShehuSani/status/1538935130101891073,2022-06-20 17:21:41+00:00
ShehuSani,Senator Shehu Sani,"The report of the kidnapping of the former Secretary General of the @thenff Sani Toro and two others,along Abuja Akwanga road is tragic.We should keep them in our prayers while urging the Authorities to do everything possible to secure their freedom.",842,146,https://twitter.com/ShehuSani/status/1538473120537128960,2022-06-19 10:45:50+00:00
PoliceNG,Nigeria Police Force,"ALLEGED KIDNAPPING OF AMEERA: SCENARIO RAISES SUSPICIONS
As Police Interrogate ""Victim""

 Amira Safiyanu who claimed to have been kidnapped along with 17 others by some policemen at gun point on 14th June, 2022, has been found.",1549,720,https://twitter.com/PoliceNG/status/1537784538084040706,2022-06-17 13:09:39+00:00
BashirAhmaad,Bashir Ahmad,"Glory to Almighty God! Ameerah Sufyan is currently safe in the FCT Police custody. The authority has debunked her alleged kidnapping and 16 others.

A lot of people, particularly myself received a lot of insults when the incident was first reported by her.

Allah ya kiyaye gaba.",2941,663,https://twitter.com/BashirAhmaad/status/1537746933132967937,2022-06-17 10:40:13+00:00
mrmacaronii,MrMacaroni,"Everyday, we find ourselves dealing with one form of insecurity or the other.. Killings, kidnapping and attacks on Nigerians across different parts of the country. 
Our Leaders have failed us!! We must be part of the movement to usher in a new dispensation!!! Get Your PVC!!!",6831,2035,https://twitter.com/mrmacaronii/status/1536735655161651203,2022-06-14 15:41:46+00:00
AreaFada1,Charly Boy Area Fada 1,"Naija, a country dat shoots armless youth  protesters, but hold peace parleys with bandits, dashing dem monies.
Any wonder why kidnapping has become a booming Buisness in Buhari’s Nigeria.
#ourmumuneverdo",160,87,https://twitter.com/AreaFada1/status/1533008527325036544,2022-06-04 08:51:29+00:00
PoliceNG,Nigeria Police Force,"The suspects confessed to being responsible for the string of kidnappings and banditry operations in Taraba, Gombe, and Adamawa States. They equally admitted to the kidnapping of one Malam Wanzam of Iware Village in Taraba State.",7,2,https://twitter.com/PoliceNG/status/1532766114626904067,2022-06-03 16:48:13+00:00
PoliceNG,Nigeria Police Force,"The IGP made this call even as dauntless operatives of the Force Intelligence Bureau – Special Tactical Squad/Tactical Intelligence Unit (FIB-STS/TIU), acting on actionable intelligence, successfully intercepted two suspects in connection with armed robbery, kidnapping, ...",6,3,https://twitter.com/PoliceNG/status/1532766098709483523,2022-06-03 16:48:10+00:00
