username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,@MNJtheoptimist I am a Muslim. That's why the dressing.,4,0,https://twitter.com/AishaYesufu/status/1538125339439910913,2022-06-18 11:43:52+00:00
dabiodunMFR,Prince Dr. Dapo Abiodun - MFR,"We are confident that this year's pilgrimage will bring a significant improvement on past ones, as members of the committee were selected from a pool of equally dedicated and spiritually upright Muslims. #BuildingOurFutureTogether #ISEYA #OgunState https://t.co/RRO6AuKk09",31,12,https://twitter.com/dabiodunMFR/status/1537840689916129285,2022-06-17 16:52:46+00:00
dabiodunMFR,Prince Dr. Dapo Abiodun - MFR,"Inaugurating the Ad-Hoc Committee on Ogun State's Muslim Pilgrims Welfare Board today in Abeokuta, I charged them to dutifully handle the 2022 Hajj exercise for pilgrims in the State. https://t.co/anYIWWcYCy",93,26,https://twitter.com/dabiodunMFR/status/1537840658014142465,2022-06-17 16:52:39+00:00
AishaYesufu,Aisha Yesufu,"2) I am from South South, Peter Obi is South East (An all Southern ticket is insensitive just like Muslim-Muslim one)

For many who still do not know. I am from Agbede (Kukuruku empire) in Etsako West Local Government Area of Edo State! 😍
My coconut head come from ancestors!",2307,181,https://twitter.com/AishaYesufu/status/1537824566260768770,2022-06-17 15:48:42+00:00
AishaYesufu,Aisha Yesufu,"@nelsonn001 @PeterObi 1) I am not at a place to serve. Anything I do i do with my heart, body &amp; soul. Until I know I can serve Nigeria with everything and be accountable I wouldn't. 
2) I am from South South, Peter Obi is South East (An all Southern ticket is insensitive just like Muslim-Muslim one)👇",43,0,https://twitter.com/AishaYesufu/status/1537817048398577664,2022-06-17 15:18:50+00:00
ShehuSani,Senator Shehu Sani,The Supreme Court of Nigeria has given Muslim students the right to wear their Hijab as uniforms.The ruling respects the religious rights and choices of the students.The positive aspect of this ruling is that no one is forced to wear it.The controversy should be rested for peace.,3106,605,https://twitter.com/ShehuSani/status/1537754222502060032,2022-06-17 11:09:11+00:00
ShehuSani,Senator Shehu Sani,Those outside of Kaduna who are citing Kaduna as a good example of Muslim Muslim Ticket should relocate and come and live with us.There are a good number of vacant properties with good prices on the outskirts of the city.,7565,2560,https://twitter.com/ShehuSani/status/1537416775628906499,2022-06-16 12:48:17+00:00
BashirAhmaad,Bashir Ahmad,I just don’t understand why the process of choosing the Vice Presidential Candidate of our party becomes a headache for members of the opposition parties? A Muslim-Muslim or a Christian-Christian ticket or whatever combination we come up with is only a business of ours not yours.,3783,605,https://twitter.com/BashirAhmaad/status/1536672214728200194,2022-06-14 11:29:40+00:00
AishaYesufu,Aisha Yesufu,"A man was burnt the other day in Abuja for blasphemy. He was a Muslim so there was no religious angle to keep citizens engaged on it.

I hope those who support heinous killings for religion see the result of their hand work.
Killers have been emboldened to kill! https://t.co/ZfNXH77kak",88,22,https://twitter.com/AishaYesufu/status/1536639757714870272,2022-06-14 09:20:42+00:00
bulamabukarti,Bulama Bukarti,"A Muslim-Muslim ticket isn’t just deeply unfair &amp; anti-Nigeria, it’s also politically dumb. It’d completely alienate Christian voters (40-ish percent) and a significant portion of Muslims would still vote for Atiku. In the end, it’d a stupid political suicide for BAT and the APC.",458,171,https://twitter.com/bulamabukarti/status/1536336457811517440,2022-06-13 13:15:29+00:00
