username,displayName,tweet,likes,retweets,link,date
NGRPresident,Presidency Nigeria,"Recalling that the former Commissioner for Commerce and Industry in Ogun State was named Commissioner of the Year during his time in office, President Buhari charges Ashiru to replicate the feat in his new assignment, “and do all those who have reposed confidence in him proud.”",20,5,https://twitter.com/NGRPresident/status/1539593208329551874,2022-06-22 12:56:39+00:00
NGRPresident,Presidency Nigeria,"He charges the new Chairman to deploy his wealth of experience garnered over decades to take Odua Group to higher heights, and justify the nod given him by the Board of Directors.",3,0,https://twitter.com/NGRPresident/status/1539593137177362439,2022-06-22 12:56:22+00:00
NGRPresident,Presidency Nigeria,"STATE HOUSE PRESS RELEASE

PRESIDENT BUHARI CONGRATULATES OTUNBA BIMBO ASHIRU, NEW BOARD CHAIRMAN OF ODUA GROUP

#Thread https://t.co/8ZheGnkEog",72,22,https://twitter.com/NGRPresident/status/1539592830661828608,2022-06-22 12:55:09+00:00
PoliceNG,Nigeria Police Force,The IGP equally expressed high hopes that the groundwork being laid by the programme would usher in a new and positive era in the Nigeria Police Force.,30,3,https://twitter.com/PoliceNG/status/1538964506000384000,2022-06-20 19:18:25+00:00
BashirAhmaad,Bashir Ahmad,"So great to see the amount of people, especially the youths going out to register for their PVC. We should all be part of the process of electing the new set of leaders in this great country, Nigeria. Get your PVC today and ask your family and friends to also get theirs. #Nigeria",975,142,https://twitter.com/BashirAhmaad/status/1535608639423381510,2022-06-11 13:03:24+00:00
obyezeks,Oby Ezekwesili,"When an existing Model is broken and unsalvageable, wisdom instructs that you create a New one. No need crying over spilt milk. No need.
We are dedicated to our .@TheSPPG mission building that new genre of public leaders that will confront and solve Nigeria’s governance failures. https://t.co/suw7AUBwfY",26,6,https://twitter.com/obyezeks/status/1534903555319922689,2022-06-09 14:21:39+00:00
dj_switchaholic,Dj Switch,"Who did Nigeria this thing? 🫤 don’t mention lord Lugard here cause clearly we are doing ourselves! Our new slave master is money! We’ve sold our integrity and brains! It seems, yet again that we are planning on selling our future. Get your PVC! Look for an individual with a plan",578,155,https://twitter.com/dj_switchaholic/status/1534521198872231936,2022-06-08 13:02:18+00:00
ShehuSani,Senator Shehu Sani,"The opposition primaries is done.All aspirants,party members and Nigerians who want…(I wanted to write Change but I changed my mind) a new united,peaceful &amp; prosperous Nigeria should rally round the Candidate Atiku Abubakar.And for AA,Choose a VP you can work with as a team.",1745,278,https://twitter.com/ShehuSani/status/1531215561887203334,2022-05-30 10:06:53+00:00
NGRPresident,Presidency Nigeria,"In a short interaction with Sheikh Mohamed bin Zayed Al Nahyan, the new Ruler of Abu Dhabi and President of the UAE during a condolence visit to the Presidential Palace on Friday, President Buhari expressed his condolences and that of Nigeria…",14,4,https://twitter.com/NGRPresident/status/1528737817962102784,2022-05-23 14:01:13+00:00
PoliceNG,Nigeria Police Force,"The Nigeria Police Force, has however dissociated the wife of the IGP, and current President of the Police Officers’ Wives Association (POWA), Hajia Hajara Alkali Baba, and the Association from the allegation following the new POWA policy, upon her assumption of office, ...",6,0,https://twitter.com/PoliceNG/status/1527734373566533633,2022-05-20 19:33:53+00:00
NGRPresident,Presidency Nigeria,"The President, in an earlier congratulatory message to the new UAE leader, had reaffirmed Nigeria’s cordial relationship with the country, noting that the cooperation between both governments have helped Nigeria in tracking down illegal assets and tracing terrorist funds.",19,6,https://twitter.com/NGRPresident/status/1527252626097819651,2022-05-19 11:39:35+00:00
NGRPresident,Presidency Nigeria,"The President, who will depart Abuja on Thursday, will also extend his congratulations to the new President, renewing bonds of the longstanding friendship between Nigeria and the UAE.",23,6,https://twitter.com/NGRPresident/status/1527252598339796992,2022-05-19 11:39:29+00:00
PoliceNG,Nigeria Police Force,"urges the new officials to work collectively and closely with the Nigeria Police Force in ensuring a balanced reportage while the Force collaborates with CRAN for a safe, secured and peaceful country in general.",5,2,https://twitter.com/PoliceNG/status/1523766355719495680,2022-05-09 20:46:24+00:00
PoliceNG,Nigeria Police Force,"IGP CONGRATULATES NEW CRAN EXCOS

-Charges journalists on Balanced Crime Reportage

The Inspector-General of Police, IGP Usman Alkali Baba, psc(+), NPM, fdc, congratulates the newly elected President of the Crime Reporters Association of Nigeria (CRAN), https://t.co/dIPKq57kDg",121,16,https://twitter.com/PoliceNG/status/1523766343798976513,2022-05-09 20:46:21+00:00
MBuhari,Muhammadu Buhari,"I appreciate the honour of naming the new Ebonyi State International Airport and the magnificent 4-way Light Tunnel after me. It is hoped that these facilities and many more will further the frontiers of economic development in Ebonyi State in particular, and in Nigeria at large.",377,73,https://twitter.com/MBuhari/status/1523727854214664192,2022-05-09 18:13:24+00:00
