username,displayName,tweet,likes,retweets,link,date
PoliceNG,Nigeria Police Force,"as well as the Managing Director, Niger Delta Development Commission (NDDC), Dr. Effiong Akwa; Senior Military Officers, Members of the Force Management Team, Traditional Leaders, amongst other dignitaries.",21,6,https://twitter.com/PoliceNG/status/1532082242373275650,2022-06-01 19:30:45+00:00
NGRPresident,Presidency Nigeria,"At the start of April, the Nigerian Navy commenced a massive operation aimed at putting an end to oil theft &amp; illegal refining in the Niger Delta, deploying 40 ships, 5 helicopters and 200 boats. 

Here’s what “Operation Dakatar Da Barawo” (‘Stop the Thief’) has achieved so far: https://t.co/3DOBpqWgQU",172,81,https://twitter.com/NGRPresident/status/1515373592372035596,2022-04-16 16:56:33+00:00
NGRPresident,Presidency Nigeria,"In response to the recent spike in terrorist activity particularly in the Kaduna &amp; Niger States axis, the defense establishment, in response to presidential directives, has realigned &amp; reorganized the ongoing operation in the areas, as well as that going on in the Niger Delta.",163,72,https://twitter.com/NGRPresident/status/1514629179156971522,2022-04-14 15:38:31+00:00
BashirAhmaad,Bashir Ahmad,"The Federal Executive Council (FEC) today, approved the issuance of provisional licences for the establishment of 12 private universities across the country.

The universities are located in Kano, Niger, Gombe, Sokoto, Delta, Abia, Anambra states and the FCT Abuja.",884,179,https://twitter.com/BashirAhmaad/status/1511815207156334595,2022-04-06 21:16:48+00:00
BashirAhmaad,Bashir Ahmad,"President @MBuhari has sworn-in six new National Commissioners of the INEC.

Those sworn-in were 

Mohammed Haruna (Niger State)

Mrs Agbamuche Mbu (Delta)

Okeagu Nnamdi (Abia)

Maj. Gen. Abubakar Alkali (Rtd.) (Adamawa)

Professor Rada Gumus (Bayelsa)

Mr. Sam Elumeku (Ogun). https://t.co/hitaDKHiCn",120,26,https://twitter.com/BashirAhmaad/status/1496464238302445569,2022-02-23 12:37:32+00:00
BashirAhmaad,Bashir Ahmad,"You are from Niger Delta (Nigeria), and you are not happy about the progresses being made at the construction site of the 2NB (MMB), what are you? Be happy about the development that will affect you and your kinsmen positively, no matter who brings it to you.",1439,236,https://twitter.com/BashirAhmaad/status/1494938822991396869,2022-02-19 07:36:04+00:00
BashirAhmaad,Bashir Ahmad,"Minister of Finance @ZShamsuna⁩ hands N250 billion 2021 Sukuk proceeds to the Ministers of Works and Housing, Federal Capital Territory and and Niger Delta Affairs, for the implementation of various road projects, across the country. https://t.co/w0JRjneKB0",171,40,https://twitter.com/BashirAhmaad/status/1489573848953536512,2022-02-04 12:17:35+00:00
ShehuSani,Senator Shehu Sani,The Niger Delta women group that are threatening to embark on a naked protest in Abuja should please shelve the idea.Wear your clothes so that some of us can comfortably join you.,622,123,https://twitter.com/ShehuSani/status/1455589540433891329,2021-11-02 17:36:04+00:00
RealSeunKuti,Seun Anikulapo Kuti,"Stop oil, gas leakages in Niger Delta, Reps tell Agip - YEYE DEY SMELL, SE NA TO TELL DEM OR NA TO TAKE ACTION AGAINST DEM #MOP ✊🏿LIBERATION GENERATION ✊🏿ALUTA   https://t.co/ZBEhnodEcB",4,0,https://twitter.com/RealSeunKuti/status/1441285504440233984,2021-09-24 06:16:56+00:00
ShehuSani,Senator Shehu Sani,"@OduduwaR You chopped off part of my land (the blue part) and added to yours (that is land grab).You chopped Delta and Edo and add to https://t.co/sImM09QCD6 didn’t consult the Niger Deltans,you added them.Wike will not be happy with you.",85,9,https://twitter.com/ShehuSani/status/1425729617307082753,2021-08-12 08:03:24+00:00
