username,displayName,tweet,likes,retweets,link,date
PoliceNG,Nigeria Police Force,"The training which is the second batch in the series holds with the Force Public Relations Officer, CSP Olumuyiwa Adejobi, mnipr, mipra, 31 PPROs serving at Zonal and State Commands in the Northern part of the country and Staff Officers of the Force Public Relations Department.",11,1,https://twitter.com/PoliceNG/status/1538964329067950082,2022-06-20 19:17:43+00:00
bulamabukarti,Bulama Bukarti,"A popular children’s story in northern Nigeria is of a man who raised false alarm of wolf attacks. When people rushed to help, he made fun of them. On the day he’s attacked by a wolf no one responded to his cry for help. This is beginning to happen to kidnap/distress alarms here.",321,94,https://twitter.com/bulamabukarti/status/1538544160575209482,2022-06-19 15:28:07+00:00
AishaYesufu,Aisha Yesufu,"Hmmmmmm 
I was born and brought up in the North. Kano to be precise. Lived in Kaduna for 10 years and now in Abuja. I have never heard of this. It might be just that school but not a Northern thing.
I am the first with 6 siblings. I would have heard even if not during my time. https://t.co/eGxYt1uAIZ",118,27,https://twitter.com/AishaYesufu/status/1536288347018219520,2022-06-13 10:04:19+00:00
AishaYesufu,Aisha Yesufu,"This was my take in January on Muslim-Muslim ticket.
Since many do not realise, it is not only Kaduna and Plateau or Benue that have Northern Christians. Kano, Jigawa, Katsina and all the other North Western States have Christians that are indigenes https://t.co/7zbB3h0LY3",232,58,https://twitter.com/AishaYesufu/status/1535625746676334592,2022-06-11 14:11:23+00:00
AreaFada1,Charly Boy Area Fada 1,☝️*Northern APC governors and Senate President went to visit Atiku. These are people that just handed ticket of their party to Bola Tinubu and in less than 24 hours they are flocking together with the flag bearer of an opposition party. https://t.co/bXZh1XdmIM,286,198,https://twitter.com/AreaFada1/status/1535104065847365632,2022-06-10 03:38:24+00:00
dj_switchaholic,Dj Switch,"I cant help but analyze this another way; northern govs say power should shift to the south, while insisting on a northern VP. Then, they proceed to give it to Tinubu who’s time is almost up, who shld be at a hospice, so it won’t take them long to get the north back in power 👏🏾 https://t.co/TMhh7FRixD",109,35,https://twitter.com/dj_switchaholic/status/1534515122747674629,2022-06-08 12:38:09+00:00
AishaYesufu,Aisha Yesufu,The ingrate of a Southern President Nigeria had in January 2015 spat on the souls of dead Nigerians just like the ingrate of a Northern President we have today is spitting on the souls of dead Nigerians. https://t.co/CKKQKBoUyP,33,9,https://twitter.com/AishaYesufu/status/1534217256573583361,2022-06-07 16:54:33+00:00
AishaYesufu,Aisha Yesufu,"Evil people talk about pre 2015 because they are still alive. Those killed by your Southern President pre 2015 cannot talk.
The death of those killed during the era of your incompetent Southern President and this incompetent Northern President are same. https://t.co/baubSQUUEM",41,7,https://twitter.com/AishaYesufu/status/1534208912865603594,2022-06-07 16:21:23+00:00
AishaYesufu,Aisha Yesufu,"The only difference between Buhari and Jonathan is that Buhari got a second term to continue his evil ways while Jonathan was denied a second term to continue his evil ways.
Southern and Northern President my foot!

Jonathan politicised military and militarised elections!
Evil! https://t.co/5Tyjoh2vD3",64,20,https://twitter.com/AishaYesufu/status/1534206056783613952,2022-06-07 16:10:02+00:00
AishaYesufu,Aisha Yesufu,"Absolutely!
We the citizens of Nigeria must realise that we are more deserving of a President with competence character, capacity, courage and empathy than just being Northern or Southern! https://t.co/9iCTLJdfOX",26,8,https://twitter.com/AishaYesufu/status/1534205239888330752,2022-06-07 16:06:48+00:00
