username,displayName,tweet,likes,retweets,link,date
PoliceNG,Nigeria Police Force,"Upon assumption of office, ACP Lot set the ball rolling which has led to immediate restructuring of the task force, and continuous decimation of the operations of criminal elements responsible for the theft of crude oil and other petroleum products,",14,3,https://twitter.com/PoliceNG/status/1534964353077764096,2022-06-09 18:23:14+00:00
AishaYesufu,Aisha Yesufu,"@smartsmartgod @Didimoonpro You obviously do not know the power of the National Assembly and State Houses of Assembly!
They could impeach the President for sending soldiers to kill citizens. They also are law makers and have oversight functions. They can give a new constitution and restructuring. https://t.co/eatfh8QlG5",3,0,https://twitter.com/AishaYesufu/status/1526916008514043910,2022-05-18 13:21:59+00:00
AishaYesufu,Aisha Yesufu,@shekzy32 We need those at the national assembly to give us the restructuring,0,0,https://twitter.com/AishaYesufu/status/1525142463811407874,2022-05-13 15:54:33+00:00
AishaYesufu,Aisha Yesufu,"If the legislative members of the South East, South West, South South and North Central come together won't you be able to get that restructuring faster than waiting for a President to give you?",205,47,https://twitter.com/AishaYesufu/status/1458429990677135363,2021-11-10 13:43:00+00:00
AishaYesufu,Aisha Yesufu,"Is the restructuring and secession going to include restructuring the minds of the people that collect money to vote? If democracy is what the regions choose, won't they collect money from these present crops of leaders and keep the bad governance going?",71,12,https://twitter.com/AishaYesufu/status/1423590343874854918,2021-08-06 10:22:41+00:00
AishaYesufu,Aisha Yesufu,"Do we realise that these present set of rulers we have are from the different regions also and will be restructured alongside the restructuring and will continue from where they stopped at the central?
Is anything being done to ensure there are better leaders to take over?",73,8,https://twitter.com/AishaYesufu/status/1423589520616853506,2021-08-06 10:19:25+00:00
AishaYesufu,Aisha Yesufu,"While the demand for restructuring and secession is going on, what is the plan for governance? Or are we going to as usual do nothing and hope for the best?
Leadership at all level is our problem yet we refuse to do anything about it.",82,8,https://twitter.com/AishaYesufu/status/1423587751694323715,2021-08-06 10:12:23+00:00
AishaYesufu,Aisha Yesufu,"When Nigeria breaks into the different regions or there is restructuring how is the governance going to be? Is it monarchy, democracy, autocracy or military rule for the different regions? Who are the people that will be the leaders? The same crop we have today or different?",608,162,https://twitter.com/AishaYesufu/status/1423586355720949764,2021-08-06 10:06:50+00:00
AishaYesufu,Aisha Yesufu,"The South South want resources control and restructuring. The North Central equally is agitating for its own. The North East might be tired of playing 2nd fiddle to North West.
So why not get the people that will go to the legislative arm of govt &amp; make this happen?
#BeStrategic",105,30,https://twitter.com/AishaYesufu/status/1415321455408173058,2021-07-14 14:45:05+00:00
AishaYesufu,Aisha Yesufu,So let's get people into offices that will do the restructuring for us. https://t.co/vq8ci2oDR7,29,7,https://twitter.com/AishaYesufu/status/1408791126325202945,2021-06-26 14:15:53+00:00
AishaYesufu,Aisha Yesufu,Unless they go in there and do the restructuring it would not happen. These people will not re structure neither their colleagues in the other party. https://t.co/23I9nV7MDz,85,22,https://twitter.com/AishaYesufu/status/1405985669407719428,2021-06-18 20:28:00+00:00
ShehuSani,Senator Shehu Sani,Shifting the Buck of restructuring to the National Assembly foreclosed any possibility of it in the present dispensation.,922,251,https://twitter.com/ShehuSani/status/1404344658013175809,2021-06-14 07:47:12+00:00
MBuhari,Muhammadu Buhari,"France, the entire G20, EU &amp; global financial institutions should do more to support African countries to mitigate the social &amp; economic impact of the Coronavirus pandemic. Debt restructuring and relief, fair &amp; equitable vaccine distribution—these and more should be on the table.",1930,470,https://twitter.com/MBuhari/status/1394776163906691072,2021-05-18 22:05:25+00:00
ShehuSani,Senator Shehu Sani,"In some states,if you come from a particular ethnic group or religion,you can never be allowed to be a Governor or a Speaker;restructuring should begin at home too.",2479,463,https://twitter.com/ShehuSani/status/1392564946999914501,2021-05-12 19:38:50+00:00
ShehuSani,Senator Shehu Sani,"All Governors who believe in restructuring should start restructuring from the home front;by agreeing to the financial autonomy and independence for the Judiciary,State legislature and Local Governments.",6104,1567,https://twitter.com/ShehuSani/status/1392482689211588613,2021-05-12 14:11:58+00:00
AreaFada1,Charly Boy Area Fada 1,"In your quiet times, ask yourself sincerely if your kind of standard as a citizen can build that FANTASTIC SOCIETY you so desire. There is no amount of restructuring that will change anything. At best it will open ways for fewer people to carry out their GREED.",19,6,https://twitter.com/AreaFada1/status/1391706363340988418,2021-05-10 10:47:08+00:00
NGRPresident,Presidency Nigeria,"This decision is part of ongoing restructuring of Nigeria’s security architecture to address emerging threats and strengthen regional mechanism for the control, prevention and regulation of SALW.",63,24,https://twitter.com/NGRPresident/status/1389184362466488325,2021-05-03 11:45:36+00:00
NGRPresident,Presidency Nigeria,"There is no doubt that the President and the party are focused on development, peace and security, restructuring of the economy and war against corruption in the country and will not be diverted to anything else. This desperate attempt to fool the people will not succeed.",72,32,https://twitter.com/NGRPresident/status/1374785819806941195,2021-03-24 18:10:56+00:00
AishaYesufu,Aisha Yesufu,The first restructuring we need to do is that of the mind. https://t.co/XV6VdRvQ4j,347,130,https://twitter.com/AishaYesufu/status/1372605639638278150,2021-03-18 17:47:40+00:00
AishaYesufu,Aisha Yesufu,"Is blockade from one region to the other the way to go? Can this become a blessing in disguise and lead to restructuring?
#LetsTalkNaijaPeople 
Join me on Instagram or Facebook 
https://t.co/Hp2vSWeQFP",134,39,https://twitter.com/AishaYesufu/status/1366478466141593602,2021-03-01 20:00:28+00:00
