username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,Those Niger State Senators that were promoting social media bill and hate speech bill have they spoken about the islamiya students taken from their schools?,1146,454,https://twitter.com/AishaYesufu/status/1400420806002450434,2021-06-03 11:55:13+00:00
AishaYesufu,Aisha Yesufu,"I am not one of those on this platform desperate to be liked. I have enough love for myself biko.
I don't use social media to pay my bills neither do I collect funding from anyone for my advocacy. I am also not a brand promoter that you will report me and ask them to drop me. https://t.co/0vaLOfthwN",4358,649,https://twitter.com/AishaYesufu/status/1348736789662609410,2021-01-11 21:01:23+00:00
AishaYesufu,Aisha Yesufu,All the times they called us fake news merchants and sent trolls to attack us. Government has been blocking the news from coming out. There is a media blackout and reason they are desperate to get the social media bill. https://t.co/ZDLJpBY6N4,146,44,https://twitter.com/AishaYesufu/status/1333643756113944578,2020-12-01 05:27:04+00:00
RealSeunKuti,Seun Anikulapo Kuti,"@NigerianQuest1 @fludo_505 And wetin lead to sars and social media bill if no b oppression, abeg mke we soro soke #EndOppression ✊🏿Liberation Generation(Soro Soke Generation) ✊🏿Aluta",4,1,https://twitter.com/RealSeunKuti/status/1323554170851438592,2020-11-03 09:14:39+00:00
AishaYesufu,Aisha Yesufu,"You want social media bill so the next time Buhari decides to send military, police and thugs to kill maim and loot it will not be captured, right? You are a joke.
#WeMove 
#BlameGovernment 
#EndSars 
#EndPoliceBrutalityinNigeria
 #GenocideAtLekkiTollGate #CrimesAgainstHumanity",4448,3887,https://twitter.com/AishaYesufu/status/1320769270566080512,2020-10-26 16:48:27+00:00
AishaYesufu,Aisha Yesufu,"You see that #SocialMediaBill? It must die by fire by fire!
They know the power social media has. They might call it rants but it is rants that make them afraid.
We must ensure they never ever gag us on social media.",1187,890,https://twitter.com/AishaYesufu/status/1314355368416473088,2020-10-09 00:01:54+00:00
AishaYesufu,Aisha Yesufu,When it was time for CAMA they forgot that prayers solve everything. Their casting and binding powers were set aside but when it is about social media Bill they remember prayers solve everything.,86,27,https://twitter.com/AishaYesufu/status/1302693461464936449,2020-09-06 19:41:38+00:00
RealSeunKuti,Seun Anikulapo Kuti,"@goviralafrika @OfficialFCTA @MuhdMusaBello @covid19fct @Truthfully83 @OfficialPDPNig D social media bill na for demsefs, dem no fit stop us on twt, we too much for Dem to stop, dem just dey waste der time, Instesad Of deliberating on how to bring bck beta education system for us, provide beta security, etc, dem dey yarn social media bill, bunch of rulers ✊🏿Aluta",1,0,https://twitter.com/RealSeunKuti/status/1257643042250637312,2020-05-05 12:07:21+00:00
BashirAhmaad,Bashir Ahmad,"You’re right my friend, support/beg the National Assembly to pass the Social Media Bill, I will do my part then. Let’s do it together. https://t.co/2sBww3LrlP",196,25,https://twitter.com/BashirAhmaad/status/1250174741077516289,2020-04-14 21:31:00+00:00
AreaFada1,Charly Boy Area Fada 1,"..criticizing the APC-led leadership all over.

We for this other side of the divide de see the bill as an attempt to target critics of lawmakers and politicians. As it is, Nigeria has got a vibrant civil society, with many of us as mouthpieces, critics who use social media..",1,0,https://twitter.com/AreaFada1/status/1242707476111413248,2020-03-25 06:58:45+00:00
obyezeks,Oby Ezekwesili,"A Political Class that believes it is entitled to a publicly-funded life of luxury and zero accountability while indulging.

For them, Nigerians ought to be grateful they are our “Excellencies, Distinguished and Honorables” and not dare criticize them. Fiam, #SocialMediaBill !",401,337,https://twitter.com/obyezeks/status/1237735512259137536,2020-03-11 13:41:56+00:00
ShehuSani,Senator Shehu Sani,"On the day that the Social Media &amp; Hate Speech Bills will be passed into law,most of the seats in the Chambers of the Parliament will be empty.The legislators who fear both the social media &amp; the Govt will absent https://t.co/4wYWFrpnIL must compel ur rep to be actively present.",802,240,https://twitter.com/ShehuSani/status/1237348292041867264,2020-03-10 12:03:16+00:00
ShehuSani,Senator Shehu Sani,The Public hearing on the Anti Social Media Bill should be the beginning of the funeral of that draconian and toxic piece of legislation.The Bill is a lethal bacteria that must be halted to save democracy.Power can’t be checkmated without an uncensored &amp; discomforting truth.,837,230,https://twitter.com/ShehuSani/status/1236916566798798848,2020-03-09 07:27:44+00:00
RealSeunKuti,Seun Anikulapo Kuti,Lai Mohammed under fire for denying existence of anti-social media bill – CAN ANYONE BLIV DIS APC GOVT AGAIN WEN D BEST DER MINISTER OF INFORMATION CAN DO NA TO DEY LIE LIE TO D PEOPLE OF D CONTRI. APC NO SABI WETIN DEM DEY DO AGAIN  https://t.co/DC2AAbLVnq,48,18,https://twitter.com/RealSeunKuti/status/1223770865772507137,2020-02-02 00:51:25+00:00
BashirAhmaad,Bashir Ahmad,"Visited @BBC Broadcasting House in London, the UK today. I was received and toured the HQ by @AliyuTanko, met @IbrahimMijinyaw for the first time even though we’re from the same area in Kano and I was also interviewed by Umaymah Muhammed on #SocialMediaBill and many issues. https://t.co/pGemcjnsy3",892,100,https://twitter.com/BashirAhmaad/status/1220091545174626304,2020-01-22 21:11:07+00:00
