username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,How will the war against terrorism ever be won? https://t.co/vjJ0jj9mVC,44,19,https://twitter.com/AishaYesufu/status/1540242019876052992,2022-06-24 07:54:48+00:00
ShehuSani,Senator Shehu Sani,"The #AswanForum is a positive platform that should set a clear and implementable solutions for combating terrorism,extremism,Farmer-Herder Conflicts and climate issues in the continent. @DailyNewsEgypt @MfaEgypt @EgyIndependent @EgyptEmbassyUSA @EgyptianMedia 
@MOICEgypt",79,15,https://twitter.com/ShehuSani/status/1539959966383185921,2022-06-23 13:14:01+00:00
PoliceNG,Nigeria Police Force,"and proper conduct of the election in Ekiti State. The IGP further noted that the personnel, comprising conventional police officers, Police Mobile Force (PMF), Counter Terrorism Unit (CTU), Special Forces personnel, Explosives Ordinance Unit (EOD),...",6,1,https://twitter.com/PoliceNG/status/1535997728882405377,2022-06-12 14:49:30+00:00
AreaFada1,Charly Boy Area Fada 1,"Countries with very corrupt leadership suffer from terrorism the most.

Just think am.",100,26,https://twitter.com/AreaFada1/status/1534162009125793794,2022-06-07 13:15:00+00:00
dj_switchaholic,Dj Switch,"Look at this buffoon! With all the mobile information you have, NIN! All manners of terrorism is happening in the country and they require communication, what have you done about it? Oh I forgot… you are a terrorist yourself! I’m so livid! #ondo https://t.co/ia8vUAE64q",1308,584,https://twitter.com/dj_switchaholic/status/1533539464034848768,2022-06-05 20:01:14+00:00
AishaYesufu,Aisha Yesufu,"Crushing?!
This is evil! This is economic terrorism https://t.co/h5giVBEDlH",195,77,https://twitter.com/AishaYesufu/status/1533111274602733568,2022-06-04 15:39:46+00:00
AishaYesufu,Aisha Yesufu,"The United States of America need to do better on this!
Come on!
You cannot continue to allow children go through this as if it is normal!
This is terrorism also!
Imagine going to school and not know if that will be your last day. Then, Imagine you are 9 years!
For God's sake! https://t.co/7su31ZoUUs",43,14,https://twitter.com/AishaYesufu/status/1532737963624484866,2022-06-03 14:56:22+00:00
NGRPresident,Presidency Nigeria,"The report looked at persistent threats, evaluated current response mechanisms, and decided on the specific actions and measures necessary to strengthen the collective security of Member States facing terrorism and violent extremism.",12,1,https://twitter.com/NGRPresident/status/1531395712725958658,2022-05-30 22:02:44+00:00
NGRPresident,Presidency Nigeria,"The Report on the Prevention and Combating of Terrorism and Violent Extremism and on Unconstitutional Changes of Government in Africa was presented by the Chairperson of the African Union Commission, H.E. Moussa Faki Mahamat @AUC_MoussaFaki #PMBAtAU",8,0,https://twitter.com/NGRPresident/status/1531395625224372226,2022-05-30 22:02:23+00:00
NGRPresident,Presidency Nigeria,"— “Ensuring that specialized institutions like the African Centre for the Study and Research on Terrorism and AFRIPOL, are adequately resourced in order for them to effectively discharge their mandate.”",9,0,https://twitter.com/NGRPresident/status/1531394995894329345,2022-05-30 21:59:53+00:00
NGRPresident,Presidency Nigeria,"— “Increasing troop levels in situations of combating terrorism, and enhancing intelligence capabilities of deployed troops, including improving the operational cooperation of contingents in the operation areas;”",10,2,https://twitter.com/NGRPresident/status/1531394629572120583,2022-05-30 21:58:26+00:00
NGRPresident,Presidency Nigeria,"“In the West African region, we are working very hard through the instrumentality of @ecowas_cedeao to combat terrorism.” — President Buhari",12,2,https://twitter.com/NGRPresident/status/1531394053606100994,2022-05-30 21:56:08+00:00
NGRPresident,Presidency Nigeria,"Following the presentation of a report on Terrorism and Violent Extremism in Africa at the meeting, President @MBuhari highlighted four items on the recommendation for immediate action.",9,0,https://twitter.com/NGRPresident/status/1531393934437625856,2022-05-30 21:55:40+00:00
NGRPresident,Presidency Nigeria,"On Saturday May 28, the President attended and spoke at the 16th @_AfricanUnion Extra-ordinary Session of the Assembly of Heads of State and Government on Terrorism, Violent Extremism and Unconstitutional Change of Government. #PMBAtAU #PMBinMalabo https://t.co/TqjxE9snjv",17,3,https://twitter.com/NGRPresident/status/1531393714987442176,2022-05-30 21:54:48+00:00
NGRPresident,Presidency Nigeria,"The AU Chairman said the rising challenges of Climate Change, natural disasters and terrorism had made it mandatory to set up an Agency that would meet the needs of displaced Africans.",30,4,https://twitter.com/NGRPresident/status/1531389327552434176,2022-05-30 21:37:22+00:00
AishaYesufu,Aisha Yesufu,"You wonder why terrorism is  thriving!
What a country!
Until people face the consequences of these mob actions, they will not stop https://t.co/hYnw2oDhES",44,25,https://twitter.com/AishaYesufu/status/1531248846281531393,2022-05-30 12:19:08+00:00
AishaYesufu,Aisha Yesufu,"This News was broken on Sunday night but it was on Tuesday that many realised they share the same religion or ethnicity with the victims &amp; became outraged! If the religion or ethnicity was different, they wouldn't have been bothered!

This is what has entrenched terrorism in Nig https://t.co/UMDGTSG4sP",355,58,https://twitter.com/AishaYesufu/status/1529380285728669697,2022-05-25 08:34:09+00:00
AishaYesufu,Aisha Yesufu,Everyone of us should be worried and aghast with what is happening in the South East. Terrorism knows no boundaries. No region in Nigeria is safe!,691,162,https://twitter.com/AishaYesufu/status/1529376347575009280,2022-05-25 08:18:30+00:00
