username,displayName,tweet,likes,retweets,link,date
IpobCanada,IPOB ONTARIO PROVINCE CANADA,"""They are coming to elevate Hausa Fulani supremacy, to reposition the security agencies by sacking all competent hands and replace them with their kinsmen to drive their ethnic domination of the Biafrans and other tribes in Nigeria"" 

- Nnamdi Kanu , 6th February , 2014 .",0,0,https://twitter.com/IpobCanada/status/1534192486595313674,2022-06-07 15:16:07+00:00
Chibueze_111,Freedom,"No, they are coming to enthrone Hausa Fulani supremacy, to reposition the security agencies by sacking all competent hands and replace them with their kinsmen in order to drive their ethnic domination of the south, the Fulani herdsmen will be armed and encouraged to slaughter us",0,0,https://twitter.com/Chibueze_111/status/1534019947160027136,2022-06-07 03:50:30+00:00
Kaykay__6,KayKay 🍁,"No, they are coming to enthrone Hausa Fulani supremacy, to reposition the security agencies by sacking all competent hands and replace them with their kinsmen in order to drive their ethnic domination of the south, the Fulani herdsmen will be armed and encouraged to slaughter...2",0,0,https://twitter.com/Kaykay__6/status/1533969728514957312,2022-06-07 00:30:57+00:00
IfyOnuka,Mazi Ifeanyichukwu Onuka,"""They are coming to elevate Hausa Fulani supremacy, to reposition the security agencies by sacking all competent hands and replace them with their kinsmen to drive their ethnic domination of the Biafrans and other tribes in Nigeria"" 

- Nnamdi Kanu , 6th February , 2014 .",0,2,https://twitter.com/IfyOnuka/status/1533516110192074753,2022-06-05 18:28:26+00:00
RealOkoro,Okoro Basil Chinedu,"""They are coming to elevate Hausa-Fulani supremacy, to reposition the security agencies by sacking all competent hands and replace them with their kinsmen to drive their ethnic domination of the Biafrans and other tribes in Nigeria"".

Nnamdi Kanu,6th Feb, 2014",0,0,https://twitter.com/RealOkoro/status/1533505991857295362,2022-06-05 17:48:14+00:00
biafra_daily,Biafra Daily Mirror,"""They are coming to elevate Hausa Fulani supremacy, to reposition the security agencies by sacking all competent hands and replace them with their kinsmen to drive their ethnic domination of the Biafrans and other tribes in Nigeria"" 

- Nnamdi Kanu , 6th February , 2014 . https://t.co/8vVhwV3xsE",6,9,https://twitter.com/biafra_daily/status/1533503394618523649,2022-06-05 17:37:55+00:00
realAKPAVINCENT,There Was A Country,"They are coming to elevate Hausa Fulani supremacy, to reposition the security agencies by sacking all competent hands and replace them with their kinsmen to drive their ethnic domination of the Biafrans and other tribes in Nigeria."" - Mazi Nnamdi Kanu, 6th February, 2014.",0,0,https://twitter.com/realAKPAVINCENT/status/1533461939212455939,2022-06-05 14:53:11+00:00
DaveTorty,Onyeamama 2 of Igboland.,"“As they campaign vigorously for elec­tions, you would think, they are coming to grow the economy, en­throne justice, breed unity and tol­erance, love for one another.
“No, they are coming to enthrone Hausa/Fulani supremacy, to reposi­tion the security agencies by sacking all",3,3,https://twitter.com/DaveTorty/status/1533456354786136065,2022-06-05 14:30:59+00:00
Ibuodimma1,IBUODIMMA,"Quotes From Mazi Nnamdi Kanu

On 6th Feb. 2014 MNK said:
“As they campaign vigorously for elections, you would think, they are coming to grow the economy, enthrone justice, breed unity and tolerance, love for one another. No, they are coming to enthrone Hausa Fulani supremacy,",1,2,https://twitter.com/Ibuodimma1/status/1533016508078620672,2022-06-04 09:23:12+00:00
maryam_skits,Maryam Skits,"Quotes From Mazi Nnamdi Kanu

On 6th Feb. 2014 MNK said:
“As they campaign vigorously for elections, you would think, they are coming to grow the economy, enthrone justice, breed unity and tolerance, love for one another. No, they are coming to enthrone Hausa Fulani supremacy,",147,143,https://twitter.com/maryam_skits/status/1532988292806979586,2022-06-04 07:31:05+00:00
OkananduK,Okanandu Kanu,"""As they campaign vigorously for election, you would think they're coming to grow the economy, enthrone justice, breed unity &amp; tolerance and love for one another; No they're coming to Enthrone Hausa fulani supremacy, to reposition the security agencies by sacking all competent..",0,0,https://twitter.com/OkananduK/status/1532782798909673474,2022-06-03 17:54:31+00:00
Chimezi52254266,Odogwu,"@MaziNnamdiKanu 1. No they are coming to Enthrone Hausa fulani supremacy, to reposition the security agencies by sacking all competent hands and replace them with they kinsmen in order to drive their ethnic domination of the south, fulani herdsmen will be armed and encouraged",9,9,https://twitter.com/Chimezi52254266/status/1532765624895774722,2022-06-03 16:46:17+00:00
OkoyeFr46361918,Okoye Chukwuebuka,@ElochukwuOhagi ..And to enthrone Hausa-Fulani supremacy.,1,0,https://twitter.com/OkoyeFr46361918/status/1527419507450466314,2022-05-19 22:42:43+00:00
KoladeGrace,Kolade Grace Bunmi Fashe,@AishaYesufu The difference between Islam in the north and south is very clear. This isn’t about Islam in d north but about their fight for Hausa/Fulani supremacy. Nigeria shld separate already. Middlesbeltians  are southerners,0,0,https://twitter.com/KoladeGrace/status/1525702308419579905,2022-05-15 04:59:11+00:00
PH_Prinx,Port-Harcourt Plug 🔌,"Until 2015 when Buhari came to power, most people didn’t know that the Fulani ethnic group was more powerful than the hausa tribe.

The APC government really encouraged ethnic supremacy and ended up further dividing the country",1,0,https://twitter.com/PH_Prinx/status/1525374450912329729,2022-05-14 07:16:23+00:00
ins_mindset,InspiredMindset,"@BOhamuche @Omeokachie2 @firstladyship We put ourselves in this situation cos of our supremacy fight. Until we learn to work together, Hausa-Fulani ll continue to dominate. If PDP fields Obi or Wike, let's all vote 4 PDP. Otherwise, if they field Atiku, then we support any southern APC candidate. Else, Fulani rules on",1,0,https://twitter.com/ins_mindset/status/1525359671569268736,2022-05-14 06:17:40+00:00
KazirOpeyemi,Kazir Opeyemi,@AdebolaAdesona @fatimaajiddum Ignorance cum Hausa/Fulani supremacy.....that's the rationale behind such mumu ideology.....no race nor tribe is superior to other....in front of Allah(swt) but those with the highest form of Iman....,0,0,https://twitter.com/KazirOpeyemi/status/1525008405366202369,2022-05-13 07:01:51+00:00
PrideLandFC,GHOST,"Nnamdi Kanu said.
“As they campaign vigorously for elections, you would think, they are coming to grow the economy, enthrone justice, breed unity and tolerance, love for one another. 

""No, they are coming to enthrone Hausa Fulani supremacy, to reposition the security agencies by https://t.co/IPjddkwYJD",84,82,https://twitter.com/PrideLandFC/status/1522818377114431488,2022-05-07 05:59:28+00:00
BensunKabala,De prince,"8 years ago Nnamdi Kanu said.

“As they campaign vigorously for elections, you would think, they are coming to grow the economy, enthrone justice, breed unity and tolerance, love for one another. 

""No, they are coming to enthrone Hausa Fulani supremacy, https://t.co/GDbhlf6F0w",3,3,https://twitter.com/BensunKabala/status/1522594231436689409,2022-05-06 15:08:47+00:00
MaziOnyemanwosu,Mazi Onyema Chikezie,"8 years ago Nnamdi Kanu said.

“As they campaign vigorously for elections, you would think, they are coming to grow the economy, enthrone justice, breed unity and tolerance, love for one another. 

""No, they are coming to enthrone Hausa Fulani supremacy, to reposition the https://t.co/sT0gEVgI1j",3,4,https://twitter.com/MaziOnyemanwosu/status/1522307110679232512,2022-05-05 20:07:52+00:00
Children_light1,#Biafra is our homeland,"8 years ago Mazi Nnamdi Kanu said... 

“As they campaign vigorously for elections, you would think, they are coming to grow the economy, enthrone justice, breed unity and tolerance, love for one another. 
No, they are coming to enthrone Hausa Fulani supremacy, to reposition https://t.co/O1kNvEOJfW",11,10,https://twitter.com/Children_light1/status/1520330365973508096,2022-04-30 09:13:00+00:00
CountryHater69,.,@IreneMinkema @phialkeeper @JonathanWeissb3 @IQ15991967 @TopRantKing @whywouldyou_uk @87yrs @YR72390 @TesseraDeka @Michael__Baskin @retiredjudean @Coho29415979 @emmettimanu @KhizerK3 @AJewFromJudea @LavBaalDevarim @FLastrade @MiriamL99472550 @mabosisc @VArabboy @sabra_the @kppotatoes @P3ng1z @swepal2 @realHasdaiC @akodensybane @AviKerem1 @m4s1w7 @andsowewonder @FierceyJew @Free2smile1 @HelenPa55861311 @Wosuibian @TIceTice416 @BryanShultz7 @JesseDreiling @OzFire1 @MayaMurful @AdrienWolf13 @JohnnyYoussef7 @YassinElLiante @ErezNeumark @boumboum1966 @DoctorW40827200 @eye_seeeee @Botthescott @iluvdemocracy99 @M0sstr00per @GenomeNathan @WeinsteinDr It's to do with tribal differences most of the conflict involves the Fulani and Hausa. With the current president being part of the tribe he has allowed the Fula herdsmen to be more brazen(kinda like how there was Yoruba supremacy during the reign of Obasanjo),2,0,https://twitter.com/CountryHater69/status/1516109726551093248,2022-04-18 17:41:41+00:00
RTchijioke,Rav Tchijioke,"@Course_Adviser @adaigbo_2022 The pre-independence politics of Nigeria is a lot more complicated than people assume. It isn't just true that Britain handed over power to the Fulani

The greater responsibility for granting political supremacy to the Hausa-Fulani north lies with Zik who was a deluded proponent",0,0,https://twitter.com/RTchijioke/status/1513121505550426113,2022-04-10 11:47:34+00:00
AyorindeAyori3,AKINTUNDE Ayorinde,"@SaharaReporters Before Buhari regime, Hausa/Fulani were inseparable siamese twins. PMB brought supremacy of Fulanis now Hausa/Fulani nomenclature is dead, monolithic north and Arewa are destroyed. Banditry and insurgency is the older of the day.",0,0,https://twitter.com/AyorindeAyori3/status/1510379068507758594,2022-04-02 22:10:06+00:00
Mr_IfeanyiChuku,Ifeanyichukwu ✨✨,"@TheNon_Nun @notsoperfectbro They are killing them because it’s a Jihad, even Hausa muslins are prey for them because Fulani believe in racial supremacy and occupation.",1,0,https://twitter.com/Mr_IfeanyiChuku/status/1508724817553506304,2022-03-29 08:36:41+00:00
aghamaamadasun1,"Aghama Amadasun, MPA","@daily_trust Racism, tribalism or ethnic supremacy are one and the same evil, though manifested in different dimensions. Arabs or Caucasian that look down on Blacks are not fundamentally different from Fulani people that look down on Hausa or Berom people for example.",0,0,https://twitter.com/aghamaamadasun1/status/1505976580824313857,2022-03-21 18:36:11+00:00
tolade93,tolade93,@khadijasanusi_ You know what changed - Fulani islam simple it has reduced Hausa women to rubbles while promoting Fulani supremacy,0,0,https://twitter.com/tolade93/status/1486896080969256964,2022-01-28 02:57:05+00:00
Shynomite1,Arc Umaru Isyaku Kiru,"@Demurleigh Yes, the Igbo/Yoruba were the supremacists then, not the Hausa/Fulani, but their ethnic supremacy squabble ended on the north.",2,0,https://twitter.com/Shynomite1/status/1482705319193190400,2022-01-16 13:24:30+00:00
Adeleke89382758,Adelekejoseph,@Risings67252417 @AfricaNational1 Wow so this region have a resources like this God still bless the northerners their problem is British that implicate them totally and hausa people need to wake up and deliver themselves self from fulani supremacy,0,0,https://twitter.com/Adeleke89382758/status/1482296543856189442,2022-01-15 10:20:10+00:00
AHayatu,£ng. Adamu Hayatu®,Hausa/Fulani supremacy 🤷‍♂️ https://t.co/jWZNg0iHs0,18,2,https://twitter.com/AHayatu/status/1471158438860255237,2021-12-15 16:41:19+00:00
angry_ustaaz,MUSTAPHA,"On Kiyama nobody will ask whether you’re Fulani or Hausa, Igbira or Nupe, what will matter is our deeds, good or bad deeds, that’s what will determine our final destination, the earlier we stop this tribal supremacy the better for us. No one is better than another only in taqwah.",152,95,https://twitter.com/angry_ustaaz/status/1466876355887386629,2021-12-03 21:05:51+00:00
jishaq1,Shaq•,"@AhmadJaafaru It was a Fulani Supremacy not Hausa/Fulani, simple.",0,0,https://twitter.com/jishaq1/status/1466381358780014598,2021-12-02 12:18:54+00:00
jishaq1,Shaq•,@AhmadJaafaru @Danjauro_ Wai meye laifi idan na gyara narrative din da mutane ke yi? Nace There’s nothing like Hausa/Fulani supremacy qarya nayi?,0,0,https://twitter.com/jishaq1/status/1466355846217142274,2021-12-02 10:37:31+00:00
jishaq1,Shaq•,Ance bani da Tauheedi because i said there’s nothing like Hausa/Fulani supremacy 😂,2,2,https://twitter.com/jishaq1/status/1466343453089009669,2021-12-02 09:48:17+00:00
