username,displayName,tweet,likes,retweets,link,date
Iamikkenna,Abuja Tailor 🇳🇬🇳🇬,"More than before PRAY! Pray against the insurgency, terrorism, kidnapping and bloodshed in this country. Pray to God to give us a true Leader. Pray for a free and fair elections. Pray for our votes to count.",0,0,https://twitter.com/Iamikkenna/status/1534560902737022976,2022-06-08 15:40:04+00:00
SPNigeria,President of the Senate,"""I believe that the way and manner we dealt with insurgency in the Northeast is the same way that we will deal and conquer the banditry and kidnapping in the northwest and some parts of the Northcentral.",0,0,https://twitter.com/SPNigeria/status/1534473752377012224,2022-06-08 09:53:46+00:00
Dotman44580101,HeadChamp,@vinjyke @COgharadukun @israeloflife How can you equate banditry and kidnapping to someone’s ambition to be president. Ambition is key to achievement and success. The difference is what your ambitions are. It is not wrong for him to aspire to be president.,0,0,https://twitter.com/Dotman44580101/status/1534472030044639232,2022-06-08 09:46:55+00:00
blessedmykeogar,Sir Myke,"@SaharaReporters Mr president sir, please happened at Owo Ondo state catholic church on Sunday is what, Abuja/Kaduna road kidnapping, Katsina Bandit your home etc. Are all this happening under PDP govt? Truth is far from our leaders...",2,0,https://twitter.com/blessedmykeogar/status/1534442959315382273,2022-06-08 07:51:24+00:00
ArulebaDavid,David Aruleba,"Hmmm...😒
Your response to Banditry, Kidnapping and Terrorism has been PROMPT and HEAD-ON???😲🤔 https://t.co/CxPvrzYYEg",0,0,https://twitter.com/ArulebaDavid/status/1534401544078098432,2022-06-08 05:06:50+00:00
davoshalom,Owoeye David,"Oh Lord God,
Please have mercy on Nigeria and Nigerians,
Help us to uproot and destroy,
Corruption, evil, oppression, injustice, hatred, selfishness, greed, bigotry, nepotism, falsehood, banditry, kidnapping, ritualism, hooliganism, terrorism, tyranny, an…https://t.co/U9QybPZJ1y",0,0,https://twitter.com/davoshalom/status/1534364908682452992,2022-06-08 02:41:16+00:00
theOnyedikachi,Kach 22,"Imagine the cheek on President Buhari hailing his administration's success in securing the nation while the bodies of men, women and children killed in #OwoMassacre have barely cooled. Talking about curbing kidnapping while victims of the last Train Attack are still in captivity.",0,0,https://twitter.com/theOnyedikachi/status/1534337389841330176,2022-06-08 00:51:55+00:00
Iam_muhammad88,HammadRabiu ™,"Gov Yahaya Bello observes a minute of silence for those who lost their lives at owo and every other parts of the country due to banditry, kidnapping, herders and terrorist.

#APCPresidentialPrimaries",9,8,https://twitter.com/Iam_muhammad88/status/1534303954502287360,2022-06-07 22:39:03+00:00
FakhuusHashim,Fakhrriyyah,"AGAIN, Amaechi had a minute of silence for the kidnapping and deaths of our loved ones because he didn’t care to ensure their safety !",18,8,https://twitter.com/FakhuusHashim/status/1534295070941368320,2022-06-07 22:03:45+00:00
Nnenna__Ibeh,Nnenna Ibeh🇳🇬,"Our 'child husbi' said before 2015 insecurity was terrible but is now better under the President Buhari's administration. 

His claim: Because the current incessant kidnapping and banditry is new to us. Sigh!🤦‍♀️",0,0,https://twitter.com/Nnenna__Ibeh/status/1534271812288266242,2022-06-07 20:31:20+00:00
UsmanYahayaSaad,ENGINEER ⚡,@DaN_SaUrAyEee Kidnapping 😂,1,0,https://twitter.com/UsmanYahayaSaad/status/1534231141057585152,2022-06-07 17:49:43+00:00
a_hamman,Alaramma 100%,"New set of cankerworms are being considered at the eagle square.
They would come and continue the kidnapping, killing and looting.
#VoteThemOut 
#ItisTime for @atiku https://t.co/zwvpp9amTG",0,1,https://twitter.com/a_hamman/status/1534150864860069889,2022-06-07 12:30:43+00:00
kapital929,Kapital FM Abuja 92.9,"Bandits yesterday, kidnapped former Zamfara State INEC Commissioner, Sanusi Wanzamai.
@inecnigeria 
#kfm929tweet
#APCConvention 
#APCPresidentialPrimaries 
#Kidnapping 

https://t.co/AInPzAxQzB https://t.co/gFjs1Jhr3T",1,1,https://twitter.com/kapital929/status/1534126126926266368,2022-06-07 10:52:26+00:00
sadiqdabo2,sadiq dabo,"its obvious that the north suffered one Nigeria more than any other region,
GEJ 6 years in power BokoHaram Extremist bombing killing and kidnapping,
PMB 8 years in the first 2 years Fighting Boko Haram 6 years kidnaping raping and killing in worship centre",2,0,https://twitter.com/sadiqdabo2/status/1534096265872547840,2022-06-07 08:53:46+00:00
DRealGM_Julio,NJVC.,"@JinaduMoshood @Haiconadebayo @aynigeria_ @RotimiAkeredolu Dagash. Fulanis are muslims. And they have armed robbers, just like any other tribe, but these kinds of attacks paints a clearer picture: An attack on a church during a service, Kidnapping an anglican bishop, screaming allahu akbar during terror has islam written all over it...",1,0,https://twitter.com/DRealGM_Julio/status/1534058078827593729,2022-06-07 06:22:02+00:00
CNgamnori,Ngamz consult,"@GuardianNigeria Thought police denied the kidnapping part , said it was only robbery , the truth will always emerge ...!",0,0,https://twitter.com/CNgamnori/status/1534040754070364161,2022-06-07 05:13:11+00:00
onyemachi1,REFLEX,"If no

1.  ""what is @MaziNnamdiKanu still doing in DSS dungeon?

2. What charge do Nigeria and Nigerian have against him after one year of EXTRA RENDITIONING (KIDNAPPING) him back to Nigeria?

3. Otelectual of POLITICAL SOLUTIONS, what are you doing now?
#FreeNnamdiKanuNow",2,1,https://twitter.com/onyemachi1/status/1534032671738892288,2022-06-07 04:41:04+00:00
onyemachi1,REFLEX,"After seeing and observing Nigeria recently 

1. ""is IPOB still your problem?""

2. Are they ones kidnapping people in Igboland?

3. Are they the ones who killed Deborah and the police officer in  sokoto and Abuja respectively?

4. What of Owo terrorist attack?",2,1,https://twitter.com/onyemachi1/status/1534031615613095937,2022-06-07 04:36:52+00:00
29entertainment,29entertainment,"Adamawa police nab 3 for kidnapping, rescues 2 victims https://t.co/LXXxKUVw7X",0,0,https://twitter.com/29entertainment/status/1534025845341229056,2022-06-07 04:13:57+00:00
diegobaggioume,DIEGO BAGGIO,"@sxerene2010 @Tosinonanuga @firstladyship Is IGR your problem? They have shown you statistics how he revamped the educational sector of Anambra State and took it to Number 1, made sure Anambra was secure with less or no kidnapping and robbery.
Increased the HDI of Anambra. IGR isn't Nigeria problem",2,0,https://twitter.com/diegobaggioume/status/1534020168531300353,2022-06-07 03:51:23+00:00
Shekwoaye,Tnada Ibrahim Jonathan,"@reedahkh Profiling? Who goes about grazing on people's farms lands with AK-47 and sharpened machetes? Who has been responsible for killing villagers in Benue, Kaduna and Plateau? Who lives in forest hideouts, hides there after kidnapping? That even the sheikh Gumi has attested to? Who???",0,0,https://twitter.com/Shekwoaye/status/1534000199667965954,2022-06-07 02:32:02+00:00
johnokeme,john okeme,"@Pontifex Your holiness. Nigeria have become a war zone with terrorism, banditry and kidnapping have taking over as a result of bad leadership, institutions are not working. Your holiness pls pray for Nigeria.",0,0,https://twitter.com/johnokeme/status/1533993028100272129,2022-06-07 02:03:32+00:00
Oma39366060,Oma,"@samsoly4real @adeyanjudeji Amidst this we are inundated with sordid news–orgies of killings every other day, kidnapping and the soaring price of food stuff.

Yet we have all gone numb flowing in the steam of Buhari evil wind and to whatever direction it blows",1,0,https://twitter.com/Oma39366060/status/1533926140104032262,2022-06-06 21:37:45+00:00
ChefEneSoulfood,The Babe,I’m not going for midnight date biko. This one they’re kidnapping people. Abeg o,10,3,https://twitter.com/ChefEneSoulfood/status/1533909402473926656,2022-06-06 20:31:14+00:00
olajose94508393,Tungbacious Gospelite,"@SaharaReporters Seems Buhari has licenced  his boys to operate 24/7. The rate of Kidnapping and killings everywhere is alarming, while the APC led federal government is seeing the whole scenario as normal.",4,0,https://twitter.com/olajose94508393/status/1533900604766146560,2022-06-06 19:56:17+00:00
codedbdchange,Yusuff Liadi Abiodun,"2/4
responsibilities because of the highest level of insurgency, banditry, kidnapping and sundry violent in every part the country. It's not much for me to qualify this administration as an inactive, ineffective and incompetent government.",0,0,https://twitter.com/codedbdchange/status/1533896876600205312,2022-06-06 19:41:28+00:00
29entertainment,29entertainment,"Adamawa police nab 3 for kidnapping, rescues 2 victims https://t.co/lR7NLENkJ9",0,0,https://twitter.com/29entertainment/status/1533890447558557697,2022-06-06 19:15:55+00:00
samuel9ic,Assien Samuel,"This guy's are killing and kidnapping people for ransom to fund their terrorism acts.
While our government and security agencies stands still and watch.
We have never been divided as a country as the way we are now. Which way Nija?",1,0,https://twitter.com/samuel9ic/status/1533879359706222593,2022-06-06 18:31:52+00:00
mimisaint231,Mimilove,Yesterday was owo killings Today was robbery and kidnapping @gwarimpa if we fail to correct it this time we have missed it totally we must put an end to bad governance #ondomassacre #Prayforondo # realisekidnappvictims,0,0,https://twitter.com/mimisaint231/status/1533875846116671488,2022-06-06 18:17:54+00:00
fidelauveout,Fid Teacher,@HannahAdedoyin2 @successgroupng @ruffydfire What a useless comment. There is never any shooting in the us where the perpetrators are not identified within 24hours. The US is 100% safe. In Nigeria killings kidnapping are happening daily and the government is colluding with them even people from their region.,0,0,https://twitter.com/fidelauveout/status/1533871761078595585,2022-06-06 18:01:40+00:00
NewspotN,Newspot Nigeria,"Adamawa police nab 3 for kidnapping, rescues 2 victims
https://t.co/eIKZICvg0S",0,0,https://twitter.com/NewspotN/status/1533855567751413761,2022-06-06 16:57:19+00:00
meetmaryam_,مريم .Mrs,"Terrorism, banditry, and kidnapping have no religion, tribe, or ethnicity. They are all vices that must be stopped‼️",6,4,https://twitter.com/meetmaryam_/status/1533828019806253057,2022-06-06 15:07:51+00:00
tolugis70,ayodeji  tolulope  o,"@PeterObi I agree with you, why nation fails , the origin of power ,poverty and prosperity ...without peace no meaningful development for any nation ...Enough of Killings ,Kidnapping ,Injustice, Lootings ,Corruption etc...Enough of Public Finance Waste and Lies ...I wish u well PO ..",0,0,https://twitter.com/tolugis70/status/1533827104684617729,2022-06-06 15:04:13+00:00
whitenigerian,Mohammed Jammal,No kidnapping in Gwarimpa Abuja. Let’s stop the fake news 🗞 https://t.co/3S0uL23ceo,193,82,https://twitter.com/whitenigerian/status/1533816541707386880,2022-06-06 14:22:15+00:00
mrdueprocess,Chukwuemeke K. Victor-MDP,"Billions are now stolen, Emirs, Kings Reverends, Imams, Pastors are now being  kidnapped, and attempts had been made in recent past to abduct a serving governor. The elite had sowed wild thorns, the harvest is fully here.

#religions #Thread #Kidnapping #NigeriaDecides2023 

**20",0,0,https://twitter.com/mrdueprocess/status/1533809198194212864,2022-06-06 13:53:04+00:00
BasharDauran,вαѕнαя ∂αυяαη.,"@ankaboy @yojora He's used to killing and kidnapping, that's happening every day in my state, so it's none of his business to show remorse to the victims",1,0,https://twitter.com/BasharDauran/status/1533793499329482755,2022-06-06 12:50:41+00:00
TheNigerianBar,The Nigerian Barrister,"No kidnapping in Abuja, say police on incident at ‘Gwarimpa estate’ https://t.co/LuZT8x6Ptg",1,0,https://twitter.com/TheNigerianBar/status/1533792580978212864,2022-06-06 12:47:02+00:00
bayo_q,QBayo,"@channelstv We need all our traditionalist to act fast now, enough of all this killing and kidnapping in Yorubaland",0,0,https://twitter.com/bayo_q/status/1533790579963863040,2022-06-06 12:39:05+00:00
Dope_Sheikk,Abba Tea🕊️,"@Deonee15 @Ibsawdl @ProfIsaPantami And you all think this has nothing to do with political agender. Guy you need to wise up. Before the coming of boko haram, we never knew any chaos in the north.  Every kidnapping, jungle justice, militant and what have you were not known here but down there. Bt if we keep pointn",0,0,https://twitter.com/Dope_Sheikk/status/1533788860513144835,2022-06-06 12:32:15+00:00
Ibykul,Ibanga Isine,@BashirAhmaad Leadership kee you dere. Which kain leadership you dey talk about? Tunda fire your mouth. Leadership still dey Naija and fulani herdsmen are killing and kidnapping people everywhere? If a 👂,1,0,https://twitter.com/Ibykul/status/1533780699941154818,2022-06-06 11:59:49+00:00
Raphezeh,Rapheal 🇳🇬,The Fulani tribe has been involved in terrorism and kidnapping in Nigeria. The Boko haram and ISIS groups are mostly behind the attacks.  https://t.co/3GmP6m10qB,1,0,https://twitter.com/Raphezeh/status/1533777733595144194,2022-06-06 11:48:02+00:00
29entertainment,29entertainment,"UPDATE: No kidnapping in Abuja, say police on incident at ‘Gwarimpa estate’ https://t.co/H8GP7CSgqi",0,0,https://twitter.com/29entertainment/status/1533768158045253632,2022-06-06 11:09:59+00:00
teejay642,KLEVER TEEJAY NG,"@Mattiezee Am afraid of death Before But with constant Killing and Kidnapping In Nigeria, it comes to a time that am not fully guaranteed to survive the next day Hard to Say But Nigeria is A Failed State",0,0,https://twitter.com/teejay642/status/1533765320179077122,2022-06-06 10:58:42+00:00
___mubby,MUBARAK,"@iam_latijay Every damn region is suffering from  bandits,kidnapping and killing, but the so call educated ones will come with grammar and tag a tribe and religion. I can bet if what happened yesterday was in the north many won't say shit. I hope they're all happy",0,0,https://twitter.com/___mubby/status/1533742988341411840,2022-06-06 09:29:58+00:00
buddy466,Olamibode™,I hope what I'm hearing about Kidnapping in Gwarimpa is not true. God abeg 🙏,0,0,https://twitter.com/buddy466/status/1533739512693678080,2022-06-06 09:16:09+00:00
___mubby,MUBARAK,So this again haaa...So many educated idiots on this app sowing seed of hatred and bigotry. You all rush to label one particular tribe without confirming the real evil doers. Whereas the tribe you're labelling are the real victims of bandits and kidnapping for years now💔🤦‍♂️ https://t.co/SlnWzlHIPX,0,0,https://twitter.com/___mubby/status/1533734148401250308,2022-06-06 08:54:51+00:00
Official_ee90,FAMOUS E&E,"The bandits who got to the estate on 6th avenue behind Efab Queens, around 1 am, left the place after 4 am.

The spokesperson for the FCT Police Command, Josephine Adeh, however, said the case was a robbery case, not kidnapping. https://t.co/q68UaCfwET",0,1,https://twitter.com/Official_ee90/status/1533731004913008641,2022-06-06 08:42:21+00:00
Official_ee90,FAMOUS E&E,"The bandits who got to the estate on 6th avenue behind Efab Queens, around 1 am, left the place after 4 am.

The spokesperson for the FCT Police Command, Josephine Adeh, however, said the case was a robbery case, not kidnapping. https://t.co/RzTkgXkqBi",5,4,https://twitter.com/Official_ee90/status/1533730589416775682,2022-06-06 08:40:42+00:00
Kestim_,Kes IZODUWA ⚡,"Kuje, FCT is a Dangerous Place.

The kidnapping and robbery stories from there are not always Palatable...

Stay Guarded when you live in that axis.",101,80,https://twitter.com/Kestim_/status/1533718414799388672,2022-06-06 07:52:19+00:00
fifijari,Fifijari,"As we go out today, May Nigeria 🇳🇬 not happen to any of us today, tomorrow or ever …  

We are tired of this senseless killings, kidnapping and attacks on our nation..

Please let’s be careful out there …

#OndoBleeds 
#Prayforondo 
#prayfornigeria",1,0,https://twitter.com/fifijari/status/1533715858010292225,2022-06-06 07:42:10+00:00
SegunMossy,Oluwasegun,"Buhari's government has been 7years of uninterrupted killing, bloodshed, kidnapping, no light and fuel scarcity.

The biggest WOE in Nigeria Lifetime.
Spit..... This looks like a curse upon Nigeria.",0,0,https://twitter.com/SegunMossy/status/1533710082436960261,2022-06-06 07:19:13+00:00
NewspotN,Newspot Nigeria,"Police operatives arrest three over kidnapping in Adamawa
https://t.co/5YCr0ZRvbe",0,0,https://twitter.com/NewspotN/status/1533695397352251392,2022-06-06 06:20:52+00:00
lionofjada,LION OF JADA,"Jonathan attended a campaign after the Chibok kidnapping. I remember what was said about him, the backlash. It's either we have short memory or nobody cares anymore. https://t.co/LTn2FYyDr0",69,50,https://twitter.com/lionofjada/status/1533676118770864131,2022-06-06 05:04:15+00:00
BIGPHIL_A,BIGPHIL👽,"It's painful and heart breaking, everyday we wake up to different news of killings and kidnapping all around Nigeria. Celebrities only tweet about how youths will takeover next election while the truth is that the APC and PDP that have distroyed this country @davido @mrmacaronii",3,1,https://twitter.com/BIGPHIL_A/status/1533671016827953153,2022-06-06 04:43:59+00:00
MrBenCool,MrBenCool,@MobilePunch Buhari has been going after Kanu and Igboho because they tried stopping the same terrorists from killing and kidnapping their people.,4,0,https://twitter.com/MrBenCool/status/1533669635660316672,2022-06-06 04:38:30+00:00
comphie01,Comfort O.S. Idoko,"The APC had solutions to every issue. Got into power and aside being disconnected to citizens, they grew amnesia and just like that Nigerians went from tolerating bad roads to kidnapping being the order of the day on our major roads and cities.",0,0,https://twitter.com/comphie01/status/1533667776715493376,2022-06-06 04:31:06+00:00
Nattygrany,I LOVE BIAFRA,@SCMPNews Is Fulani jihadist militia president Muhammed Buhari brothers killing and kidnapping people in nigeria,1,1,https://twitter.com/Nattygrany/status/1533582078809448456,2022-06-05 22:50:34+00:00
bullion_bag,ChiNahGod🇳🇬🔞,"It's painful and disheartening to wake up everyday to sad news in this country,it's time we begin to hold those in authority responsible for any soul that is lost, today if it's not kidnapping or banditry,it will be  unknown gunmen  which way Nigeria 🇳🇬 #owomassacre",0,0,https://twitter.com/bullion_bag/status/1533580496776617987,2022-06-05 22:44:17+00:00
thomas_amadi,Amadi  Thomas,@Real_AmakaIke @HananyaNaftali @IsraelMFA @IsraelinNigeria @Imamofpeace @StateDept @UNHumanRights @USinNigeria @CFR_org @HRC @humanrights1st @WGEID Israel why are you people keeping quiet to the kidnapping and killing of Jews worshipers in Nigeria Igbo Jews,0,1,https://twitter.com/thomas_amadi/status/1533575612132098048,2022-06-05 22:24:53+00:00
Obieze2020,Obinna Ezekiel.Obieze 😷,"@msHolymedinat The killers&amp;kidnapper are just havin a cool day cus they knw that nothing will be done to hv them pay, d question is wat wil b left of us b4 this cruel leadership leaves office?wat manner of killings,kidnapping,massacres,attacks hv we nt witnessed? My prayers to the families 🙏",1,0,https://twitter.com/Obieze2020/status/1533559438182961156,2022-06-05 21:20:36+00:00
NewspotN,Newspot Nigeria,"Kwara deploys security operatives in Obbo-Aiyegunle-Osi over kidnapping, killings
https://t.co/9CHaLWHN1U",0,0,https://twitter.com/NewspotN/status/1533551105098907648,2022-06-05 20:47:30+00:00
lazySTA_,L🕊,@spicy_swagg I swear bro the bandit hoodlum is really getting out of hand imagine telling someone 7 years ago that kidnapping would be something of noms now we won’t believe,0,0,https://twitter.com/lazySTA_/status/1533541918633824257,2022-06-05 20:10:59+00:00
CCGoodwill1,C.C. Goodwill (coren),"@jeffphilips1 Your principal is superintending over a govt, where killings &amp; kidnapping of innocent citizens have become the order of the day &amp; you are keeping mute, rather you are here talking of Peter Obi, a man who said, Nigeria is not a poor country but it's leadership style is poor. REST!",1,0,https://twitter.com/CCGoodwill1/status/1533539496486227973,2022-06-05 20:01:22+00:00
otimadus,Oti Maduabuchi  Orieji,"Atiku is a biased man,his religion sentiment out weight his stand for humanity.Atiku can not take tough decision that will end insecurity, like kidnapping,mass shooting  and others
His reaction during Deborah’s case says it all. But alot of you have amnesia and will easily forget",1,0,https://twitter.com/otimadus/status/1533523962260488204,2022-06-05 18:59:38+00:00
ogensimah,@Oge Nsimah,"Mind you,
Atiku is a biased man,his religion sentiment out weight his stand for humanity.Atiku can't take tough decision that will end insecurity like kidnapping,mass shooting etc
Wat he did during Deborah case says it all But alot of you have amnesia and will easily 4get
#ondo",1,0,https://twitter.com/ogensimah/status/1533522697615036416,2022-06-05 18:54:37+00:00
husslerrr,Brown-West Omiete,@ElijahRobertts That’s my issue with boko haram. Instead of attacking leaders that have put Nigeria in this state. They are kidnapping and killing innocent ones,1,0,https://twitter.com/husslerrr/status/1533518864276983808,2022-06-05 18:39:23+00:00
Haruna_A97,Haruna Abdullahi,"I think the NPF structure finally succumbed to it's many design flaws. There's no point expanding it. What we need is new institutions with specific object such as Kidnapping, banditry, cattle rustling, cultism etc. https://t.co/vVaAEuwBth",0,0,https://twitter.com/Haruna_A97/status/1533507110662725634,2022-06-05 17:52:41+00:00
IAMVINTAGE4,MASON's DAD😎😎,"@Oluomoofderby Sadly there is no way forward with this administration...
Oluomo did you remember the American was kidnapped in Niger republic and rescued in Nigeria.
Technology played a pivotal role in that,A trained technologically inclined anti kidnapping team should have emerged,BUT. ....",1,0,https://twitter.com/IAMVINTAGE4/status/1533505161846562816,2022-06-05 17:44:56+00:00
kingz_Abdul1,kings Abdul,"@channelstv Naso naso condemn without action. 
You condemn boko haram attacks, condemn kidnapping, condemn Deborah's death, now again you're still condemning",0,0,https://twitter.com/kingz_Abdul1/status/1533502510811561984,2022-06-05 17:34:24+00:00
JamiluSufi,Jamilu Sufi 🇳🇬,"Under his watch (@MBuhari) Nigerians suffer barbarism, killings, kidnapping, and bad governance. Enough Is Enough",31,16,https://twitter.com/JamiluSufi/status/1533495690936127488,2022-06-05 17:07:18+00:00
ShyAlpha_,𝕮𝖆𝖗𝖎𝖓𝖌 𝕾𝖙𝖆𝖗𝖐 𝖑 🇳🇬🇷🇺🇮🇳🇨🇳🇩🇪,"@squadplug @ceobabasola You looked at his ordeal and it fits herdsmen MO?

Kidnapping, showing you other corpses, talking about Buhari?... Lol",0,0,https://twitter.com/ShyAlpha_/status/1533492803656900609,2022-06-05 16:55:49+00:00
annuet_r,Annabelle Uduak,"The only recurring natural disaster we have in Nigeria are terrible leaders. 😢

It's scary to turn on the news these days because there would ALWAYS be something to break your heart: gun men at Ondo, kidnapping or barbaric killing elsewhere.

Enough is enough!

Get your PVC! 💪🏾",2,2,https://twitter.com/annuet_r/status/1533478517962309637,2022-06-05 15:59:03+00:00
mrdueprocess,Chukwuemeke K. Victor-MDP,"@ko_okafor Our only benefits as citizens are murder, kidnapping and abject poverty. 

It is a crime to be a Nigerian.",1,1,https://twitter.com/mrdueprocess/status/1533478211455164416,2022-06-05 15:57:50+00:00
