username,displayName,tweet,likes,retweets,link,date
Magonline4u,Magonline,There is need for urgent restructuring of Islamic belief and teaching in Nigeria. Those who killed and supported the killing of Debora Yakubu in Sokoto have the same extreme religiousf ideology with the terrorists who killed several worshippers at Owo Church.,0,0,https://twitter.com/Magonline4u/status/1534215429186588672,2022-06-07 16:47:17+00:00
Mekaszz,Mekaszᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,"Nathaniel Bassey reminded Nigerians that its the only name to settle all things.

#Jesus happened earlier today
#Jesus is happening right now and #Jesus will keep happening forever in Nigeria 🇳🇬
#Jesusisgoingon restructuring 🇳🇬 now",1,0,https://twitter.com/Mekaszz/status/1534175001993256960,2022-06-07 14:06:38+00:00
OfficialPDPNig,Official PDP Nigeria,"2023 General Elections: One of the major policies of the incoming administration of @OfficialPDPNig under H. E. @atiku is to ensure  the security of lives and properties, by restructuring &amp; enhancing the funding of our security agencies as well as training of security personnel. https://t.co/kMEOSpEe44",603,163,https://twitter.com/OfficialPDPNig/status/1533738722885259264,2022-06-06 09:13:01+00:00
OkeyUgwu01,Okey Ugwu,Restructuring Nigeria has become a global emergency!,1,2,https://twitter.com/OkeyUgwu01/status/1533545775195738112,2022-06-05 20:26:19+00:00
Paulosparko001,PaulPeter,@DailyPostNGR This is disheartening and painful for a country like Nigeria. We need a total restructuring and security awareness. I cry for this country Nigeria,0,0,https://twitter.com/Paulosparko001/status/1533534346384232455,2022-06-05 19:40:54+00:00
Nattie_Best,ηαтε,"Southern governors, please speak up openly about State Police. The Nigerian Police Force is grossly incompetent. Let the FG focus on the army &amp; navy, and let each state be allowed to handle its own Police Department. 

It's a step in the right direction - Restructuring Nigeria!",0,0,https://twitter.com/Nattie_Best/status/1533448600629420033,2022-06-05 14:00:11+00:00
Sakagucheee,Abiyamo Ozumba by the way.,"I  care less abt the balderdash talk on presidency zoning cos honestly it doesn't improve Nigeria in any way. 

As far as we are still operating this aystem of govt, Nigerians always gon vote based on tribe and religion above competence

I am more interested in restructuring",0,0,https://twitter.com/Sakagucheee/status/1533395192459546624,2022-06-05 10:27:57+00:00
DopplerFilmz,Doppler Films 🇳🇬🌍☮️,"@samsondakol @IgboHistoFacts @PeterObi We don't need a president, we need a new and better constitution, and restructuring! Bring 1 billion Peter Obi, by the end of 8 years, Nigeria will still be worse than Buhari left it.",3,0,https://twitter.com/DopplerFilmz/status/1533051973762785285,2022-06-04 11:44:07+00:00
Nwafresh,Nwafresh 🍥,"👉A smile from the chosen one 
👉A smile from the man with the blue print of restructuring 
👉A smile of hope 
👉A smile to get Nigeria working again. 
👉A smile of a winner 
 
Meet your next president of the Federal Republic of Nigeria. 

 H.E Atiku Abubakar. https://t.co/TlOPF0RwxA",2,2,https://twitter.com/Nwafresh/status/1532606977515438080,2022-06-03 06:15:52+00:00
Omoawe1,Omoawe Poetically Mad,The more I go deep into politics the more I've come to the realization that Nigeria will not and can not move forward without restructuring.,0,0,https://twitter.com/Omoawe1/status/1532037253610061831,2022-06-01 16:31:59+00:00
Omoawe1,Omoawe Poetically Mad,"When people like Egbon @DeleFarotimi insisting on a candidate who is serious about restructuring, it's because they understand Nigeria better than twitter ranters.",2,0,https://twitter.com/Omoawe1/status/1532037245175308289,2022-06-01 16:31:57+00:00
IbekweOnwuezobe,Emmanuel I. Onwuezobe,"@PeterObi has started Restructuring in Nigeria starting with the Election Process by exposing the ""Dollarised Delegates"" &amp; forcing other Presidential Aspirants to embrace Issue Based Campaign.",27,12,https://twitter.com/IbekweOnwuezobe/status/1532018074144100353,2022-06-01 15:15:47+00:00
EOAbayomi,Eyifunayowa,Reading Buhari’s statements regarding choosing “a successor”. it should be obvious to everyone that the central government in Nigeria is too powerful. Restructuring is imperative. No other way. #Nigeria #WeCantContinueLikeThis,0,0,https://twitter.com/EOAbayomi/status/1531997367200776192,2022-06-01 13:53:30+00:00
TaiwoMajeks,Taiwo Majeks,"If other States are developing at the pace of Lagos, we would be better for it.

This restructuring have to happen.

Nigeria needs it.",2,0,https://twitter.com/TaiwoMajeks/status/1531966181950750720,2022-06-01 11:49:34+00:00
itsabdul3,Elslim..,"@asomakanaki @SadeeqKurbe @officialABAT @TinubuMediaS @tsg2023 @oluremitinubu @AdewaleTinubu @HonAminuSuleim @Mr_JAGs @alabiopeyemiola @KashimSM @BMB1_Official Restructuring today in Nigeria means different things to different people, but at the centre of the argument comes d single fact that power needs to be decentralised in the country",0,0,https://twitter.com/itsabdul3/status/1531909290184908802,2022-06-01 08:03:30+00:00
Nattie_Best,ηαтε,"@ipob_akwaibom I do not know who you people are, but please keep your IPOB nonsense far away from Akwa Ibom State. While I do believe there is a need for a restructuring of Nigeria, your methods and means are NOT the solution. 

Akwa Ibomites are a peaceful people. Thanks.",0,0,https://twitter.com/Nattie_Best/status/1529786745008664576,2022-05-26 11:29:16+00:00
Bature88,Bature Joshua,"@MobilePunch When good people say the only way for things to get better in Nigeria is by restructuring, many doesn't agree. See how poor students are suffering because of rubbish union called ASSU. If we restructure say education sector, I believe it will be better than the way it is.",2,1,https://twitter.com/Bature88/status/1503774558301556736,2022-03-15 16:46:08+00:00
SurajAyodeji,"el-suraj shittu MBA, MRICS, MNIQS, RQS","@jamesatts @OMOIYAWAEC77 You should ask Ben Nwabueze for restructuring Nigeria from the 'restructuring' you want now to the present 'restructuring' you don't want. Thanks to Aguiyi Ironsi. Before then Ahmadu Bello was leading the North, Awolowo was leading the South West and Azikiwe was in the East.",22,4,https://twitter.com/SurajAyodeji/status/1489227828654657541,2022-02-03 13:22:37+00:00
AdegokeVictor9,Adegoke Victor,The RESTRUCTURING has started already. Good luck to Nigeria https://t.co/fjc4bb9AbM,0,0,https://twitter.com/AdegokeVictor9/status/1436017103602073605,2021-09-09 17:22:12+00:00
abu_imtiyaz,Sanni. I. Ade,"@mobilisingniger That's another discussion for another day. FG can decide to stop these interventions all together. This is part of the restructuring every one has been talking about. There's no poor state in Nigeria, what we have are lazy and docile Govs who are not thinking. Waiting for FAAC",1,0,https://twitter.com/abu_imtiyaz/status/1435661262852030464,2021-09-08 17:48:13+00:00
