title,link,channelId,date
2023 Elections: Keep Voting In People That Will Destroy Your Life - Aisha Yesufu,https://www.youtube.com/watch?v=jN6ZUQcgTbk,UCKnyVIW5QvfnsXddsjFKx4A,2022-06-09T19:07:49Z
Aisha Yesufu: &#39;#EndSARS is a fight for the next generation of Nigerians&#39;  - BBC Africa,https://www.youtube.com/watch?v=7HiFDRx2cbs,UCvhPRRiwI1_p4OBsY0yz6mg,2020-10-22T23:57:24Z
#October1stProtest: Aisha Yesufu’s Speech That Had Security Agents Lowering The Barrel Of Their Guns,https://www.youtube.com/watch?v=NOS3YsiTQf0,UCKnyVIW5QvfnsXddsjFKx4A,2020-10-03T13:11:35Z
"&#39;We Are Used To A President Whose Words Mean Nothing&#39;, Aisha Yesufu Blasts Buhari",https://www.youtube.com/watch?v=qtmKn2m6nNQ,UCEXGDNclvmg6RW0vipJYsTQ,2021-02-26T20:41:12Z
"&quot;Young Nigerians must approach elections with independence, don&#39;t be deceived again&quot; - Aisha Yesufu",https://www.youtube.com/watch?v=mlufoJ1UYPI,UCyEJX-kSj0kOOCS7Qlq2G7g,2022-01-16T15:48:23Z
All My Friends Got Married At 9 - Aisha Yesufu,https://www.youtube.com/watch?v=bbdF_PrKbSo,UCEXGDNclvmg6RW0vipJYsTQ,2021-03-07T17:58:57Z
"After Owo Massacre Buhari And Cohorts Busy Partying, Unconcerned About Terrorism - Aisha Yesufu",https://www.youtube.com/watch?v=rNhubcdFf0I,UCKnyVIW5QvfnsXddsjFKx4A,2022-06-06T12:12:29Z
Aisha Yesufu : &#39;End Sars est un combat pour la prochaine génération&#39; au Nigeria,https://www.youtube.com/watch?v=X2qcUhOfd94,UCBte7YLdJx-O_YljuvN6whg,2020-10-22T20:30:00Z
"How Can You K*ll For Your Prophet, But You Can’t Die For Him? – Aisha Yesufu On Deborah’s Death",https://www.youtube.com/watch?v=sqAno_Dmxqw,UCuooZI9u0ZSGB58LMrT_T0w,2022-05-19T16:20:21Z
Aisha Yesufu Re-echoes BBOG Group Demand From Govt |BBOG Annual Chibok Girls&#39; Lecture|,https://www.youtube.com/watch?v=G51bOjX_uA8,UCEXGDNclvmg6RW0vipJYsTQ,2018-04-14T11:26:44Z
#ENDSARS: LAGOS GOVT DENIES &#39;MASSACRE&#39; - AISHA YESUFU WEIGHS IN,https://www.youtube.com/watch?v=RmigUA-s4HQ,UCyEJX-kSj0kOOCS7Qlq2G7g,2021-12-03T10:14:29Z
Nigerian Activist Aisha Yesufu advises girls to speak up - BBC What&#39;s New,https://www.youtube.com/watch?v=4rqIuVDv6k0,UCEo1gB9psJ-xMEuVVVBWiZw,2022-05-21T02:30:03Z
Aisha Yesufu Accuses Nigerian Govt Of Plotting to Derail Obi’s 2023 Campaign  With Trumped-Up Charge,https://www.youtube.com/watch?v=WIVnecZ5kpc,UCh8Hm1lCTKaz5EW6ady0Dfg,2022-07-04T05:37:10Z
Aisha Yesufu - &quot;We Need To Sack The Commander- In - Chief&quot;,https://www.youtube.com/watch?v=p26qLRT-HPI,UCkY5L8JYwx7BT0cOXYZX_dw,2020-02-18T14:28:18Z
"#EndSARS: &#39;This Is Not A Joke&#39;, Aisha Yesufu Condemns Buhari&#39;s Reaction During Sanwo-Olu&#39;s Visit",https://www.youtube.com/watch?v=7cKLtwO1nak,UCEXGDNclvmg6RW0vipJYsTQ,2020-10-16T22:07:16Z
"&#39;Life Is Not A Pizza-Man&#39;, Aisha Yesufu Asks Women To Engage More In Politics",https://www.youtube.com/watch?v=Y4sRAi1tTyg,UCEXGDNclvmg6RW0vipJYsTQ,2018-03-22T19:49:55Z
#ENDSARS: &quot;You Asked Us To Give You CRU What Has Come Out Of It?&quot; - Aisha Yesufu,https://www.youtube.com/watch?v=M5a87y8SslA,UCKnyVIW5QvfnsXddsjFKx4A,2020-10-08T10:49:00Z
ATMOSPHERE SHAKING AS AISHA YESUFU ANNOUNCES HER SUPPORT FOR PETER OBI,https://www.youtube.com/watch?v=UhGj2wDHY4s,UCEyqRICxQq1psJZIqKGK0Tg,2022-06-11T12:58:11Z
Nigerian activist Aisha Yesufu: &#39;We&#39;re simply asking for police brutality to stop&#39;,https://www.youtube.com/watch?v=wfgLsgmIChc,UCQfwfsi5VrQ8yKZ-UWmAEFg,2020-11-10T11:13:17Z
