title,link,channelId,date
"Oby Ezekwesili Advocates For Good Governance In Nigeria, Launches Fixpolitics Initiative",https://www.youtube.com/watch?v=M0w_uiwAFg8,UCEXGDNclvmg6RW0vipJYsTQ,2020-11-11T21:29:22Z
I&#39;m In Politics To Rescue Nigeria - Oby Ezekwesili Pt.2 | Sunday Politics |,https://www.youtube.com/watch?v=uvCMnLxuex0,UCEXGDNclvmg6RW0vipJYsTQ,2018-11-11T20:38:18Z
Obiageli Ezekwesili&#39;s Passionate Speech On Africa&#39;s Youth | Forum Insight,https://www.youtube.com/watch?v=aaviZU6qmRw,UCw-kH-Od73XDAt7qtH9uBYA,2019-09-07T00:12:58Z
DOCUMENTARY: Oby Ezekwesili At The APC National Summit. Pt1,https://www.youtube.com/watch?v=ePeMkCA-5nU,UCEXGDNclvmg6RW0vipJYsTQ,2014-03-15T13:00:36Z
Unsustainability of Failure: The Office of the Citizen | Dr. Oby Ezekwesili | TEDxMaitama,https://www.youtube.com/watch?v=reNWumvRl6Q,UCsT0YIqwnpJCM-mx7-gSA4Q,2017-09-26T16:24:15Z
"Nigerians Are The Academia In South Africa, Not Criminals - Oby Ezekwesili",https://www.youtube.com/watch?v=GIP9Hi4LVE0,UCKnyVIW5QvfnsXddsjFKx4A,2019-09-07T13:26:26Z
Under 40 CEOs Forum Nigeria - Dr. Oby Ezekwesili,https://www.youtube.com/watch?v=5WLnjbAIuAg,UCj9Oa80pZ6fbvaWZEbecV8Q,2020-12-02T12:31:30Z
Divergent Thinking  | OBIAGELI EZEKWESILI | TEDxNzaStreet,https://www.youtube.com/watch?v=u2v_ZMGC-eQ,UCsT0YIqwnpJCM-mx7-gSA4Q,2019-02-07T15:53:09Z
The Platform 2016:  Obiageli Ezekwesili Speaks On National Development Pt.1,https://www.youtube.com/watch?v=ix6PK4MET0I,UCEXGDNclvmg6RW0vipJYsTQ,2016-05-01T11:08:14Z
Ezekwesili: I will disrupt Nigeria&#39;s politics of failure,https://www.youtube.com/watch?v=6APER0TM4pQ,UCupvZG-5ko_eiXAupbDfxWw,2018-11-21T21:10:05Z
"Oby Ezekwesili talks about corruption, insecurity and her bid for Presidency",https://www.youtube.com/watch?v=rHr-M024iWM,UCyEJX-kSj0kOOCS7Qlq2G7g,2018-10-11T11:07:48Z
METROFILE: Madam Due Process; Oby Ezekwesili Is 50,https://www.youtube.com/watch?v=15kWS2c5JQw,UCEXGDNclvmg6RW0vipJYsTQ,2013-05-12T11:44:50Z
Against the Odds with Peace Hyde EP1 joined by Oby Ezekwesili,https://www.youtube.com/watch?v=Ki2oauWWMBA,UCsba91UGiQLFOb5DN3Z_AdQ,2017-06-30T12:43:37Z
Meet Dr Oby Ezekwesili a board member at Nexford University,https://www.youtube.com/watch?v=hzN0ihHIi7o,UCZQYf52B_Ywmg_af1SadoKQ,2022-04-20T11:54:32Z
Smashing the Glass Ceiling | Oby Ezekwesili + More | Talks at Google,https://www.youtube.com/watch?v=GYA_ZUXEqmU,UCbmNph6atAoGfqLoCL_duAg,2016-03-24T23:57:10Z
Dr Oby Ezekwesili launches BBA scholarship,https://www.youtube.com/watch?v=bH5ljfJwu0A,UCZQYf52B_Ywmg_af1SadoKQ,2019-02-05T13:33:09Z
Dr. Oby Ezekwesili | Innovate,https://www.youtube.com/watch?v=uJwDdEBjIKs,UCB48LAzLuRMpdQ6udqrq7HQ,2016-11-28T10:10:07Z
Dr Oby Ezekwesili: why next-generation learning offers more,https://www.youtube.com/watch?v=OcCf32Y0f3s,UCZQYf52B_Ywmg_af1SadoKQ,2019-02-05T13:39:46Z
Nigeria&#39;s Poor Governance Linked To APC &amp; PDP - Oby Ezekwesili Pt 2 | Rubbin Minds |,https://www.youtube.com/watch?v=kFTvbVe2q7s,UCEXGDNclvmg6RW0vipJYsTQ,2018-06-24T14:31:02Z
The Platform: Big Talk with Oby Ezekwesili,https://www.youtube.com/watch?v=NHChwF7I0kI,UCgp4A6I8LCWrhUzn-5SbKvA,2018-07-21T08:57:51Z
Oby Ezekwesili At The APC National Summit Pt.1,https://www.youtube.com/watch?v=1wb93bgM5W4,UCEXGDNclvmg6RW0vipJYsTQ,2014-03-15T21:23:31Z
Nigerian Government Sued Over Twitter Suspension - Dr. Oby Ezekwesili on The Arise Interview,https://www.youtube.com/watch?v=EY0IE7dLRNQ,UCyEJX-kSj0kOOCS7Qlq2G7g,2021-06-24T17:12:59Z
Dr Oby Ezekwesili: online learning means &quot;no barriers&quot;,https://www.youtube.com/watch?v=CZv_czCeuj4,UCZQYf52B_Ywmg_af1SadoKQ,2019-02-05T13:26:51Z
Oby Ezekwesili: Not An Accidental Public Servant,https://www.youtube.com/watch?v=XqCQvJq5IVg,UCEXGDNclvmg6RW0vipJYsTQ,2020-03-08T19:24:07Z
Oby Ezekwesili Aplogises To Nigerians For Withdrawing From Presidential Race,https://www.youtube.com/watch?v=eZSEL9s-I0E,UCEXGDNclvmg6RW0vipJYsTQ,2019-02-04T22:59:16Z
DOCUMENTARY: Oby Ezekwesili At The APC National Summit. Pt2,https://www.youtube.com/watch?v=KUPBA6MZV2I,UCEXGDNclvmg6RW0vipJYsTQ,2014-03-15T13:00:39Z
"How I Will Tackle Corruption In Nigeria, Oby Ezekwesili Explains |Roadmap 2019|",https://www.youtube.com/watch?v=W-prVc6-3rA,UCEXGDNclvmg6RW0vipJYsTQ,2018-12-04T07:52:48Z
Oby Ezekwesili&#39;s Presidential Ambition In 2019 | Legit TV,https://www.youtube.com/watch?v=f0GyNPiGkRk,UCwd8fNhb8OPLPSNELSys9pg,2018-10-12T16:33:57Z
Oby Ezekwesili Speaking at NES23,https://www.youtube.com/watch?v=3FOtPqYpF_M,UCwqFZuoimy5XVTmHo3hRvCA,2020-08-03T15:45:00Z
"Emefiele Should Resign, His Presidential Bid Portends Danger To Nigerian Economy - Oby Ezekwesili",https://www.youtube.com/watch?v=2TrImxnvZrY,UCgp4A6I8LCWrhUzn-5SbKvA,2022-05-08T12:03:17Z
"&#39;I Got Fed Up&#39;, Oby Ezekwesili Explains Why She Joined The Presidential Race |Roadmap 2019|",https://www.youtube.com/watch?v=0Z9oPFLWaa8,UCEXGDNclvmg6RW0vipJYsTQ,2018-12-04T07:52:48Z
Nigeria&#39;s Quest for Good Governance - Oby Ezekwesili,https://www.youtube.com/watch?v=iyn-2v5Y3yg,UCyEJX-kSj0kOOCS7Qlq2G7g,2021-01-19T12:06:38Z
I&#39;m The Candidate Of The Nigerian People - Oby Ezekwesili,https://www.youtube.com/watch?v=ahxT_RsrxUQ,UCEXGDNclvmg6RW0vipJYsTQ,2018-11-11T20:31:47Z
CHIBOK GIRLS: THE STORY THUS FAR - DR. OBY EZEKWESILI,https://www.youtube.com/watch?v=v9j3XtZxTgg,UCyEJX-kSj0kOOCS7Qlq2G7g,2021-08-16T17:13:52Z
"RBA Fellow Oby Ezekwesili about Politics, Economics and Society",https://www.youtube.com/watch?v=0FUFrr1CFiM,UCPTpN-_HdJKcggAZGY_Kfqw,2020-01-16T09:17:09Z
Our Problems Are Deeper Than We Are Admitting – Oby Ezekwesili Pt.1 |Sunrise Daily|,https://www.youtube.com/watch?v=7tlN6gHK04I,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-02T10:20:16Z
2019 Elections: Why Nigeria needs Quality Leaders to Emerge- Oby Ezekwesili,https://www.youtube.com/watch?v=j3_dnh3WTc0,UCh_x1EANObKl_UwkVaAiq-Q,2018-08-29T15:25:56Z
2019 Election: Oby Ezekwesili Flags Off Campaign,https://www.youtube.com/watch?v=Qz7cMRw1y0Y,UCEXGDNclvmg6RW0vipJYsTQ,2019-01-07T20:51:02Z
"Police Detain Oby Ezekwesili, BBOG Protesters In &#39;Human Prison&#39;",https://www.youtube.com/watch?v=6AXUEEVLQyE,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-23T13:14:16Z
I&#39;m In Politics To Rescue Nigeria - Oby Ezekwesili Pt.1 | Sunday Politics |,https://www.youtube.com/watch?v=mzHXUusYPtk,UCEXGDNclvmg6RW0vipJYsTQ,2018-11-11T20:38:19Z
Nigeria@58: Life Of Nigerian Has Been Cheapened - Oby Ezekwesili,https://www.youtube.com/watch?v=5Q1nIlXdo1U,UCEXGDNclvmg6RW0vipJYsTQ,2018-10-01T22:45:52Z
Oby Ezekwesili Waves &quot;The Red Card&quot; To APC And PDP Pt 2 | Sunday Politics |,https://www.youtube.com/watch?v=zsfboYHrD7Y,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-14T20:06:08Z
Oby Ezekwesili Insists BBOG Members Were Arrested | Sunrise Daily |,https://www.youtube.com/watch?v=xiKkBYHFePw,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-24T09:42:41Z
Oby Ezekwesili Waves &quot;The Red Card&quot; To APC And PDP Pt 1 | Sunday Politics |,https://www.youtube.com/watch?v=og_YS93RVkU,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-14T20:06:04Z
Oby Ezekwesili Being surrounded By A Team of Policemen In Abuja,https://www.youtube.com/watch?v=Vh2PpRULAMo,UCKnyVIW5QvfnsXddsjFKx4A,2018-01-25T08:09:20Z
Nigeria&#39;s Poor Governance Linked To APC &amp; PDP - Oby Ezekwesili Pt 4 | Rubbin Minds |,https://www.youtube.com/watch?v=969yku9BiiQ,UCEXGDNclvmg6RW0vipJYsTQ,2018-06-24T14:51:21Z
Oby Ezekwesili Calls For Dismantling Of Nigeria&#39;s Dominant Political Class,https://www.youtube.com/watch?v=gGdqE9t3KWs,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-14T20:07:13Z
#BringBackOurGirls: How Obasanjo Would Have Rescued Chibok Girls - Oby Ezekwesili,https://www.youtube.com/watch?v=x2pMxHCNavY,UCKnyVIW5QvfnsXddsjFKx4A,2014-12-15T20:31:06Z
Nigeria Has A Structural Problem - Oby Ezekwesili,https://www.youtube.com/watch?v=SS0QDfsv64o,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-14T20:07:50Z
Nigeria&#39;s Poor Governance Linked To APC &amp; PDP - Oby Ezekwesili Pt 1 | Rubbin Minds |,https://www.youtube.com/watch?v=97fj4iLUjmk,UCEXGDNclvmg6RW0vipJYsTQ,2018-06-24T14:31:02Z
"Oby Ezekwesili: Why Nigerians should Get Rid Of Buhari, Atiku in 2019 | Your View October 31st 2018",https://www.youtube.com/watch?v=hkQBF-iTYpM,UCdjXk1U6hmVpdLNkVrwe_gw,2018-10-31T13:58:22Z
"Nigeria&#39;s Oby Ezekwesili talks race withdrawal, political future",https://www.youtube.com/watch?v=oYQ8oJ1tK1g,UC1_E8NeF5QHY2dtdLRBCCLA,2019-02-06T15:35:56Z
"General Elections: Oby Ezekwesili&#39;s Withdrawal, Too Late - INEC |Politics Today|",https://www.youtube.com/watch?v=3aBlvu-mbNA,UCEXGDNclvmg6RW0vipJYsTQ,2019-01-24T21:29:07Z
Resist  People Preventing  BBOG Campaign – Oby Ezekwesili PT2,https://www.youtube.com/watch?v=9-CV35D9hJg,UCEXGDNclvmg6RW0vipJYsTQ,2014-12-11T10:59:11Z
Our Problems Are Deeper Than We Are Admitting – Oby Ezekwesili Pt.2 |Sunrise Daily|,https://www.youtube.com/watch?v=u0gZ1Zcdf8U,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-02T10:20:17Z
Resist People Preventing The BBOG Campaign – Oby Ezekwesili PT1,https://www.youtube.com/watch?v=0Fi1fID5YH4,UCEXGDNclvmg6RW0vipJYsTQ,2014-12-11T10:57:47Z
Nigeria@58 Pt 11:The Nigerian Life Must Matter - Oby Ezekwesili,https://www.youtube.com/watch?v=gSFv1-icjzo,UCEXGDNclvmg6RW0vipJYsTQ,2018-10-01T21:30:54Z
"Oby Ezekwesili Says Productivity, Competitiveness Key To Developing Nigeria",https://www.youtube.com/watch?v=COdmgU3ja88,UCEXGDNclvmg6RW0vipJYsTQ,2017-10-13T18:50:51Z
Political Round-Up: Oby Ezekwesili Asks Buhari To Rescind Decision On Electoral Act |Politic Today|,https://www.youtube.com/watch?v=Y7UC-fEr9qI,UCEXGDNclvmg6RW0vipJYsTQ,2018-12-10T20:15:10Z
Oby Ezekwesili and BBOG Activists Released,https://www.youtube.com/watch?v=jve6BaxwRSQ,UCKnyVIW5QvfnsXddsjFKx4A,2018-01-25T08:08:32Z
Oby Ezekwesili Waves &quot;The Red Card&quot; To APC And PDP Pt 3 | Sunday Politics |,https://www.youtube.com/watch?v=XxdPaecumxk,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-14T20:06:04Z
Asking Questions Is The Heartbeat Of Democracy - Oby Ezekwesili | Hard Copy |,https://www.youtube.com/watch?v=5LYviTARRgY,UCEXGDNclvmg6RW0vipJYsTQ,2018-02-23T20:31:08Z
Oby Ezekwesili Advocates A Summit Of The Alternatives In Nigerian Politics,https://www.youtube.com/watch?v=IuEdrMOeTlQ,UCEXGDNclvmg6RW0vipJYsTQ,2018-06-24T14:49:47Z
Ministers Have No Business Meeting With Contractors - Oby Ezekwesili,https://www.youtube.com/watch?v=uf_-MsvRa34,UCEXGDNclvmg6RW0vipJYsTQ,2013-06-04T22:59:54Z
Oby Ezekwesili At The APC National Summit Pt.2,https://www.youtube.com/watch?v=cdXXwaspIkY,UCEXGDNclvmg6RW0vipJYsTQ,2014-03-17T14:26:34Z
Our Problems Are Deeper Than We Are Admitting – Oby Ezekwesili Pt.3 |Sunrise Daily|,https://www.youtube.com/watch?v=FZTOjDzaWNk,UCEXGDNclvmg6RW0vipJYsTQ,2018-01-02T10:20:17Z
Nigeria@58 Pt 9: Nigeria&#39;s Military Architecture Should Be Reviewed - Oby Ezekwesili,https://www.youtube.com/watch?v=7qDDkMBBYek,UCEXGDNclvmg6RW0vipJYsTQ,2018-10-01T21:30:54Z
"Oby Ezekwesili Quits Presidential Race | Your View, 28th January, 2019 (Full Video)",https://www.youtube.com/watch?v=RI28UrX-ZSU,UCdjXk1U6hmVpdLNkVrwe_gw,2019-01-28T14:29:04Z
Oby Ezekwesili- Running in the presidential race to WIN and not just to make a statement,https://www.youtube.com/watch?v=Dt_vTPGVRnE,UCyEJX-kSj0kOOCS7Qlq2G7g,2018-12-18T18:38:56Z
Oby Ezekwesili Demands Probe Of Counter Terrorism War,https://www.youtube.com/watch?v=D72BQWMuneY,UCEXGDNclvmg6RW0vipJYsTQ,2018-11-25T22:51:09Z
2019 Elections Oby Ezekwesili Unveils Running Mate,https://www.youtube.com/watch?v=PcIXU85EOJU,UCEXGDNclvmg6RW0vipJYsTQ,2018-11-28T21:41:53Z
Oby Ezekwesili: Tackling Inter-Africa Racism,https://www.youtube.com/watch?v=C4WrcRchKOE,UCw-kH-Od73XDAt7qtH9uBYA,2019-09-06T12:31:37Z
Resist  People Preventing BBOG Campaign – Oby Ezekwesili PT3,https://www.youtube.com/watch?v=x3axF-_rqUw,UCEXGDNclvmg6RW0vipJYsTQ,2014-12-11T11:00:56Z
Episode 1 Promo: Against the Odds hosts Oby Ezekwesili Friday 30 June,https://www.youtube.com/watch?v=lK9xK4KUqZY,UCb6mk2ZovF0LyegTNqT-WmQ,2017-06-23T07:00:09Z
