username,displayName,tweet,likes,retweets,link,date
ShehuSani,Senator Shehu Sani,"We assembled to remember and appreciate the heroes,heroines and martyrs of the struggle for Democracy in Nigeria. https://t.co/bIeaQ4EyuO",751,169,https://twitter.com/ShehuSani/status/1536022109809479681,2022-06-12 16:26:23+00:00
obyezeks,Oby Ezekwesili,"It is June12 and I am excited that two of our initiatives @fixpoliticsnig and @TheSPPG are hosting 2 public events on this Democracy Day!

 @ 3pm-4.45PM is the @fixpoliticsnig Citizens’ RoundTable themed, “Daring to Hope!”

 @5pm-7pm is @TheSPPG Democracy &amp; Leadership Dialogue.✍🏾",24,6,https://twitter.com/obyezeks/status/1535953572059283456,2022-06-12 11:54:02+00:00
ShehuSani,Senator Shehu Sani,"The Recognition of June 12 as a democracy day,the immortalisation and the appreciation of the struggle for democracy led by Chief MKO Abiola is a positive mark for the PMB administration.",1085,120,https://twitter.com/ShehuSani/status/1535929288075116544,2022-06-12 10:17:33+00:00
ShehuSani,Senator Shehu Sani,"The President’s democracy day speech is not different from all his previous speeches,other than this one is the last;full of assurances and promises and empty in delivery.Anyway,this time he was shy to blame ‘16 years of misrule’.",4488,1022,https://twitter.com/ShehuSani/status/1535905469629403137,2022-06-12 08:42:54+00:00
obyezeks,Oby Ezekwesili,"June12.       Democracy Day.🇳🇬

The Day of the #OfficeOfTheCitizen . 

Bring it on.💪🏾✍🏾",143,54,https://twitter.com/obyezeks/status/1535891503599476737,2022-06-12 07:47:24+00:00
ShehuSani,Senator Shehu Sani,"Today is Democracy Day,adding ‘Happy’ before the Day is something else.",1364,173,https://twitter.com/ShehuSani/status/1535879139344928768,2022-06-12 06:58:16+00:00
kikimordi,Grand Commander of the Feminist Battalion,"From midnight, put this up as your profile photo, WhatsApp status, everywhere. This is how we celebrate our rights to vote. This is how we’ll celebrate democracy. 
#DayOfObidience #MyPeterObi #VoteLabourParty https://t.co/HWuZCrS2yB https://t.co/Om7NKDZK0y",359,316,https://twitter.com/kikimordi/status/1535746206307065856,2022-06-11 22:10:03+00:00
kikimordi,Grand Commander of the Feminist Battalion,"To celebrate Democracy Day tomorrow, will you change your avi/dp/banner to a very simple photo to raise awareness for #MyPeterObi?",523,328,https://twitter.com/kikimordi/status/1535716028319244289,2022-06-11 20:10:08+00:00
AishaYesufu,Aisha Yesufu,The democracy that we take for granted today was fought for by men and women who didn't believe anyone who told them it could not be done. Some paid with their lives! https://t.co/MUgzhfhUnz,169,46,https://twitter.com/AishaYesufu/status/1535616553311412224,2022-06-11 13:34:51+00:00
AishaYesufu,Aisha Yesufu,"The legislative arm of government is the bedrock of democracy! Dear Nigerians, let's focus on it!",444,132,https://twitter.com/AishaYesufu/status/1534520244458471425,2022-06-08 12:58:30+00:00
AishaYesufu,Aisha Yesufu,Legislative arm of government is the bedrock of democracy https://t.co/Y3F3Urx8fw,77,10,https://twitter.com/AishaYesufu/status/1534179488577335298,2022-06-07 14:24:28+00:00
ShehuSani,Senator Shehu Sani,"@RiaRevealed @NupurSharmaBJP India has been a moral and cultural power;as the World’s biggest democracy,it should be an exemplar for religious tolerance and harmony in diversity.We are appalled by what is happening;India must reverse back to the path of honour and respect for the religious beliefs of others.",22,8,https://twitter.com/ShehuSani/status/1534179227431587840,2022-06-07 14:23:26+00:00
AishaYesufu,Aisha Yesufu,The legislative arm of government is the bedrock of democracy. We must focus on it https://t.co/MepNYw5Hys,207,59,https://twitter.com/AishaYesufu/status/1533768951511015424,2022-06-06 11:13:08+00:00
AishaYesufu,Aisha Yesufu,The legislative arm is the bedrock of democracy https://t.co/xM2hcTSUyJ,67,10,https://twitter.com/AishaYesufu/status/1532046683386912770,2022-06-01 17:09:28+00:00
AishaYesufu,Aisha Yesufu,"Dear Citizens,
The legislative arm of government is the bedrock of democracy. It will be unwise to ignore it!
Imagine after all your hard work, your candidate gets there and is impeached or has his or her hands tied!
Get in competent people into the legislative arm of government!",3079,1324,https://twitter.com/AishaYesufu/status/1531383750642356230,2022-05-30 21:15:12+00:00
AishaYesufu,Aisha Yesufu,"Just realised today is Democracy Day!
Smh!",498,50,https://twitter.com/AishaYesufu/status/1530912511482073089,2022-05-29 14:02:40+00:00
obyezeks,Oby Ezekwesili,"Monopoly democracy will worsen until intentionally, deliberately, strategically and collectively challenged. The dominant political class erects all forms of barriers to entry into politics by new political actors who do not wish to identify with their political culture. Think!✍🏾",146,56,https://twitter.com/obyezeks/status/1530507177722626049,2022-05-28 11:12:01+00:00
AishaYesufu,Aisha Yesufu,It is when it comes to women running for office that they remember Islamic perspectives. Is the democracy we practice in Nigeria from the Islamic perspectives? Are you supposed to be the one asking to be a leader in Islam? Is it not that you should be found worthy  of it?,420,94,https://twitter.com/AishaYesufu/status/1530285571209408513,2022-05-27 20:31:26+00:00
