username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,"I wrote this on the day that the National Assembly rejected the Gender Equality Bill 
#EqualityForDummies 
Full video on https://t.co/GMU4d3Z0f2 https://t.co/miWIVhMqs6",80,31,https://twitter.com/AishaYesufu/status/1397567974475800584,2021-05-26 14:59:05+00:00
AishaYesufu,Aisha Yesufu,"I remain fully committed to ensuring that all women #WinTogether. Head on to https://t.co/xzbHfbA1eu to view the complete list. 
#LLA100Women2021 #ChooseToChallenge #IWD2021 #WomensMonth #GenderEquality #LeadingLadiesAfrica @LeadingLadiesAF",56,5,https://twitter.com/AishaYesufu/status/1368877903090450442,2021-03-08 10:54:59+00:00
AishaYesufu,Aisha Yesufu,"Today I #ChooseToChallenge gender bias, inequality and all the negative stereotypes that prevent women all over the world from becoming their best selves. 
#LLA100Women2021 #ChooseToChallenge #IWD2021 #WomensMonth #GenderEquality #LeadingLadiesAfrica
@LeadingLadiesAF",68,12,https://twitter.com/AishaYesufu/status/1368877782307069955,2021-03-08 10:54:30+00:00
AishaYesufu,Aisha Yesufu,"Honored to be named among the diverse ranks of other amazing Nigerian women pushing boundaries, and impacting the world in the most meaningful and powerful ways. 
#LLA100Women2021 #ChooseToChallenge #IWD2021 #WomensMonth #GenderEquality #LeadingLadiesAfrica
@LeadingLadiesAF",83,6,https://twitter.com/AishaYesufu/status/1368877553491075074,2021-03-08 10:53:35+00:00
AishaYesufu,Aisha Yesufu,"I’m honoured to be announced as one of the honorees on Leading Ladies Africa’s #100 Most Inspiring Women in Nigeria List. 
#LLA100Women2021 #ChooseToChallenge #IWD2021 #WomensMonth #GenderEquality #LeadingLadiesAfrica 
@LeadingLadiesAF https://t.co/HL4FJzRJEF",2163,271,https://twitter.com/AishaYesufu/status/1368877374444625920,2021-03-08 10:52:53+00:00
kikimordi,Grand Commander of the Feminist Battalion,@The_Florentyna @BennyBenzzz Gender equality achieved. We can now go home.,0,0,https://twitter.com/kikimordi/status/1236332557152727044,2020-03-07 16:47:06+00:00
kikimordi,Grand Commander of the Feminist Battalion,"People try to weaponize my passion for gender equality against me to their advantage. ALL THE TIME.

They will put their personal battle at my feet &amp; expect me to fight it because they've slipped in a gender angle somewhere in there.

They forget my job is to investigate.

Lewl.",151,34,https://twitter.com/kikimordi/status/1229285751264829441,2020-02-17 06:05:36+00:00
AishaYesufu,Aisha Yesufu,"How did we get to men can push you to the end narrative to justify what Maryam Sanda did?
Gender hypocrisy?! It is easier for you to believe a man is abusive but not a woman being abusive? Yet you say you are fighting gender equality. 
You just scored an own goal!",1156,471,https://twitter.com/AishaYesufu/status/1222065134069256192,2020-01-28 07:53:27+00:00
kikimordi,Grand Commander of the Feminist Battalion,"These ""activists"" usually spring up from nowhere only when it's time to use the name of gender equality and feminism to defend nonce and sound dim.
Like we never really see them defending women till it's time to rubbish the movement... Almost seems like it's on purpose 🤔 https://t.co/4wp1K6IlAN",37,25,https://twitter.com/kikimordi/status/1221851711146426370,2020-01-27 17:45:23+00:00
AishaYesufu,Aisha Yesufu,"I wrote this when the National Assembly threw out the gender equality bill &amp; i think i should put it out here again
#EqualityForDummies
My name is Aisha Yesufu. I happen to be a human being with the reproductive organs of a female so I am called a woman. 

https://t.co/4y5JPLNDwp",150,92,https://twitter.com/AishaYesufu/status/1213715373268357120,2020-01-05 06:54:29+00:00
