username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,"So I dare to hope for something, then I failed at getting it and you think you will shame me?
🤣🤣🤣🤣
Shame is already ashamed of your hopelessness!
You think you are doing me? If you can endure the bad governance, I surely can.
Remember, it is Turn By Turn Nigeria Ltd!",799,206,https://twitter.com/AishaYesufu/status/1535970833738387456,2022-06-12 13:02:38+00:00
AishaYesufu,Aisha Yesufu,"@ronkeodewumi Nigerians in diaspora have money and influence. They can donate to fund campaigns. Good governance in Nigeria will lessen the burden on them having to send money home.
They help a lot of people who listen to them and they can sway voters and also encourage citizens to vote.",8,0,https://twitter.com/AishaYesufu/status/1535932035252068353,2022-06-12 10:28:28+00:00
AishaYesufu,Aisha Yesufu,"Dear Nigerians in Diaspora 
We need you guys!
Your money and influence will help towards achieving good governance in 2023! https://t.co/u9ToFJCAuw",659,246,https://twitter.com/AishaYesufu/status/1535910577209589761,2022-06-12 09:03:12+00:00
obyezeks,Oby Ezekwesili,"When an existing Model is broken and unsalvageable, wisdom instructs that you create a New one. No need crying over spilt milk. No need.
We are dedicated to our .@TheSPPG mission building that new genre of public leaders that will confront and solve Nigeria’s governance failures. https://t.co/suw7AUBwfY",26,6,https://twitter.com/obyezeks/status/1534903555319922689,2022-06-09 14:21:39+00:00
AishaYesufu,Aisha Yesufu,"What Bola Ahmed Tinubu @officialABAT did is not Politics 101. It is Wickedness 100. 
Same with Abubakar Atiku @atiku.
There is enough bad governance to go round! https://t.co/9x6BezjQcY",6967,2979,https://twitter.com/AishaYesufu/status/1534812430882283520,2022-06-09 08:19:33+00:00
AishaYesufu,Aisha Yesufu,"If Nigerian politicians were desperate to give good governance the way that they are desperate to win election, Nigeria would have been eldorado",4999,1247,https://twitter.com/AishaYesufu/status/1534390929997570051,2022-06-08 04:24:39+00:00
AishaYesufu,Aisha Yesufu,"Many do not want good governance or security of lives and properties. They just want whoever is in charge to be from their region and SHARING same faith with them!
🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",4035,1276,https://twitter.com/AishaYesufu/status/1534186833797648384,2022-06-07 14:53:39+00:00
AishaYesufu,Aisha Yesufu,"I love politics! It is about people! I love campaign season! I love meeting people, sharing ideas, learning from each other and sharing different perspectives!
What i hate is administration! I dislike the governance itself! I am not a process person and I love my freedom!",457,57,https://twitter.com/AishaYesufu/status/1532693909545140225,2022-06-03 12:01:18+00:00
AishaYesufu,Aisha Yesufu,"This was my stance before the 2015 election and still my stance today. It is not enough to change candidates. There must be good governance, accountability and respect for citizens. 
That is the change! https://t.co/2mDe8tEIZH",47,3,https://twitter.com/AishaYesufu/status/1531917004986273792,2022-06-01 08:34:10+00:00
AishaYesufu,Aisha Yesufu,"@__yellows He has been able to increase IGR through Kadgis revenue. That can be put to education. The ground rent that is paid in each area a good percentage of it should go towards education. 
Good governance is not about building roads. It is about building people.",1,0,https://twitter.com/AishaYesufu/status/1531758369568182272,2022-05-31 22:03:48+00:00
AishaYesufu,Aisha Yesufu,"@__yellows It is citizens making permutations. This is not the first time. 2019 it was the same thing.
Hate El Rufai? That would be a waste of hatred. On what basis is he the best? 
He hasn't really governed.
Governance is so much more than",0,0,https://twitter.com/AishaYesufu/status/1531753364232577027,2022-05-31 21:43:55+00:00
AishaYesufu,Aisha Yesufu,"Dear Nigerian Youth,
What are your terms?
Jobs open to all based on merit instead of connection?
Enabling environment to be listened to and not tear gassed or shot at when you protest?
Being part of governance?
This is the time to negotiate oooh. You have the upper hand!",1165,413,https://twitter.com/AishaYesufu/status/1531666784478273538,2022-05-31 15:59:53+00:00
obyezeks,Oby Ezekwesili,The Siamese Twins of shenanigans and bad governance. ✍🏾,132,34,https://twitter.com/obyezeks/status/1530529394246176780,2022-05-28 12:40:18+00:00
AishaYesufu,Aisha Yesufu,"That no politician has ever won Presidential election without a political structure is not to say that it cannot happen! 

We might as well give up on getting good governance because no Nigerian has gotten good governance. NO WAY!
WE DIE TRYING!",1814,636,https://twitter.com/AishaYesufu/status/1530070774194786304,2022-05-27 06:17:54+00:00
AishaYesufu,Aisha Yesufu,"As long as you have the dollars you can reign supreme in PDP even if you march on their heads. 
Very pathetic party both in governance and opposition! https://t.co/8k6t3SufeL",65,12,https://twitter.com/AishaYesufu/status/1529874366502256641,2022-05-26 17:17:27+00:00
