username,displayName,tweet,likes,retweets,link,date
AishaYesufu,Aisha Yesufu,"Thanks for the clarification. Let me ask you. Would you have been outraged if Harira and her children weren't Muslim Northerners killed by Ipob murderers? I didn't see you when the Anambra lawmaker was killed beheaded and his head displayed. 
Think about your response. https://t.co/WQwMYIBjU8",111,18,https://twitter.com/AishaYesufu/status/1529197686812987393,2022-05-24 20:28:34+00:00
AishaYesufu,Aisha Yesufu,"Today it is the Ipob leaders and Buhari that see us as enemies!
Buhari failed to secure the South East!
Buhari failed to secure the North West 
Buhari failed to secure the South South
Buhari failed to secure the South West
Buhari failed to secure the North Central and North East! https://t.co/1bhAJndPYF",79,31,https://twitter.com/AishaYesufu/status/1528468416872554497,2022-05-22 20:10:42+00:00
AishaYesufu,Aisha Yesufu,@FS_Yusuf_ I talked about the killings of ipob and shiites members just as #EndSars protesters were killed.,0,1,https://twitter.com/AishaYesufu/status/1493212957014208513,2022-02-14 13:18:06+00:00
AishaYesufu,Aisha Yesufu,"Yet when the Executive clamped on the civic space, the 8th Assembly was silent. When shiites were killed for simply demanding that their leader should be freed it was silent, when Ipob members were killed for asking for autonomy it was silent. 🤔 https://t.co/Cu6KozkT3j",31,7,https://twitter.com/AishaYesufu/status/1493209128411480067,2022-02-14 13:02:53+00:00
AishaYesufu,Aisha Yesufu,"Tell me what @bukolasaraki and the 8th Assembly did when the Executive under Buhari were killing shiites and ipob members?
So it is #EndSars that something would have been done?!
You arrogantly think your life is more precious?

#TheyDontFightForYou 
#DoPoliticsWithSense",229,81,https://twitter.com/AishaYesufu/status/1490279822404296706,2022-02-06 11:02:52+00:00
AishaYesufu,Aisha Yesufu,"Just because you arrogantly believe because you were part of #EndSars protests your life is better than that of shiites and Ipob!
#TheyDontFightForYou 
#DoPoliticsWithSense",80,15,https://twitter.com/AishaYesufu/status/1490277574127280128,2022-02-06 10:53:56+00:00
AishaYesufu,Aisha Yesufu,We don't pay attention. Also we think we are immune. Samw as how people were shocked at what soldiers did to #EndSars protesters after all they had been doing to ipob and shiite protesters. https://t.co/8aCf8TVpwr,30,12,https://twitter.com/AishaYesufu/status/1478481144324755456,2022-01-04 21:39:08+00:00
AishaYesufu,Aisha Yesufu,"We sure need to have that Nigeria conversation on being ONE NIGERIA. The easiest way to have that conversation is ensuring the legislative arm of government is controlled by the people. Ipob, oduduwa nation, South South, Middle belt send your people to occupy legislative arm https://t.co/q36V2D7nOr",29,10,https://twitter.com/AishaYesufu/status/1462800381369626629,2021-11-22 15:09:23+00:00
AishaYesufu,Aisha Yesufu,"Looks like a security van amongst the cars. Our security agents are useless against terrorists. It is only when it comes to protesters, shiites, ipob and yoruba nation agitators that they are powerful https://t.co/8nMGiVGIKb https://t.co/xrdw9hsjpY",158,99,https://twitter.com/AishaYesufu/status/1462793943049981955,2021-11-22 14:43:48+00:00
AishaYesufu,Aisha Yesufu,"What induced the civility?🤔
Anyway, ANC, PLO let go of armed struggle and focused on political power.
This is a call on them letting go of the violence being embarked upon no matter how justified they might think it is. It never helps.
Also Ipob proscribtion is mere politics https://t.co/EUoBlJNTac",14,4,https://twitter.com/AishaYesufu/status/1458729201561911296,2021-11-11 09:31:58+00:00
AishaYesufu,Aisha Yesufu,"Imagine an APGA/IPOB political alliance waxing strong and emulated in all the different region!
The different regions can control the legislative arm of government and be able to align to get things done!
You want a referendum? Ensure we have a constitution that has one!",131,30,https://twitter.com/AishaYesufu/status/1458429003233120257,2021-11-10 13:39:05+00:00
AishaYesufu,Aisha Yesufu,"Other regions can see the APGA/IPOB alliance working and emulate. When there are diff parties whose interest is their region first and then they form alliance with any party at the Presidential level, the regionalisation we are yearning for will begin to happen by fire by force",170,35,https://twitter.com/AishaYesufu/status/1458428411769200648,2021-11-10 13:36:44+00:00
AishaYesufu,Aisha Yesufu,"An APGA/IPOB alliance can bring the South East together politically. Instead of IPOB wasting it's goodwill on giving sit at home orders they can make it nominate and  vote credible candidates ""order""

Political power is everything!
Without it you are a pawn to be treated anyhow",344,57,https://twitter.com/AishaYesufu/status/1458425033001406468,2021-11-10 13:23:18+00:00
AishaYesufu,Aisha Yesufu,"Imagine if IPOB work with APGA to control the political power in the South East? Bring the best candidates to be nominated. Show the rest of us how people with competence, character and capacity in leadership position can change a region. 
Use the power to negotiate at Fed level",2953,860,https://twitter.com/AishaYesufu/status/1458422990622924802,2021-11-10 13:15:11+00:00
AishaYesufu,Aisha Yesufu,"IPOB will not be vindicated. They are the cause of the lower turnout. How many will risk coming out to see whether the lifting is true or not? 
They have scared people away from the polling units and this favours APC with the federal might to thumbprint. https://t.co/VEnHtUehIS",113,38,https://twitter.com/AishaYesufu/status/1457071961054527497,2021-11-06 19:46:41+00:00
AishaYesufu,Aisha Yesufu,"Boycotting election, voters apathy gives incumbent or the one with federal might the room to manipulate and bring themselves back to power.
IPOB should remember that if one does not use one's brain, others will use the brain for one! https://t.co/dUxUTiRedJ",41,10,https://twitter.com/AishaYesufu/status/1455515367447617545,2021-11-02 12:41:20+00:00
AishaYesufu,Aisha Yesufu,"When shiites will go against the country we will be shouting. Now we are quiet.
This was how government kept attacking and killing boko haram members until they killed their leader and a blood thirsty, revenge seeking one took over.
Same with IPOB 
Nigeria just never learns! https://t.co/k9D0ul6bL7",34,12,https://twitter.com/AishaYesufu/status/1443228591462961155,2021-09-29 14:58:04+00:00
AishaYesufu,Aisha Yesufu,"Keep justifying the killings. It is a matter  of time!
Buhari and Osinbajo killed shiites &amp; still killing them.
Buhari and Osinbajo killed ipob members &amp; still killing them.
Buhari and Osinbajo killed protesters &amp; still killing them.
Buhari and Osinbajo killed #EndSars protesters https://t.co/Bqmt46jGIo",61,39,https://twitter.com/AishaYesufu/status/1442855069175668750,2021-09-28 14:13:50+00:00
AishaYesufu,Aisha Yesufu,What is the difference between IPOB and Buhari's government?,790,114,https://twitter.com/AishaYesufu/status/1437523580607209476,2021-09-13 21:08:24+00:00
AishaYesufu,Aisha Yesufu,"I don't blame him. I blame IPOB that don't know the power they have. If they had fielded a candidate when Obiano was contesting, that Governor would have been carrying IPOB matter on his head.
Don't come here with which party?
Any party they vote for!
The people are the structure https://t.co/MUkJkd5P2c",21,10,https://twitter.com/AishaYesufu/status/1437483092206399490,2021-09-13 18:27:30+00:00
AishaYesufu,Aisha Yesufu,When shiites and ipob members were being killed many silently applauded because they didn't like them. This is the result of supporting tyranny https://t.co/2QlQBG0HgR,41,7,https://twitter.com/AishaYesufu/status/1419913120877891617,2021-07-27 06:50:43+00:00
AishaYesufu,Aisha Yesufu,"Aisha Yesufu don suffer for Naija
😆😆😆😆😆
Meanwhile some ipob members say I only support Fulanis. 
Biko, I am not ICU! https://t.co/NVgGUFEaQD",30,4,https://twitter.com/AishaYesufu/status/1414538979295305730,2021-07-12 10:55:48+00:00
AishaYesufu,Aisha Yesufu,"@Kingsleykc16 This picture was put together by a Buharist 🤣
Can't you get an Ipob original? 😊",13,3,https://twitter.com/AishaYesufu/status/1409913911298691077,2021-06-29 16:37:26+00:00
AishaYesufu,Aisha Yesufu,"Before IPOB there was MASSOB so calm down, this agitation was not discovered by you. Just try getting your members to occupy the 5 Government Houses, All the State Houses of seats, National Assembly seats also and team up with others who want to go separate ways. 
Be pragmatic!",2176,474,https://twitter.com/AishaYesufu/status/1408903894793658374,2021-06-26 21:43:59+00:00
AishaYesufu,Aisha Yesufu,"@MaziChikaOkeke @LittleMnk Don't mind them. IPOB has the power to control the South East Region but they choose to be outcasts because the leadership is affected by law of the lid.
Let them keep dancing on people's TL",2,0,https://twitter.com/AishaYesufu/status/1408792062066147328,2021-06-26 14:19:36+00:00
AishaYesufu,Aisha Yesufu,"@Richmond_Amadi If IPOB had fielded candidates instead of boycotting elections, they would have hone further with the separation talk",0,0,https://twitter.com/AishaYesufu/status/1406379447993860096,2021-06-19 22:32:44+00:00
obyezeks,Oby Ezekwesili,"Real question for @NigeriaGov to answer is “How did @NGRPresident @MBuhari so grievously mishandle its saga with IPOB that it degenerated into this ill-designed military action against innocent communities and the entire people of South East?”
Roll back your BAD strategy TODAY.✍🏾",150,90,https://twitter.com/obyezeks/status/1403591678791987202,2021-06-12 05:55:08+00:00
obyezeks,Oby Ezekwesili,"The real question for @NigeriaGov to answer is “How did @NGRPresident @MBuhari so grievously mishandle its saga with IPOB that it degenerated into this ill-designed military action against innocent communities and even churches in the South East?”
Roll back a BAD strategy NOW.",59,27,https://twitter.com/obyezeks/status/1399614139044184064,2021-06-01 06:29:48+00:00
obyezeks,Oby Ezekwesili,"Every reasonable person knows it is wrong and dangerous of the @NigeriaGov to conflate or confuse the South East for IPOB. They are not one and the same.

The SE is a region in Nigeria with citizens that are entitled to their dignity of life according to our Constitution.",54,22,https://twitter.com/obyezeks/status/1399613238271168515,2021-06-01 06:26:14+00:00
ShehuSani,Senator Shehu Sani,"The Imo attacks;The Police fingered IPOB,the Governor accused Political opponents and the Interior Ministry will reveal the outcome of their investigation that will “shock” https://t.co/fLoPLlXpr8 attack and three fingers.",675,161,https://twitter.com/ShehuSani/status/1389228623622811648,2021-05-03 14:41:29+00:00
AishaYesufu,Aisha Yesufu,@NzeneriM He says Southerners will shame me. I told him I am insulted by many from the South and many from the North. Ipob members have camped on my TL amd call me fulani herdswoman. I am okay with that.😁,3,0,https://twitter.com/AishaYesufu/status/1361404969258262529,2021-02-15 20:00:13+00:00
AishaYesufu,Aisha Yesufu,"Let me use that same big mouth to say no one has any right to go after people and destroy their businesses because they are Igbos and some think #OccupyLekkiTollGate has anything to do with IPOB.
Every Nigerian has a right to be anywhere in Nigeria. https://t.co/RrVg4yTBow",320,92,https://twitter.com/AishaYesufu/status/1359094700423196672,2021-02-09 11:00:01+00:00
AishaYesufu,Aisha Yesufu,"You want to go &amp; destroy other people's business because you have beef with IPOB.
What have the people at computer Village got to do with your perceived notion that IPOB is after Lagos? Are they IPOB? Even if they are, did they do you anything? Even if they did, ARE YOU THE LAW?",2171,627,https://twitter.com/AishaYesufu/status/1359087876923936775,2021-02-09 10:32:55+00:00
AishaYesufu,Aisha Yesufu,"The same mouth I used for IPOB is the same mouth I use for fulani herdsmen.

Being Fulani herdsmen doesn't make one an automatic criminal. Those who perpetrated dastardly act should be fished out and not a bad paint used on everyone in a group. 
#SoroSoke #EndSars #WeMove https://t.co/F9wyqdotm6 https://t.co/w7jzF5eHvJ",86,22,https://twitter.com/AishaYesufu/status/1356579767710023682,2021-02-02 12:26:35+00:00
AishaYesufu,Aisha Yesufu,"The same mouth i used to say military had no right to kill IPOB members is the same mouth I use to say ESN have no right to attack people and kill their cows
#VictimMentality https://t.co/Ttda3138n8 https://t.co/M9YcykIXi8",192,36,https://twitter.com/AishaYesufu/status/1356577018712907776,2021-02-02 12:15:39+00:00
AishaYesufu,Aisha Yesufu,"Do we now agree that Buhari's government is a monstrous government that has killed Nigerians from North and South and dished out bad governance to both sides and only enriched a few cronies?
#BBOG
#ENDSARS 
SHIITES
IPOB
#OyigboMassacre 
#LekkiMassacre 
#ZabarmariMassacre
&amp; MORE",2676,1091,https://twitter.com/AishaYesufu/status/1333400790887755779,2020-11-30 13:21:36+00:00
AishaYesufu,Aisha Yesufu,"Oyigbo massacre it was mainly IPOB members that were killed and to many the lives of IPOB don't matter. Same as shiites.
We just have bunch of blood thirsty proxy killers as fellow citizens https://t.co/34dxvq5gNr",302,182,https://twitter.com/AishaYesufu/status/1329347330630410242,2020-11-19 08:54:36+00:00
AishaYesufu,Aisha Yesufu,"Until we ensure the lives of those we do not like matter, our own lives will not matter.
First it was shiites then IPOB now #EndSars. 
WHO IS NEXT?",6209,2673,https://twitter.com/AishaYesufu/status/1329109804917415939,2020-11-18 17:10:45+00:00
