username,displayName,tweet,likes,retweets,link,date
kikimordi,Grand Commander of the Feminist Battalion,"I wish I can find this #TwitterBan as funny as you guys are finding it. Personally I’m just preparing for the worst.

Look at us thinking we’ve squashed the social media bill. What a democracy.",1630,1103,https://twitter.com/kikimordi/status/1401052444235292672,2021-06-05 05:45:07+00:00
AishaYesufu,Aisha Yesufu,Those Niger State Senators that were promoting social media bill and hate speech bill have they spoken about the islamiya students taken from their schools?,1149,454,https://twitter.com/AishaYesufu/status/1400420806002450434,2021-06-03 11:55:13+00:00
AishaYesufu,Aisha Yesufu,"I am not one of those on this platform desperate to be liked. I have enough love for myself biko.
I don't use social media to pay my bills neither do I collect funding from anyone for my advocacy. I am also not a brand promoter that you will report me and ask them to drop me. https://t.co/0vaLOfthwN",4357,648,https://twitter.com/AishaYesufu/status/1348736789662609410,2021-01-11 21:01:23+00:00
AishaYesufu,Aisha Yesufu,All the times they called us fake news merchants and sent trolls to attack us. Government has been blocking the news from coming out. There is a media blackout and reason they are desperate to get the social media bill. https://t.co/ZDLJpBY6N4,146,44,https://twitter.com/AishaYesufu/status/1333643756113944578,2020-12-01 05:27:04+00:00
AishaYesufu,Aisha Yesufu,"You want social media bill so the next time Buhari decides to send military, police and thugs to kill maim and loot it will not be captured, right? You are a joke.
#WeMove 
#BlameGovernment 
#EndSars 
#EndPoliceBrutalityinNigeria
 #GenocideAtLekkiTollGate #CrimesAgainstHumanity",4456,3892,https://twitter.com/AishaYesufu/status/1320769270566080512,2020-10-26 16:48:27+00:00
AishaYesufu,Aisha Yesufu,"You see that #SocialMediaBill? It must die by fire by fire!
They know the power social media has. They might call it rants but it is rants that make them afraid.
We must ensure they never ever gag us on social media.",1189,891,https://twitter.com/AishaYesufu/status/1314355368416473088,2020-10-09 00:01:54+00:00
AishaYesufu,Aisha Yesufu,When it was time for CAMA they forgot that prayers solve everything. Their casting and binding powers were set aside but when it is about social media Bill they remember prayers solve everything.,86,27,https://twitter.com/AishaYesufu/status/1302693461464936449,2020-09-06 19:41:38+00:00
obyezeks,Oby Ezekwesili,"A Political Class that believes it is entitled to a publicly-funded life of luxury and zero accountability while indulging.

For them, Nigerians ought to be grateful they are our “Excellencies, Distinguished and Honorables” and not dare criticize them. Fiam, #SocialMediaBill !",400,336,https://twitter.com/obyezeks/status/1237735512259137536,2020-03-11 13:41:56+00:00
ShehuSani,Senator Shehu Sani,"On the day that the Social Media &amp; Hate Speech Bills will be passed into law,most of the seats in the Chambers of the Parliament will be empty.The legislators who fear both the social media &amp; the Govt will absent https://t.co/4wYWFrpnIL must compel ur rep to be actively present.",804,241,https://twitter.com/ShehuSani/status/1237348292041867264,2020-03-10 12:03:16+00:00
ShehuSani,Senator Shehu Sani,The Public hearing on the Anti Social Media Bill should be the beginning of the funeral of that draconian and toxic piece of legislation.The Bill is a lethal bacteria that must be halted to save democracy.Power can’t be checkmated without an uncensored &amp; discomforting truth.,837,230,https://twitter.com/ShehuSani/status/1236916566798798848,2020-03-09 07:27:44+00:00
