title,link,channelId,date
What is Ethnicity?,https://www.youtube.com/watch?v=E1AY95Z64gg,UCiB8h9jD2Mlxx96ZFnGDSJw,2019-02-13T19:28:14Z
Race &amp; Ethnicity: Crash Course Sociology #34,https://www.youtube.com/watch?v=7myLgdZhzjo,UCX6b17PVsYBQ0ip5gyeme-Q,2017-11-20T21:58:17Z
What is Ethnicity? | Ethnic Groups |Race |  Ethnicity Vs Race |,https://www.youtube.com/watch?v=EnZU_Ox-zbE,UCRunP77G80-U278qEWenk8A,2019-10-24T10:42:15Z
Ethnicity | Sociology | Chegg Tutors,https://www.youtube.com/watch?v=3pyodjHjqnA,UCEB367zCx2p-tv6xhhzyyMw,2016-03-23T04:47:03Z
What Is Ethnicity ?,https://www.youtube.com/watch?v=4P5nGRPAeMs,UC-6p0GCgUgh9M-3dik9Ip9A,2021-05-20T21:00:15Z
Ethnicity Meaning,https://www.youtube.com/watch?v=KPrpYEeqqLg,UCqa5Flt8HHRRPEj8hNNaXAw,2015-04-23T14:51:48Z
"3 Major Ethnic Groups in Nigeria:Peculiarities, Customs, and Traditions",https://www.youtube.com/watch?v=pLEW3FNSv_g,UCUP89sciKQMGFCm0V3kxhlw,2019-09-11T18:49:02Z
Guess My Ethnicity | Lineup | Cut,https://www.youtube.com/watch?v=DlGyHcGuE6c,UCbaGn5VkOVlcRgIWAHcrJKA,2020-01-23T13:00:03Z
Demographic structure of society- race and ethnicity,https://www.youtube.com/watch?v=4WIiConeatM,UCJayvjGvKEblkA3KYK1BQQw,2014-04-27T04:50:31Z
"MSO -01 || Ethnicity -Meaning and Approaches, Caste and Ethnicity|| Sociological Theories&amp; Concepts",https://www.youtube.com/watch?v=8Esioe6mYH8,UCrCh1_yiD1apMJzFJQcn6IA,2021-02-23T09:09:55Z
Race vs Ethnicity|Difference between race and ethnicity|Race and ethnicity difference|Sociology,https://www.youtube.com/watch?v=jxtZb12IRXI,UCIbDSpgv9aDM7dlZoC_xVBQ,2020-05-17T00:57:54Z
"Difference between Race, Ethnicity and Nationality #shorts #learn #race",https://www.youtube.com/watch?v=b_yw6cF5rxI,UCqat-wneSpwSYgHX2E3IqbQ,2021-12-10T12:10:01Z
Sociology for UPSC : ETHNICITY Based Social Stratification - Chapter 5 - Paper 1 - Lecture 18,https://www.youtube.com/watch?v=bzQmhdOi1IE,UCgRf62bnK3uX4N-YEhG4Jog,2017-09-06T19:44:02Z
Ethnicity,https://www.youtube.com/watch?v=9CkTzHlpumw,UCCUr096WDp86n62CXBeHlQw,2016-12-05T05:43:43Z
Ethnicity in Nigeria,https://www.youtube.com/watch?v=hT8fmDKeey4,UCrxKfmQylbVFtGI8ujytGDQ,2020-11-25T14:46:05Z
Influence of Ethnicity and Religion on Nigeria&#39;s Politics,https://www.youtube.com/watch?v=3Rk5H6FHgvQ,UCkY5L8JYwx7BT0cOXYZX_dw,2019-01-14T16:32:47Z
