title,link,channelId,date
Nigeria Is Not Working Because People Are Recruited On Sentiment – Peter Obi,https://www.youtube.com/watch?v=Xp8mSqbOOzI,UCEXGDNclvmg6RW0vipJYsTQ,2021-01-13T17:13:30Z
Vox Pop: What Is The Most important Problem Facing Nigeria Today?,https://www.youtube.com/watch?v=rnscbDjxj5k,UCKnyVIW5QvfnsXddsjFKx4A,2019-01-21T17:45:39Z
Nigeria Isn&#39;t working,https://www.youtube.com/watch?v=nEp-8NMBKKU,UCbchT7WenNhYUE_S5D4uFzg,2015-01-27T13:50:54Z
Nigeria is not working. Northern leaders are calling for restructurig.,https://www.youtube.com/watch?v=vsvM0VaYy_o,UCeZWNK74Vv5JKKnUZh3xiXA,2022-07-28T22:24:40Z
Nigeria Is Not Working - Jude Ilo,https://www.youtube.com/watch?v=6p5owbDiIns,UCEXGDNclvmg6RW0vipJYsTQ,2017-09-29T09:52:15Z
"&quot;Stop Saying Nigeria Is Not Working, There’s Power In The Tongue&quot; - Boss Mustapha",https://www.youtube.com/watch?v=EGB9v0htDUg,UCdjXk1U6hmVpdLNkVrwe_gw,2021-09-08T16:25:54Z
Why oil-rich Nigeria has trouble exploiting its wealth | DW News,https://www.youtube.com/watch?v=P9XjFP6yaRU,UCknLrEdhRCp1aegoMqRaCZg,2022-07-23T14:30:08Z
Dubai Bans Nigeria from Applying for Dubai Visa | Nigeria has been Blacklisted,https://www.youtube.com/watch?v=4mYGt6EvtLw,UC9BgTLu95Tp2J65fhiZIpPg,2022-07-26T15:27:34Z
Nigeria Is A Nation That Is Not Working - Abaribe,https://www.youtube.com/watch?v=6kNvvghyzAQ,UCEXGDNclvmg6RW0vipJYsTQ,2019-09-25T15:36:32Z
"Unlike Competence, Religion has Not Solved Issues in Nigeria - Mohammed",https://www.youtube.com/watch?v=XWBoMUJMLDI,UCyEJX-kSj0kOOCS7Qlq2G7g,2022-07-23T15:50:13Z
