title,link,channelId,date
Nigerian Constitution | Civic Education | JSS3 | 2nd Term,https://www.youtube.com/watch?v=fTs7cdIukXk,UCH2ONb1eLgZ76FvtGuLJDnA,2020-04-30T20:58:26Z
A Brand New Nigerian Constitution Or An Amendment?,https://www.youtube.com/watch?v=2Wo4Egb20TM,UCEXGDNclvmg6RW0vipJYsTQ,2021-05-26T21:08:52Z
Nigeria&#39;s Constitution Can Never Give Us Peace And Progress - Sen. Adeyeye Fumes,https://www.youtube.com/watch?v=3D0trNUB-ME,UCKnyVIW5QvfnsXddsjFKx4A,2019-04-11T09:36:20Z
The Nigerian Constitution: Understanding The Rights of The Nigerian Citizen. Part 1 of 6!,https://www.youtube.com/watch?v=Rgj64it0CcI,UCLAZOjhN9m9PuKB2D9OVbOw,2020-10-25T13:13:07Z
Episode 2: History of the Nigerian Constitution,https://www.youtube.com/watch?v=MISXD2sq6ww,UClGMySxdAp1uY4xiMAGr0Cg,2018-06-14T16:43:20Z
&quot;Nigerian constitution is a piece of rotten document&quot;- Robert Clark,https://www.youtube.com/watch?v=55FPnvSppTE,UCyEJX-kSj0kOOCS7Qlq2G7g,2022-02-13T20:23:38Z
The Military Creating a Democratic Nigerian Constitution is an Anomaly - Adeniyi Kunni,https://www.youtube.com/watch?v=hhM9COfWUQE,UCyEJX-kSj0kOOCS7Qlq2G7g,2022-07-03T13:45:51Z
How 1999 Constitution Has Led  Nigeria To Poverty And Insecurity - Babalola,https://www.youtube.com/watch?v=XkFVrEBJIlo,UCEXGDNclvmg6RW0vipJYsTQ,2022-05-02T20:15:03Z
The 1999 Constitution of Nigeria. A brief history,https://www.youtube.com/watch?v=_beka0zA9dg,UCRi4hh7Jjz9Hj_gNQNLIvbA,2020-08-04T17:05:20Z
Why The Nigerian Constitution Must Go,https://www.youtube.com/watch?v=6EdaKcSVZns,UCuooZI9u0ZSGB58LMrT_T0w,2021-05-03T06:30:00Z
Nigerian Constitution and Your Rights - Episode 1,https://www.youtube.com/watch?v=cruAHmHxPvo,UCo5sXGJ2k0c5CnczcUilIGQ,2022-03-08T20:26:02Z
1999 CONSTITUTION IS NIGERIA&#39;S CORE PROBLEM - Says Legislator of National Assembly,https://www.youtube.com/watch?v=8h41MXheuAA,UCgwFz3dx1dkaMQkTLQ8WUyQ,2019-04-10T20:25:29Z
POS 103 Constitution Development Of Nigeria,https://www.youtube.com/watch?v=Ksbj1tvFPpQ,UC9xTSAIfWFCnSLVZF5JNVqA,2021-04-01T13:43:50Z
1999 Constitution of the Federal Republic of Nigeria | Peacemakers School,https://www.youtube.com/watch?v=H70Cat6BPyk,UCrZoQCRZTA1yOzqa1ZO_25Q,2020-07-13T06:11:24Z
Dele Farotimi on the 1999 Constitution,https://www.youtube.com/watch?v=IwmXR-Xogyk,UCe6dQFydbwQ0aShtuIT9MkA,2020-11-29T08:01:16Z
Fundamental Human Rights in the Nigerian Constitution,https://www.youtube.com/watch?v=852UlylLhqM,UCU7x5Chfc06iic1Fu8IBjDQ,2021-09-13T14:39:02Z
Shocker!! Nigeria Constitution is Our Biggest Problems - Sen. Adeyeye,https://www.youtube.com/watch?v=7ePQfm7qNLY,UC20Wx5hNQQLCh4qS4siNBtw,2019-04-10T14:32:45Z
The 1999 Constitution Created More Problems For Nigeria -- Robert Clarke Pt. 1,https://www.youtube.com/watch?v=wOn8AJWHCjU,UCEXGDNclvmg6RW0vipJYsTQ,2016-06-20T11:09:15Z
