title,link,channelId,date
Busco SA X Man Giv SA &amp; Mr Prince DJ - Corruption (Official Audio),https://www.youtube.com/watch?v=FaPt_4evcws,UCRbvwZ7i0-tqK2zIOhX8pPw,2022-04-09T07:48:36Z
How Nigeria Became Extremely Corrupt (Documentary),https://www.youtube.com/watch?v=MdKq1L1LuLc,UC9hKpjMxWev7U81xLZC_IWw,2021-11-28T17:00:33Z
Corruption remains a challenge in government,https://www.youtube.com/watch?v=VWhOo9AxlLo,UCQMML3hAsx-Mz9j9ZN0tThQ,2022-07-29T05:58:37Z
The amount of corruption is &#39;outrageous&#39;: Bartiromo,https://www.youtube.com/watch?v=dtENcr-A7M0,UCCXoCcu9Rp7NPbTzIvogpZg,2022-07-28T11:45:02Z
Corruption essay in english || Essay on corruption,https://www.youtube.com/watch?v=CYV8dtXVMKU,UCZlvVpwJHRdCRwtKktfhmXA,2021-02-04T12:28:11Z
What is corruption?,https://www.youtube.com/watch?v=GOLoWdcnK_o,UCvOIY6A3bNR5XAcFFgG99zA,2020-06-19T01:30:25Z
Anti-corruption court terms Rigathi Gachagua&#39;s Sh200 million as proceeds of corruption,https://www.youtube.com/watch?v=GbSmswSxtM0,UCKVsdeoHExltrWMuK0hOWmg,2022-07-28T10:36:05Z
What is #corruption? | Transparency International,https://www.youtube.com/watch?v=hglpdc8vwW0,UCuwdoOuo2MLU2ebspAWKcxQ,2018-04-13T08:47:37Z
Analysts Speak On IGP Remarks On Corruption Research,https://www.youtube.com/watch?v=FGHEu5k4S5A,UC9VSDs4ZXo3sjOoPkmW2iRQ,2022-07-28T17:08:57Z
This could be the greatest episode of corruption in US history: GOP lawmaker,https://www.youtube.com/watch?v=joN8cP9cCJY,UCCXoCcu9Rp7NPbTzIvogpZg,2022-07-28T02:15:02Z
Why Corruption In Nigeria Is Getting Worse - Analyst,https://www.youtube.com/watch?v=Qp73Xm7EtRA,UCEXGDNclvmg6RW0vipJYsTQ,2020-01-23T23:26:41Z
"PLO Lumumba Speech in Malawi, at the Anti-Corruption Conference, July 2022",https://www.youtube.com/watch?v=goE3AUR6_QY,UCHJXd6gCrmPyUbCeutN0RZQ,2022-07-25T16:47:24Z
CORRUPTION | Full Drama | EID Special | Tariq Anam | Tasnia Farin | Hasan Masood | Faruque Ahamed,https://www.youtube.com/watch?v=GRgVcpzWytg,UCzUpRdOwrILcg6c6dKxPr0g,2022-07-10T13:00:12Z
